"","domain_name","sequence_evalue"
"1","HISEQ13:138:C6FWNANXX:2:1311:7285:6180_1:66120308",1.4e-17
"2","HISEQ13:138:C6FWNANXX:2:1308:4414:74373_1:62420577",4.6e-15
"3","HISEQ13:138:C6FWNANXX:2:1116:6162:72539_1:24760543",1.5e-14
"4","HISEQ13:138:C6FWNANXX:2:1311:7285:6180_1:66120307",2.1e-14
"5","HISEQ13:138:C6FWNANXX:2:1306:18170:51650_1:58942092",2.3e-14
"6","HISEQ13:138:C6FWNANXX:2:2107:16609:49217_1:85653065",4.2e-14
"7","HISEQ13:138:C6FWNANXX:2:1216:7667:75693_1:50203342",1.4e-13
"8","HISEQ13:138:C6FWNANXX:2:1211:2434:45274_1:41269454",7.5e-12
"9","HISEQ13:138:C6FWNANXX:2:1212:13714:36204_1:42721506",3.6e-11
"10","HISEQ13:138:C6FWNANXX:2:2314:3928:11391_1:145085187",3.6e-11
"11","HISEQ13:138:C6FWNANXX:2:1204:15190:62912_1:30640244",8.9e-11
