"","domain_name","sequence_evalue"
"1","HISEQ01:561:D1DRUACXX:7:1103:8638:50476_1:6835139",1.8e-19
"2","HISEQ01:561:D1DRUACXX:7:1105:17366:94888_1:14799031",1.4e-17
"3","HISEQ01:561:D1DRUACXX:7:1206:3757:44520_1:46761674",2e-17
"4","HISEQ01:561:D1DRUACXX:7:1105:13008:70469_1:14326593",2.1e-17
"5","HISEQ01:561:D1DRUACXX:7:1202:6424:177355_1:35131590",4e-17
"6","HISEQ01:561:D1DRUACXX:7:1207:14592:13723_1:50188846",4.1e-17
"7","HISEQ01:561:D1DRUACXX:7:1105:14796:177467_1:16401423",4.5e-17
"8","HISEQ01:561:D1DRUACXX:7:1206:7739:118854_1:48252436",5.4e-17
"9","HISEQ01:561:D1DRUACXX:7:1205:12343:48618_1:43120330",8.3e-17
"10","HISEQ01:561:D1DRUACXX:7:1206:20900:194407_1:49815921",1.4e-16
"11","HISEQ01:561:D1DRUACXX:7:1103:7072:29315_1:6485871",1.6e-16
"12","HISEQ01:561:D1DRUACXX:7:1203:11068:65847_1:36507554",2e-16
"13","HISEQ01:561:D1DRUACXX:7:1202:9839:61158_1:33370632",2.4e-16
"14","HISEQ01:561:D1DRUACXX:7:1205:11006:24749_1:42668342",2.4e-16
"15","HISEQ01:561:D1DRUACXX:7:1107:7108:35170_1:21582815",2.7e-16
"16","HISEQ01:561:D1DRUACXX:7:1105:8844:65555_1:14233672",3.3e-16
"17","HISEQ01:561:D1DRUACXX:7:1204:16529:151358_1:41355030",6.6e-16
"18","HISEQ01:561:D1DRUACXX:7:1105:19199:167419_1:16204792",1e-15
"19","HISEQ01:561:D1DRUACXX:7:1207:12297:45816_1:50881479",1.4e-15
"20","HISEQ01:561:D1DRUACXX:7:1108:11541:80475_1:26952813",1.5e-15
"21","HISEQ01:561:D1DRUACXX:7:1108:2771:192783_1:29560813",1.6e-15
"22","HISEQ01:561:D1DRUACXX:7:1201:6983:173596_1:32121459",2.1e-15
"23","HISEQ01:561:D1DRUACXX:7:1106:8047:74253_1:18305328",2.1e-15
