"","domain_name","sequence_evalue"
"1","HISEQ01:561:D1DRUACXX:7:1203:14515:133453_1:37605247",8.2e-23
"2","HISEQ01:561:D1DRUACXX:7:1201:19739:110049_1:31221892",9.1e-23
"3","HISEQ01:561:D1DRUACXX:7:1206:8718:166558_1:49233822",1.5e-22
"4","HISEQ01:561:D1DRUACXX:7:1106:10797:193656_1:20746054",1.8e-22
"5","HISEQ01:561:D1DRUACXX:7:1201:13142:71422_1:30680908",1.8e-22
"6","HISEQ01:561:D1DRUACXX:7:1206:2527:139391_1:48670489",2.8e-22
"7","HISEQ01:561:D1DRUACXX:7:1104:16644:169538_1:12447323",4.6e-22
"8","HISEQ01:561:D1DRUACXX:7:1102:11475:184094_1:5772466",4.7e-22
"9","HISEQ01:561:D1DRUACXX:7:1104:18032:67490_1:10571527",4.7e-22
"10","HISEQ01:561:D1DRUACXX:7:1102:1563:186352_1:5806895",4.7e-22
"11","HISEQ01:561:D1DRUACXX:7:1204:14652:109698_1:40604815",6.9e-22
"12","HISEQ01:561:D1DRUACXX:7:1205:17825:163548_1:45200907",6.9e-22
"13","HISEQ01:561:D1DRUACXX:7:1104:14845:196574_1:12953513",7.1e-22
"14","HISEQ01:561:D1DRUACXX:7:1204:2414:185732_1:41974524",7.1e-22
"15","HISEQ01:561:D1DRUACXX:7:1105:3202:15416_1:13272870",7.3e-22
"16","HISEQ01:561:D1DRUACXX:7:1107:12204:5608_1:20962604",7.3e-22
"17","HISEQ01:561:D1DRUACXX:7:1206:10458:100547_1:47885198",7.3e-22
"18","HISEQ01:561:D1DRUACXX:7:1205:13090:103140_1:44125420",8.2e-22
"19","HISEQ01:561:D1DRUACXX:7:1203:6601:120615_1:37393844",9.2e-22
"20","HISEQ01:561:D1DRUACXX:7:1205:13360:156283_1:45058543",1.1e-21
"21","HISEQ01:561:D1DRUACXX:7:1107:11729:107443_1:23138302",1.2e-21
"22","HISEQ01:561:D1DRUACXX:7:1204:10630:100014_1:40435337",1.3e-21
"23","HISEQ01:561:D1DRUACXX:7:1105:4982:164158_1:16137218",1.4e-21
"24","HISEQ01:561:D1DRUACXX:7:1204:16896:149557_1:41323220",1.6e-21
"25","HISEQ01:561:D1DRUACXX:7:1108:17544:75033_1:26833908",1.7e-21
"26","HISEQ01:561:D1DRUACXX:7:1201:5060:121975_1:31385362",1.7e-21
"27","HISEQ01:561:D1DRUACXX:7:1107:9868:39293_1:21674433",1.7e-21
"28","HISEQ01:561:D1DRUACXX:7:1108:16652:120035_1:27865437",1.7e-21
"29","HISEQ01:561:D1DRUACXX:7:1105:10395:120075_1:15282089",1.8e-21
"30","HISEQ01:561:D1DRUACXX:7:1102:11786:142220_1:5094918",1.8e-21
"31","HISEQ01:561:D1DRUACXX:7:1106:14920:37275_1:17561612",1.8e-21
"32","HISEQ01:561:D1DRUACXX:7:1107:7747:27851_1:21427466",1.8e-21
"33","HISEQ01:561:D1DRUACXX:7:1205:19758:171168_1:45346901",1.8e-21
"34","HISEQ01:561:D1DRUACXX:7:1107:5142:67453_1:22272430",1.8e-21
"35","HISEQ01:561:D1DRUACXX:7:1105:2249:23731_1:13428885",2e-21
"36","HISEQ01:561:D1DRUACXX:7:1108:16299:88189_1:27130912",2.1e-21
"37","HISEQ01:561:D1DRUACXX:7:1106:8306:117572_1:19177145",2.3e-21
"38","HISEQ01:561:D1DRUACXX:7:1201:13593:86819_1:30895858",2.3e-21
"39","HISEQ01:561:D1DRUACXX:7:1206:5951:73950_1:47346011",2.4e-21
"40","HISEQ01:561:D1DRUACXX:7:1203:14427:20561_1:35785693",2.6e-21
"41","HISEQ01:561:D1DRUACXX:7:1202:2567:70311_1:33506724",2.6e-21
"42","HISEQ01:561:D1DRUACXX:7:1204:2896:137636_1:41102720",2.7e-21
"43","HISEQ01:561:D1DRUACXX:7:1107:17323:197645_1:25132580",3.6e-21
"44","HISEQ01:561:D1DRUACXX:7:1206:4229:49446_1:46855920",3.7e-21
"45","HISEQ01:561:D1DRUACXX:7:1201:17809:12817_1:29878991",3.8e-21
"46","HISEQ01:561:D1DRUACXX:7:1106:2630:5329_1:16922065",3.8e-21
"47","HISEQ01:561:D1DRUACXX:7:1202:4520:20483_1:32772468",4.6e-21
"48","HISEQ01:561:D1DRUACXX:7:1102:10486:155917_1:5315144",4.7e-21
"49","HISEQ01:561:D1DRUACXX:7:1205:17317:114314_1:44291907",5e-21
"50","HISEQ01:561:D1DRUACXX:7:1204:19143:17060_1:38985775",5.9e-21
"51","HISEQ01:561:D1DRUACXX:7:1201:14349:7510_1:29807863",5.9e-21
"52","HISEQ01:561:D1DRUACXX:7:1102:19153:23255_1:3237626",7.1e-21
"53","HISEQ01:561:D1DRUACXX:7:1106:16349:64283_1:18106320",7.3e-21
"54","HISEQ01:561:D1DRUACXX:7:1103:19161:48084_1:6799726",8.6e-21
"55","HISEQ01:561:D1DRUACXX:7:1104:10440:93916_1:11049712",8.6e-21
"56","HISEQ01:561:D1DRUACXX:7:1106:1989:14287_1:17100847",8.6e-21
"57","HISEQ01:561:D1DRUACXX:7:1205:15783:80611_1:43729503",8.6e-21
"58","HISEQ01:561:D1DRUACXX:7:1101:2733:110181_1:1556103",9.1e-21
"59","HISEQ01:561:D1DRUACXX:7:1106:16198:96775_1:18760152",9.1e-21
"60","HISEQ01:561:D1DRUACXX:7:1103:15987:41886_1:6695270",9.4e-21
"61","HISEQ01:561:D1DRUACXX:7:1106:14932:114196_1:19107030",1e-20
"62","HISEQ01:561:D1DRUACXX:7:1204:11381:170326_1:41698998",1e-20
"63","HISEQ01:561:D1DRUACXX:7:1107:17314:193699_1:25042948",1e-20
"64","HISEQ01:561:D1DRUACXX:7:1201:2215:125647_1:31437265",1.1e-20
"65","HISEQ01:561:D1DRUACXX:7:1106:7766:164173_1:20133492",1.1e-20
"66","HISEQ01:561:D1DRUACXX:7:1102:3250:70618_1:3962822",1.1e-20
"67","HISEQ01:561:D1DRUACXX:7:1108:11841:95653_1:27302423",1.2e-20
"68","HISEQ01:561:D1DRUACXX:7:1202:15781:135840_1:34493922",1.2e-20
"69","HISEQ01:561:D1DRUACXX:7:1203:16197:109413_1:37210839",1.2e-20
"70","HISEQ01:561:D1DRUACXX:7:1107:7416:119329_1:23397596",1.2e-20
"71","HISEQ01:561:D1DRUACXX:7:1105:21032:163887_1:16136330",1.2e-20
"72","HISEQ01:561:D1DRUACXX:7:1203:17459:101179_1:37077352",1.3e-20
"73","HISEQ01:561:D1DRUACXX:7:1101:18469:36400_1:491590",1.3e-20
"74","HISEQ01:561:D1DRUACXX:7:1105:9935:95331_1:14806938",1.4e-20
"75","HISEQ01:561:D1DRUACXX:7:1201:10685:124162_1:31417543",1.4e-20
"76","HISEQ01:561:D1DRUACXX:7:1106:16915:19223_1:17198857",1.4e-20
"77","HISEQ01:561:D1DRUACXX:7:1107:15654:52242_1:21947987",1.4e-20
"78","HISEQ01:561:D1DRUACXX:7:1106:16433:98041_1:18785377",1.4e-20
"79","HISEQ01:561:D1DRUACXX:7:1103:6655:72602_1:7205901",1.4e-20
"80","HISEQ01:561:D1DRUACXX:7:1206:16963:33398_1:46541605",1.5e-20
"81","HISEQ01:561:D1DRUACXX:7:1102:18364:182318_1:5745406",1.5e-20
"82","HISEQ01:561:D1DRUACXX:7:1105:17728:196241_1:16775314",1.6e-20
"83","HISEQ01:561:D1DRUACXX:7:1204:4596:191316_1:42080064",1.6e-20
"84","HISEQ01:561:D1DRUACXX:7:1202:4612:157812_1:34829132",1.7e-20
"85","HISEQ01:561:D1DRUACXX:7:1103:3474:168752_1:8847058",1.9e-20
"86","HISEQ01:561:D1DRUACXX:7:1202:18672:169790_1:35017725",2.1e-20
"87","HISEQ01:561:D1DRUACXX:7:1105:1286:159275_1:16042709",2.1e-20
"88","HISEQ01:561:D1DRUACXX:7:1106:9182:43832_1:17691733",2.1e-20
"89","HISEQ01:561:D1DRUACXX:7:1107:7747:27851_1:21427467",2.1e-20
"90","HISEQ01:561:D1DRUACXX:7:1108:3612:76549_1:26864393",2.2e-20
"91","HISEQ01:561:D1DRUACXX:7:1104:12126:67332_1:10570195",2.2e-20
"92","HISEQ01:561:D1DRUACXX:7:1105:11257:4406_1:13066869",2.2e-20
"93","HISEQ01:561:D1DRUACXX:7:1107:16063:31862_1:21515408",2.3e-20
"94","HISEQ01:561:D1DRUACXX:7:1102:16849:41598_1:3517667",2.6e-20
"95","HISEQ01:561:D1DRUACXX:7:1108:8859:132522_1:28152105",2.6e-20
"96","HISEQ01:561:D1DRUACXX:7:1104:14845:196574_1:12953512",2.9e-20
"97","HISEQ01:561:D1DRUACXX:7:1104:19232:10363_1:9548786",2.9e-20
"98","HISEQ01:561:D1DRUACXX:7:1108:11313:167165_1:28960083",2.9e-20
"99","HISEQ01:561:D1DRUACXX:7:1102:18034:84848_1:4188530",3e-20
"100","HISEQ01:561:D1DRUACXX:7:1103:19706:78682_1:7309722",3e-20
"101","HISEQ01:561:D1DRUACXX:7:1108:7057:111593_1:27668243",3e-20
"102","HISEQ01:561:D1DRUACXX:7:1104:5517:193331_1:12889504",3e-20
"103","HISEQ01:561:D1DRUACXX:7:1102:7491:189469_1:5856730",3.1e-20
"104","HISEQ01:561:D1DRUACXX:7:1206:7741:148624_1:48862439",3.1e-20
"105","HISEQ01:561:D1DRUACXX:7:1103:15740:97043_1:7619313",3.1e-20
"106","HISEQ01:561:D1DRUACXX:7:1203:13380:55817_1:36347842",3.2e-20
"107","HISEQ01:561:D1DRUACXX:7:1202:7770:16044_1:32711161",3.2e-20
"108","HISEQ01:561:D1DRUACXX:7:1207:6114:19338_1:50309445",3.3e-20
"109","HISEQ01:561:D1DRUACXX:7:1106:5626:79561_1:18410503",3.3e-20
"110","HISEQ01:561:D1DRUACXX:7:1107:19063:24101_1:21351631",3.4e-20
"111","HISEQ01:561:D1DRUACXX:7:1201:17889:56323_1:30475234",3.6e-20
"112","HISEQ01:561:D1DRUACXX:7:1205:10940:74524_1:43613256",3.9e-20
"113","HISEQ01:561:D1DRUACXX:7:1104:4513:10825_1:9554481",3.9e-20
"114","HISEQ01:561:D1DRUACXX:7:1205:18248:77642_1:43672516",4e-20
"115","HISEQ01:561:D1DRUACXX:7:1201:11703:47785_1:30356873",4e-20
"116","HISEQ01:561:D1DRUACXX:7:1205:2422:185567_1:45626627",4e-20
"117","HISEQ01:561:D1DRUACXX:7:1108:7507:170371_1:29035049",4e-20
"118","HISEQ01:561:D1DRUACXX:7:1105:1609:59700_1:14117258",4.2e-20
"119","HISEQ01:561:D1DRUACXX:7:1107:8550:192423_1:25012786",4.4e-20
"120","HISEQ01:561:D1DRUACXX:7:1204:11065:57547_1:39686225",4.7e-20
"121","HISEQ01:561:D1DRUACXX:7:1101:11913:136792_1:1953947",4.7e-20
"122","HISEQ01:561:D1DRUACXX:7:1203:4733:101766_1:37086889",5.1e-20
"123","HISEQ01:561:D1DRUACXX:7:1107:5142:67453_1:22272431",5.2e-20
"124","HISEQ01:561:D1DRUACXX:7:1202:3107:67952_1:33469700",5.3e-20
"125","HISEQ01:561:D1DRUACXX:7:1108:8416:115230_1:27748281",5.3e-20
"126","HISEQ01:561:D1DRUACXX:7:1202:3170:80675_1:33658436",5.7e-20
"127","HISEQ01:561:D1DRUACXX:7:1205:7095:195013_1:45814218",6.2e-20
"128","HISEQ01:561:D1DRUACXX:7:1102:2132:170184_1:5543532",6.2e-20
"129","HISEQ01:561:D1DRUACXX:7:1105:5014:95791_1:14815496",6.2e-20
"130","HISEQ01:561:D1DRUACXX:7:1106:9081:90757_1:18637438",6.5e-20
"131","HISEQ01:561:D1DRUACXX:7:1107:14329:21931_1:21303614",6.5e-20
"132","HISEQ01:561:D1DRUACXX:7:1206:10405:108056_1:48036411",6.8e-20
"133","HISEQ01:561:D1DRUACXX:7:1206:20266:186098_1:49642116",6.9e-20
