"","domain_name","sequence_evalue"
"1","SRR10241523.3822736_1:4064307",6.5e-25
"2","SRR10241523.3639531_1:3870191",2.2e-20
"3","SRR10241523.536851_1:571335",2.8e-20
"4","SRR10241523.4773832_1:5079201",3.4e-20
"5","SRR10241523.488983_1:520729",5.6e-20
"6","SRR10241523.1924547_2:2045241",9.7e-20
"7","SRR10241523.1331540_1:1415805",1.1e-19
"8","SRR10241523.3681843_1:3915130",1.4e-19
"9","SRR10241523.1111371_1:1182068",1.5e-19
"10","SRR10241523.1111639_1:1182367",1.5e-19
"11","SRR10241523.1213783_1:1290539",1.6e-19
"12","SRR10241523.1537381_2:1634243",1.8e-19
"13","SRR10241523.5475900_1:5826205",1.8e-19
"14","SRR10241523.3016659_1:3207251",1.8e-19
"15","SRR10241523.697097_1:741470",2.3e-19
"16","SRR10241523.1111371_2:1182069",2.5e-19
"17","SRR10241523.1111639_2:1182368",2.5e-19
"18","SRR10241523.1202189_1:1278205",2.6e-19
"19","SRR10241523.1880180_1:1998315",2.7e-19
"20","SRR10241523.1916094_1:2036321",2.8e-19
"21","SRR10241523.1916319_1:2036556",2.8e-19
"22","SRR10241523.1447154_1:1538354",3e-19
"23","SRR10241523.2207628_1:2345911",3.1e-19
"24","SRR10241523.2208120_1:2346443",3.1e-19
"25","SRR10241523.1649650_2:1753392",3.2e-19
"26","SRR10241523.669054_2:711741",3.2e-19
"27","SRR10241523.685906_2:729574",3.2e-19
"28","SRR10241523.3414227_1:3631235",3.7e-19
"29","SRR10241523.1521558_1:1617422",4.3e-19
"30","SRR10241523.1521808_1:1617687",4.3e-19
"31","SRR10241523.4787764_1:5094030",4.4e-19
"32","SRR10241523.5464622_2:5814139",4.8e-19
"33","SRR10241523.5466327_2:5815952",4.8e-19
"34","SRR10241523.2697307_2:2867722",5.1e-19
"35","SRR10241523.2697493_2:2867922",5.1e-19
"36","SRR10241523.916047_1:973797",5.2e-19
"37","SRR10241523.3601773_1:3830299",5.5e-19
"38","SRR10241523.53206_1:56736",5.5e-19
"39","SRR10241523.53440_1:56969",5.5e-19
"40","SRR10241523.407553_1:434114",5.6e-19
"41","SRR10241523.2118050_2:2250451",6.1e-19
"42","SRR10241523.3003046_1:3192798",6.4e-19
"43","SRR10241523.5062816_1:5386941",6.4e-19
"44","SRR10241523.5063260_1:5387416",6.4e-19
"45","SRR10241523.3951636_2:4201605",6.4e-19
"46","SRR10241523.4412489_2:4693395",6.6e-19
"47","SRR10241523.703455_2:748253",6.7e-19
"48","SRR10241523.4707180_1:5008297",7e-19
"49","SRR10241523.230617_1:245308",7.1e-19
"50","SRR10241523.515701_1:548967",7.3e-19
"51","SRR10241523.1431902_1:1522152",7.6e-19
"52","SRR10241523.2230478_1:2370388",7.8e-19
"53","SRR10241523.500473_1:532886",8e-19
"54","SRR10241523.3228336_2:3433283",8e-19
"55","SRR10241523.3229440_2:3434472",8e-19
"56","SRR10241523.664610_1:707079",8.8e-19
"57","SRR10241523.3228336_1:3433282",8.9e-19
"58","SRR10241523.3229440_1:3434471",8.9e-19
"59","SRR10241523.4528823_1:4817361",9.4e-19
"60","SRR10241523.210748_2:224062",9.9e-19
"61","SRR10241523.1526757_1:1622959",1e-18
"62","SRR10241523.1393232_2:1481031",1e-18
"63","SRR10241523.1393851_2:1481661",1e-18
"64","SRR10241523.4484153_1:4769967",1e-18
"65","SRR10241523.4446081_2:4729239",1.1e-18
"66","SRR10241523.1075811_1:1144301",1.2e-18
"67","SRR10241523.1627293_1:1729544",1.2e-18
"68","SRR10241523.3929259_1:4177609",1.2e-18
"69","SRR10241523.3998978_2:4251511",1.2e-18
"70","SRR10241523.4014520_2:4268035",1.2e-18
"71","SRR10241523.1895759_1:2014751",1.3e-18
"72","SRR10241523.955217_2:1015534",1.3e-18
"73","SRR10241523.2037893_2:2165057",1.3e-18
"74","SRR10241523.5540609_2:5895272",1.3e-18
"75","SRR10241523.4355042_1:4631901",1.4e-18
"76","SRR10241523.4356022_1:4632947",1.4e-18
"77","SRR10241523.879263_2:934881",1.4e-18
"78","SRR10241523.2124634_1:2257522",1.4e-18
"79","SRR10241523.838703_1:891742",1.4e-18
"80","SRR10241523.1218201_1:1295195",1.5e-18
"81","SRR10241523.3234748_1:3440136",1.5e-18
"82","SRR10241523.367687_1:391439",1.5e-18
"83","SRR10241523.3972349_1:4223344",1.5e-18
"84","SRR10241523.5269556_1:5606683",1.5e-18
"85","SRR10241523.1948590_2:2070536",1.6e-18
"86","SRR10241523.2243303_2:2384042",1.6e-18
