"","domain_name","sequence_evalue"
"1","SRR2939624.406331_1:579862",1.9e-50
"2","SRR2939624.114673_2:164849",5.3e-50
"3","SRR2939624.114673_1:164848",8e-50
"4","SRR2939624.151898_1:218167",6.9e-49
"5","SRR2939624.354723_2:507578",1.7e-48
"6","SRR2939624.126837_1:182395",2.1e-48
"7","SRR2939624.306344_1:438141",5.4e-47
"8","SRR2939624.76123_1:109467",1.2e-46
"9","SRR2939624.345967_2:495149",5.7e-46
"10","SRR2939624.345967_1:495148",8.9e-46
"11","SRR2939624.179906_3:257913",3.5e-45
"12","SRR2939624.42151_1:60435",3.6e-45
"13","SRR2939624.343238_1:491316",4.3e-43
"14","SRR2939624.159619_1:229132",7.7e-43
"15","SRR2939624.319028_2:456356",1.5e-41
"16","SRR2939624.340665_1:487630",2.5e-41
"17","SRR2939624.34174_2:49003",6.3e-41
"18","SRR2939624.359629_1:514630",1.1e-40
"19","SRR2939624.460298_1:657676",1.9e-40
"20","SRR2939624.123115_1:177031",3.1e-40
"21","SRR2939624.123115_2:177032",2.8e-38
"22","SRR2939624.42031_1:60269",4.6e-38
"23","SRR2939624.42151_2:60436",1e-37
"24","SRR2939624.124963_1:179660",1.1e-37
"25","SRR2939624.499318_1:713816",2.7e-37
"26","SRR2939624.518604_2:741457",3.5e-37
"27","SRR2939624.298902_2:427440",5.6e-37
"28","SRR2939624.484415_1:692421",6.9e-37
"29","SRR2939624.159619_2:229133",3.3e-36
"30","SRR2939624.124963_2:179661",5e-36
"31","SRR2939624.186009_1:266399",1.1e-35
"32","SRR2939624.518604_1:741456",4.8e-35
"33","SRR2939624.313653_1:448616",1.5e-34
"34","SRR2939624.264276_2:377526",1.8e-34
"35","SRR2939624.475674_2:679839",3e-34
"36","SRR2939624.300838_1:430234",5.3e-34
"37","SRR2939624.445551_1:636359",8.4e-34
"38","SRR2939624.151485_1:217577",8.6e-34
"39","SRR2939624.298902_1:427439",8.7e-34
"40","SRR2939624.421195_2:601232",1.7e-33
"41","SRR2939624.421195_1:601231",3.4e-33
"42","SRR2939624.76123_2:109468",5.8e-33
"43","SRR2939624.285804_2:408528",8.9e-33
"44","SRR2939624.70316_1:101092",1.5e-32
"45","SRR2939624.70316_2:101093",1.5e-32
"46","SRR2939624.296407_1:423878",1.5e-32
"47","SRR2939624.296407_2:423879",1.5e-32
"48","SRR2939624.499594_1:714218",1.7e-32
"49","SRR2939624.438957_2:626926",1.7e-32
