"","domain_name","sequence_evalue"
"1","SRR2939624.237342_1:338667",1e-41
"2","SRR2939624.237342_2:338668",4.5e-38
"3","SRR2939624.170578_1:244767",8.8e-37
"4","SRR2939624.170578_2:244768",1.7e-36
"5","SRR2939624.383482_1:548438",4.6e-35
"6","SRR2939624.341490_1:488791",4.8e-33
"7","SRR2939624.488115_1:697749",8.1e-31
"8","SRR2939624.382628_1:547219",2.4e-30
"9","SRR2939624.447361_1:638991",8.2e-29
"10","SRR2939624.189894_1:271739",2.2e-28
"11","SRR2939624.383482_2:548439",3.9e-28
"12","SRR2939624.3041_1:4285",3.1e-27
"13","SRR2939624.193720_1:276968",6.7e-27
"14","SRR2939624.509211_2:728023",2.4e-26
"15","SRR2939624.509211_1:728022",8.4e-26
"16","SRR2939624.322982_1:462079",3.7e-25
"17","SRR2939624.232853_1:332232",1.8e-24
"18","SRR2939624.501017_1:716295",4.7e-24
"19","SRR2939624.501017_2:716296",4.7e-24
"20","SRR2939624.341490_2:488792",1.6e-23
"21","SRR2939624.501146_1:716471",8.7e-23
"22","SRR2939624.99675_1:143411",7.7e-22
"23","SRR2939624.335624_2:480328",1.1e-21
"24","SRR2939624.193720_2:276969",1.9e-21
"25","SRR2939624.219097_1:312503",4.3e-20
"26","SRR2939624.259901_2:371185",4.4e-20
"27","SRR2939624.111439_1:160173",8.1e-20
"28","SRR2939624.325558_1:465798",9.4e-20
"29","SRR2939624.518786_1:741722",1.7e-19
"30","SRR2939624.191713_1:274279",1.9e-19
"31","SRR2939624.99675_2:143412",3.2e-19
"32","SRR2939624.5238_1:7442",4.4e-19
"33","SRR2939624.285928_1:408715",4.4e-19
"34","SRR2939624.435928_1:622520",7.4e-19
"35","SRR2939624.435928_2:622521",1.2e-18
"36","SRR2939624.37115_2:53235",1.2e-18
"37","SRR2939624.301863_1:431711",1.3e-18
"38","SRR2939624.343697_1:491951",1.5e-18
"39","SRR2939624.65157_1:93642",4.8e-18
"40","SRR2939624.73960_1:106374",1.7e-17
"41","SRR2939624.354441_1:507178",2e-17
"42","SRR2939624.231386_1:330131",2.2e-17
"43","SRR2939624.365831_1:523431",2.2e-17
"44","SRR2939624.500307_1:715252",4.2e-17
"45","SRR2939624.500307_2:715253",4.2e-17
"46","SRR2939624.350708_1:501913",1.2e-16
"47","SRR2939624.101350_1:145786",1.7e-16
"48","SRR2939624.101350_2:145787",1.7e-16
"49","SRR2939624.88120_1:126775",1.8e-16
"50","SRR2939624.384408_1:549755",2.1e-16
"51","SRR2939624.303294_1:433736",2.7e-16
"52","SRR2939624.303294_2:433737",2.7e-16
"53","SRR2939624.276863_1:395629",3.5e-16
"54","SRR2939624.408827_1:583417",5.4e-16
"55","SRR2939624.293896_1:420270",6.8e-16
"56","SRR2939624.65157_2:93643",7.1e-16
"57","SRR2939624.293896_2:420271",8.1e-16
"58","SRR2939624.95384_1:137260",1.1e-15
"59","SRR2939624.350708_2:501914",1.4e-15
"60","SRR2939624.365831_2:523432",1.4e-15
"61","SRR2939624.301863_2:431712",1.5e-15
"62","SRR2939624.287275_1:410688",1.7e-15
"63","SRR2939624.400339_2:571396",1.8e-15
"64","SRR2939624.220018_1:313773",1.8e-15
"65","SRR2939624.316762_1:453084",2e-15
"66","SRR2939624.285928_2:408716",3.1e-15
"67","SRR2939624.178924_1:256553",4.3e-15
"68","SRR2939624.55720_2:80136",7.3e-15
"69","SRR2939624.242594_1:346162",9.2e-15
"70","SRR2939624.104338_1:150092",1e-14
"71","SRR2939624.267743_2:382496",1.2e-14
"72","SRR2939624.377359_2:539878",1.2e-14
"73","SRR2939624.400339_1:571395",1.4e-14
"74","SRR2939624.514686_1:735806",1.4e-14
"75","SRR2939624.361685_1:517579",2.6e-14
"76","SRR2939624.481046_1:687557",2.7e-14
"77","SRR2939624.481046_2:687558",2.7e-14
"78","SRR2939624.117023_1:168235",2.7e-14
"79","SRR2939624.252592_1:360664",3.8e-14
"80","SRR2939624.257260_1:367346",3.8e-14
"81","SRR2939624.55720_1:80135",4e-14
"82","SRR2939624.252592_2:360665",4.4e-14
"83","SRR2939624.350701_2:501903",4.5e-14
"84","SRR2939624.149062_1:214123",4.8e-14
"85","SRR2939624.267743_1:382495",6.8e-14
"86","SRR2939624.258078_1:368534",8.7e-14
"87","SRR2939624.132454_1:190386",1.2e-13
"88","SRR2939624.137431_2:197500",1.5e-13
"89","SRR2939624.11446_1:16313",1.6e-13
"90","SRR2939624.259901_1:371184",2.1e-13
"91","SRR2939624.187659_1:268646",2.4e-13
"92","SRR2939624.343638_2:491866",2.5e-13
"93","SRR2939624.312739_1:447328",2.6e-13
"94","SRR2939624.312739_2:447329",2.6e-13
"95","SRR2939624.214016_1:305169",2.6e-13
"96","SRR2939624.497730_1:711552",2.8e-13
"97","SRR2939624.130554_1:187690",3.5e-13
"98","SRR2939624.119665_1:172078",3.5e-13
"99","SRR2939624.257260_2:367347",4.1e-13
"100","SRR2939624.242594_2:346163",4.2e-13
"101","SRR2939624.338650_2:484740",7.2e-13
"102","SRR2939624.454715_1:649696",7.4e-13
"103","SRR2939624.407407_1:581370",1e-12
"104","SRR2939624.37115_1:53234",1.9e-12
"105","SRR2939624.11446_2:16314",7.2e-12
"106","SRR2939624.424526_2:606026",9.5e-12
"107","SRR2939624.343638_1:491865",1.2e-11
"108","SRR2939624.518786_2:741723",1.6e-11
"109","SRR2939624.137868_1:198139",1.8e-11
"110","SRR2939624.287275_2:410689",2.2e-11
"111","SRR2939624.445388_1:636103",2.8e-11
"112","SRR2939624.137431_1:197499",3.6e-11
"113","SRR2939624.525413_2:751219",4.1e-11
"114","SRR2939624.137463_1:197551",4.5e-11
"115","SRR2939624.22418_1:32119",4.6e-11
"116","SRR2939624.59977_2:86187",5.6e-11
"117","SRR2939624.407407_2:581371",5.6e-11
"118","SRR2939624.394748_1:563926",5.7e-11
"119","SRR2939624.494769_1:707279",7.2e-11
