"","domain_name","sequence_evalue"
"1","SRR10241527.10689907_1:11614350",1.1e-28
"2","SRR10241527.10686878_1:11611073",1.2e-28
"3","SRR10241527.16265190_1:17670942",1.3e-28
"4","SRR10241527.28404503_1:31021217",6.9e-28
"5","SRR10241527.28409231_1:31026537",6.9e-28
"6","SRR10241527.43960809_2:48280402",9.7e-28
"7","SRR10241527.755386_1:820690",1.1e-27
"8","SRR10241527.48060052_1:52807592",1.2e-27
"9","SRR10241527.51632322_2:56772046",1.3e-27
"10","SRR10241527.38758251_2:42526995",1.4e-27
"11","SRR10241527.19526883_2:21222504",1.5e-27
"12","SRR10241527.47262954_2:51923379",1.6e-27
"13","SRR10241527.47263172_2:51923630",1.6e-27
"14","SRR10241527.32089013_1:35113005",1.7e-27
"15","SRR10241527.32048499_1:35068256",1.9e-27
"16","SRR10241527.17000621_2:18472553",2.3e-27
"17","SRR10241527.26427341_2:28826112",2.5e-27
"18","SRR10241527.43594563_2:47876628",2.8e-27
"19","SRR10241527.43596590_2:47878864",2.8e-27
"20","SRR10241527.4108923_2:4467187",3.2e-27
"21","SRR10241527.28735604_2:31388653",4.2e-27
"22","SRR10241527.19526883_1:21222503",4.5e-27
"23","SRR10241527.47743942_1:52456955",4.6e-27
"24","SRR10241527.14727322_1:15999690",4.7e-27
"25","SRR10241527.2472380_2:2687308",4.9e-27
"26","SRR10241527.30674186_2:33543435",5.4e-27
"27","SRR10241527.26793920_1:29233114",5.4e-27
"28","SRR10241527.26794080_1:29233295",5.4e-27
"29","SRR10241527.26794321_1:29233553",5.4e-27
"30","SRR10241527.12183140_1:13234751",6.8e-27
"31","SRR10241527.49364417_2:54256385",7e-27
"32","SRR10241527.49365572_2:54257675",7e-27
"33","SRR10241527.45263827_2:49712123",7.2e-27
"34","SRR10241527.18099380_2:19669112",7.4e-27
"35","SRR10241527.10381473_1:11279820",7.8e-27
"36","SRR10241527.22234689_2:24173030",7.9e-27
"37","SRR10241527.28480270_2:31105279",8.3e-27
"38","SRR10241527.28506167_2:31134031",8.3e-27
"39","SRR10241527.52234943_1:57439426",9.5e-27
"40","SRR10241527.10356205_2:11252569",1e-26
"41","SRR10241527.2003869_1:2177711",1.1e-26
"42","SRR10241527.22234689_1:24173029",1.1e-26
"43","SRR10241527.1681173_2:1826718",1.1e-26
