"","domain_name","sequence_evalue"
"1","SRR2939624.151898_1:218167",7e-49
"2","SRR2939624.406331_1:579862",1.7e-48
"3","SRR2939624.126837_1:182395",7.2e-48
"4","SRR2939624.76123_1:109467",2.1e-45
"5","SRR2939624.345967_1:495148",4e-45
"6","SRR2939624.345967_2:495149",6.2e-45
"7","SRR2939624.306344_1:438141",4.1e-44
"8","SRR2939624.354723_2:507578",2.4e-43
"9","SRR2939624.179906_3:257913",7.6e-43
"10","SRR2939624.42151_1:60435",9.7e-43
"11","SRR2939624.343238_1:491316",3.5e-40
"12","SRR2939624.484415_1:692421",7.1e-40
"13","SRR2939624.296407_1:423878",9e-40
"14","SRR2939624.296407_2:423879",9e-40
"15","SRR2939624.460298_1:657676",4.9e-39
"16","SRR2939624.313653_1:448616",3.1e-38
"17","SRR2939624.340665_1:487630",1.3e-37
"18","SRR2939624.34174_2:49003",4.7e-37
"19","SRR2939624.359629_1:514630",4.8e-37
"20","SRR2939624.319028_2:456356",5.6e-37
"21","SRR2939624.504025_1:720526",1.7e-36
"22","SRR2939624.499318_1:713816",1.8e-36
"23","SRR2939624.298902_1:427439",3.7e-36
"24","SRR2939624.123115_1:177031",4.2e-36
"25","SRR2939624.159619_1:229132",4.9e-36
"26","SRR2939624.42151_2:60436",5.8e-36
"27","SRR2939624.518604_2:741457",1.3e-35
"28","SRR2939624.107709_1:154863",1.4e-34
"29","SRR2939624.264276_2:377526",6.1e-34
"30","SRR2939624.298902_2:427440",6.2e-34
"31","SRR2939624.123115_2:177032",1.1e-33
"32","SRR2939624.453979_2:648591",2.5e-33
"33","SRR2939624.518604_1:741456",4.5e-33
"34","SRR2939624.186009_1:266399",6.8e-33
"35","SRR2939624.453979_1:648590",1.4e-32
"36","SRR2939624.76123_2:109468",3.5e-32
"37","SRR2939624.151485_1:217577",9.6e-32
"38","SRR2939624.460298_2:657677",1.1e-31
"39","SRR2939624.416440_1:594307",1.4e-31
"40","SRR2939624.246732_1:352205",2.5e-31
"41","SRR2939624.124963_1:179660",3.8e-31
"42","SRR2939624.402895_1:575021",3.9e-31
"43","SRR2939624.231389_1:330137",4.4e-31
