"","domain_name","sequence_evalue"
"1","SRR10241523.515701_1:548967",3.2e-23
"2","SRR10241523.536851_1:571335",5.2e-23
"3","SRR10241523.515701_2:548968",1.1e-22
"4","SRR10241523.3681843_1:3915130",1.9e-22
"5","SRR10241523.4773832_1:5079201",2.1e-22
"6","SRR10241523.4484153_1:4769967",3.2e-22
"7","SRR10241523.1331540_1:1415805",3.7e-22
"8","SRR10241523.1924547_2:2045241",3.8e-22
"9","SRR10241523.2243303_2:2384042",4.1e-22
"10","SRR10241523.1880180_1:1998315",6.9e-22
"11","SRR10241523.1916094_1:2036321",7.5e-22
"12","SRR10241523.1916319_1:2036556",7.5e-22
"13","SRR10241523.488983_1:520729",7.5e-22
"14","SRR10241523.4707180_1:5008297",7.5e-22
"15","SRR10241523.669054_2:711741",1.7e-21
"16","SRR10241523.685906_2:729574",1.7e-21
"17","SRR10241523.2037893_2:2165057",1.8e-21
"18","SRR10241523.5475900_1:5826205",2.4e-21
"19","SRR10241523.4616491_2:4911199",2.4e-21
"20","SRR10241523.5072090_1:5396796",2.9e-21
"21","SRR10241523.1620903_1:1722774",3.5e-21
"22","SRR10241523.4201527_2:4467834",3.6e-21
"23","SRR10241523.4787764_1:5094030",3.6e-21
"24","SRR10241523.1447154_1:1538354",3.9e-21
"25","SRR10241523.3160026_2:3360287",4e-21
"26","SRR10241523.993884_1:1056927",4.6e-21
"27","SRR10241523.4492739_2:4779113",4.6e-21
"28","SRR10241523.955217_2:1015534",4.8e-21
"29","SRR10241523.230617_1:245308",4.8e-21
"30","SRR10241523.3414227_1:3631235",4.9e-21
"31","SRR10241523.3706200_1:3941004",5.4e-21
"32","SRR10241523.3706344_1:3941161",5.4e-21
"33","SRR10241523.664610_1:707079",5.9e-21
"34","SRR10241523.1740024_1:1849644",6e-21
"35","SRR10241523.3639531_1:3870191",6.3e-21
"36","SRR10241523.3601773_1:3830299",6.3e-21
"37","SRR10241523.53206_1:56736",6.3e-21
"38","SRR10241523.53440_1:56969",6.3e-21
"39","SRR10241523.3516869_1:3740303",6.5e-21
"40","SRR10241523.4841889_1:5151911",7.1e-21
"41","SRR10241523.4841947_1:5151967",7.1e-21
"42","SRR10241523.916047_1:973797",7.3e-21
"43","SRR10241523.3580674_1:3807775",7.3e-21
"44","SRR10241523.4334652_2:4610118",7.7e-21
"45","SRR10241523.4335228_2:4610739",7.7e-21
"46","SRR10241523.2207628_1:2345911",8.2e-21
"47","SRR10241523.2208120_1:2346443",8.2e-21
"48","SRR10241523.1948590_1:2070535",8.5e-21
"49","SRR10241523.2697307_2:2867722",8.8e-21
"50","SRR10241523.2697493_2:2867922",8.8e-21
"51","SRR10241523.3910433_1:4157591",8.9e-21
"52","SRR10241523.2118050_2:2250451",9e-21
"53","SRR10241523.879263_2:934881",9.3e-21
"54","SRR10241523.457042_1:486735",9.3e-21
"55","SRR10241523.1627293_1:1729544",9.6e-21
"56","SRR10241523.3160026_1:3360286",9.8e-21
"57","SRR10241523.1207040_1:1283320",1e-20
"58","SRR10241523.3003046_1:3192798",1.1e-20
"59","SRR10241523.3396065_2:3611862",1.1e-20
"60","SRR10241523.3861851_2:4105988",1.1e-20
"61","SRR10241523.324101_2:344974",1.1e-20
"62","SRR10241523.1552052_1:1649709",1.2e-20
"63","SRR10241523.3228336_2:3433283",1.2e-20
"64","SRR10241523.3229440_2:3434472",1.2e-20
"65","SRR10241523.1304516_1:1387028",1.2e-20
"66","SRR10241523.1213783_1:1290539",1.3e-20
"67","SRR10241523.3857339_1:4101125",1.3e-20
"68","SRR10241523.1521558_1:1617422",1.4e-20
"69","SRR10241523.1521808_1:1617687",1.4e-20
"70","SRR10241523.3426846_1:3644691",1.4e-20
