"","domain_name","sequence_evalue"
"1","SRR10241522.832212_1:865410",2.4e-30
"2","SRR10241522.528336_1:549599",3.6e-30
"3","SRR10241522.5329100_1:5545494",5.5e-30
"4","SRR10241522.1090393_1:1133836",8.1e-30
"5","SRR10241522.1304640_2:1356291",9.3e-30
"6","SRR10241522.1794879_1:1866311",9.5e-30
"7","SRR10241522.1946837_2:2024580",1.2e-29
"8","SRR10241522.351055_2:365092",1.2e-29
"9","SRR10241522.1150808_2:1196451",1.2e-29
"10","SRR10241522.4525251_1:4707858",1.2e-29
"11","SRR10241522.1219850_1:1268221",1.5e-29
"12","SRR10241522.2539262_1:2640978",1.7e-29
"13","SRR10241522.1683459_1:1750222",1.8e-29
"14","SRR10241522.1683498_1:1750267",1.8e-29
"15","SRR10241522.1710162_1:1778024",1.8e-29
"16","SRR10241522.1821799_1:1893982",1.8e-29
"17","SRR10241522.791493_1:823059",1.8e-29
"18","SRR10241522.4306015_1:4479352",1.9e-29
"19","SRR10241522.5635084_1:5864339",2.1e-29
"20","SRR10241522.4733158_1:4924748",2.2e-29
"21","SRR10241522.4422735_1:4601055",2.8e-29
"22","SRR10241522.1219850_2:1268222",2.9e-29
"23","SRR10241522.4242014_1:4412782",3.2e-29
"24","SRR10241522.2427624_1:2524807",4.3e-29
"25","SRR10241522.3908906_2:4066061",4.5e-29
"26","SRR10241522.5635084_2:5864340",5.9e-29
"27","SRR10241522.420083_1:436978",6.9e-29
"28","SRR10241522.3247471_2:3377893",1.1e-28
"29","SRR10241522.4255896_2:4427423",1.1e-28
"30","SRR10241522.4306015_2:4479353",1.4e-28
"31","SRR10241522.4123789_1:4290098",1.4e-28
"32","SRR10241522.2492732_1:2592503",1.7e-28
"33","SRR10241522.3940927_1:4099519",1.7e-28
"34","SRR10241522.4551440_2:4735120",2.2e-28
"35","SRR10241522.1829709_1:1902216",2.4e-28
"36","SRR10241522.1355837_1:1409464",2.4e-28
"37","SRR10241522.5440401_1:5661371",2.9e-28
"38","SRR10241522.1784867_2:1855840",3.2e-28
"39","SRR10241522.4658558_1:4846755",3.7e-28
"40","SRR10241522.1664820_2:1730759",3.8e-28
"41","SRR10241522.4072471_2:4236691",4.3e-28
"42","SRR10241522.3167582_1:3295041",4.5e-28
"43","SRR10241522.5818494_1:6055040",4.6e-28
"44","SRR10241522.5818662_1:6055213",4.6e-28
"45","SRR10241522.4854223_2:5051355",4.8e-28
"46","SRR10241522.4986609_1:5189266",4.8e-28
"47","SRR10241522.4986769_1:5189436",4.8e-28
"48","SRR10241522.230631_1:239671",4.8e-28
"49","SRR10241522.4689676_1:4879274",5e-28
"50","SRR10241522.3156864_2:3283846",5.8e-28
"51","SRR10241522.4898094_1:5097274",6.3e-28
"52","SRR10241522.2559336_2:2661899",6.4e-28
"53","SRR10241522.1683459_2:1750223",6.4e-28
"54","SRR10241522.1683498_2:1750268",6.4e-28
"55","SRR10241522.1710162_2:1778025",6.4e-28
"56","SRR10241522.1821799_2:1893983",6.4e-28
"57","SRR10241522.309375_2:321539",7e-28
