"","domain_name","sequence_evalue"
"1","SRR10241522.1971250_1:2049970",2.8e-29
"2","SRR10241522.100385_1:104562",3.6e-29
"3","SRR10241522.5103319_1:5310800",4.1e-29
"4","SRR10241522.21309_1:22186",5.4e-29
"5","SRR10241522.1773957_1:1844481",5.5e-29
"6","SRR10241522.2402306_2:2498349",7.1e-29
"7","SRR10241522.849028_2:882887",8.3e-29
"8","SRR10241522.2248045_1:2337861",1.1e-28
"9","SRR10241522.1998430_1:2078389",1.1e-28
"10","SRR10241522.5427302_2:5647797",1.3e-28
"11","SRR10241522.2247899_1:2337706",1.3e-28
"12","SRR10241522.5117609_1:5325689",1.4e-28
"13","SRR10241522.1942028_1:2019516",1.4e-28
"14","SRR10241522.1684777_1:1751612",1.5e-28
"15","SRR10241522.1737188_2:1806082",1.5e-28
"16","SRR10241522.3704178_1:3853242",1.5e-28
"17","SRR10241522.712624_1:741029",1.6e-28
"18","SRR10241522.3779465_1:3931440",1.6e-28
"19","SRR10241522.1995382_1:2075225",1.8e-28
"20","SRR10241522.1387650_1:1442554",1.8e-28
"21","SRR10241522.5813400_2:6049600",2e-28
"22","SRR10241522.4906858_1:5106252",2.3e-28
"23","SRR10241522.664770_1:691151",2.3e-28
"24","SRR10241522.1281253_1:1331839",2.6e-28
"25","SRR10241522.4607163_2:4793106",2.7e-28
"26","SRR10241522.3884878_1:4041146",2.8e-28
"27","SRR10241522.2194892_1:2282796",2.8e-28
"28","SRR10241522.3882770_1:4038931",3.1e-28
"29","SRR10241522.1167160_1:1213570",3.2e-28
"30","SRR10241522.2433685_1:2531057",3.2e-28
"31","SRR10241522.3310976_1:3444155",3.3e-28
"32","SRR10241522.3311608_1:3444812",3.3e-28
"33","SRR10241522.3311898_1:3445119",3.3e-28
"34","SRR10241522.1939491_2:2016821",3.6e-28
"35","SRR10241522.1940174_2:2017556",3.6e-28
"36","SRR10241522.4269011_2:4440933",3.7e-28
"37","SRR10241522.760224_1:790601",3.8e-28
"38","SRR10241522.1428108_2:1484714",4e-28
"39","SRR10241522.1428441_2:1485063",4e-28
"40","SRR10241522.1000530_1:1040072",4.1e-28
"41","SRR10241522.1301695_1:1353197",4.1e-28
"42","SRR10241522.1371690_1:1425904",4.4e-28
"43","SRR10241522.3763660_2:3914896",4.6e-28
"44","SRR10241522.3765134_2:3916441",4.6e-28
"45","SRR10241522.5677033_2:5908037",4.6e-28
"46","SRR10241522.3614064_1:3759728",5e-28
"47","SRR10241522.5424347_1:5644717",5e-28
"48","SRR10241522.5184710_1:5395551",5.2e-28
"49","SRR10241522.190730_1:198278",5.3e-28
"50","SRR10241522.4688109_1:4877622",5.6e-28
"51","SRR10241522.2318326_1:2411117",5.8e-28
"52","SRR10241522.2551775_2:2653976",5.9e-28
"53","SRR10241522.2551974_2:2654191",5.9e-28
"54","SRR10241522.4225877_2:4396008",6e-28
"55","SRR10241522.2178987_2:2266229",6.3e-28
"56","SRR10241522.3739412_2:3889783",6.5e-28
"57","SRR10241522.5610425_1:5838680",6.8e-28
"58","SRR10241522.5610500_1:5838761",6.8e-28
"59","SRR10241522.4174611_1:4342748",7e-28
"60","SRR10241522.997702_1:1037155",7.2e-28
"61","SRR10241522.3701561_1:3850526",7.3e-28
"62","SRR10241522.4827039_2:5023052",7.4e-28
"63","SRR10241522.5820793_1:6057431",7.6e-28
"64","SRR10241522.3058236_2:3181284",7.8e-28
"65","SRR10241522.1275492_1:1325829",7.8e-28
"66","SRR10241522.1552291_2:1613605",8.1e-28
"67","SRR10241522.5401706_1:5620920",8.2e-28
"68","SRR10241522.5172527_1:5382856",8.3e-28
"69","SRR10241522.4770129_1:4963393",8.4e-28
"70","SRR10241522.3536803_1:3679122",8.8e-28
"71","SRR10241522.2509153_2:2609622",9e-28
"72","SRR10241522.234191_1:243379",9.2e-28
"73","SRR10241522.2035200_1:2116772",9.3e-28
"74","SRR10241522.1902611_2:1978249",9.3e-28
"75","SRR10241522.3938120_1:4096497",9.4e-28
"76","SRR10241522.2921868_1:3039244",9.7e-28
"77","SRR10241522.699990_1:727870",1e-27
"78","SRR10241522.3266436_1:3397747",1e-27
"79","SRR10241522.318296_1:330769",1.1e-27
"80","SRR10241522.318978_1:331480",1.1e-27
"81","SRR10241522.5782524_1:6017447",1.1e-27
"82","SRR10241522.3562639_2:3706165",1.1e-27
"83","SRR10241522.3562991_2:3706542",1.1e-27
"84","SRR10241522.2273204_1:2364081",1.1e-27
"85","SRR10241522.2273204_2:2364082",1.1e-27
"86","SRR10241522.5613276_2:5841596",1.1e-27
"87","SRR10241522.1970754_1:2049453",1.1e-27
"88","SRR10241522.161243_2:167709",1.2e-27
"89","SRR10241522.376008_1:391027",1.2e-27
"90","SRR10241522.696192_1:723896",1.2e-27
"91","SRR10241522.3771426_1:3923028",1.2e-27
"92","SRR10241522.4596294_1:4781895",1.2e-27
"93","SRR10241522.3111713_1:3236572",1.2e-27
"94","SRR10241522.3143440_1:3269940",1.2e-27
"95","SRR10241522.5003078_1:5206352",1.3e-27
"96","SRR10241522.2003060_2:2083210",1.3e-27
"97","SRR10241522.4928862_1:5129115",1.3e-27
"98","SRR10241522.5712103_1:5944318",1.3e-27
"99","SRR10241522.4259743_1:4431356",1.3e-27
"100","SRR10241522.4063969_1:4227831",1.3e-27
"101","SRR10241522.4442875_1:4622022",1.4e-27
"102","SRR10241522.4445822_1:4625104",1.4e-27
"103","SRR10241522.1513156_1:1573321",1.4e-27
"104","SRR10241522.1338679_1:1391691",1.4e-27
"105","SRR10241522.5755310_1:5989333",1.5e-27
"106","SRR10241522.5213045_1:5424661",1.5e-27
"107","SRR10241522.940410_1:977711",1.5e-27
"108","SRR10241522.4612381_1:4798516",1.5e-27
"109","SRR10241522.817741_1:850305",1.5e-27
"110","SRR10241522.1239327_2:1288450",1.5e-27
"111","SRR10241522.3343832_2:3478555",1.5e-27
"112","SRR10241522.2983801_1:3103786",1.5e-27
"113","SRR10241522.2017882_2:2098684",1.6e-27
"114","SRR10241522.5501732_1:5725425",1.6e-27
"115","SRR10241522.1226862_1:1275454",1.6e-27
"116","SRR10241522.1773957_2:1844482",1.6e-27
"117","SRR10241522.1215000_2:1263199",1.7e-27
"118","SRR10241522.1012802_1:1052937",1.7e-27
"119","SRR10241522.656492_2:682530",1.7e-27
"120","SRR10241522.3281397_2:3413361",1.8e-27
"121","SRR10241522.4785502_1:4979520",1.8e-27
"122","SRR10241522.2884514_2:3000355",1.9e-27
"123","SRR10241522.2889311_2:3005417",1.9e-27
"124","SRR10241522.3460140_2:3599626",1.9e-27
"125","SRR10241522.1964852_2:2043355",1.9e-27
"126","SRR10241522.673297_2:699984",1.9e-27
"127","SRR10241522.1239327_1:1288449",2e-27
"128","SRR10241522.2007764_1:2088122",2e-27
"129","SRR10241522.2100445_2:2184474",2e-27
"130","SRR10241522.3140567_1:3266970",2e-27
"131","SRR10241522.1864377_1:1938414",2e-27
"132","SRR10241522.2402306_1:2498348",2.1e-27
"133","SRR10241522.2551775_1:2653975",2.1e-27
"134","SRR10241522.2551974_1:2654190",2.1e-27
"135","SRR10241522.5377272_1:5595499",2.1e-27
"136","SRR10241522.589787_1:613649",2.1e-27
"137","SRR10241522.5155763_1:5365304",2.1e-27
"138","SRR10241522.4006468_2:4167678",2.1e-27
"139","SRR10241522.745908_2:775604",2.2e-27
"140","SRR10241522.2355941_1:2450190",2.2e-27
"141","SRR10241522.2918762_1:3036018",2.2e-27
"142","SRR10241522.3919614_1:4077292",2.2e-27
"143","SRR10241522.1575885_1:1638149",2.3e-27
"144","SRR10241522.1572210_1:1634345",2.3e-27
"145","SRR10241522.3971403_1:4131404",2.3e-27
"146","SRR10241522.4208447_1:4377855",2.3e-27
"147","SRR10241522.2633643_1:2739155",2.4e-27
"148","SRR10241522.3604841_1:3750084",2.4e-27
"149","SRR10241522.4604558_1:4790436",2.5e-27
"150","SRR10241522.5569212_1:5795614",2.5e-27
"151","SRR10241522.5339784_1:5556494",2.5e-27
"152","SRR10241522.219246_1:227926",2.5e-27
"153","SRR10241522.1073036_2:1115702",2.5e-27
"154","SRR10241522.4242513_1:4413313",2.6e-27
"155","SRR10241522.5525741_1:5750345",2.6e-27
"156","SRR10241522.1100743_1:1144568",2.6e-27
"157","SRR10241522.2158102_2:2244628",2.6e-27
"158","SRR10241522.4570683_1:4755206",2.6e-27
"159","SRR10241522.3187051_1:3315125",2.7e-27
"160","SRR10241522.3487269_1:3627779",2.8e-27
"161","SRR10241522.1843110_1:1916199",2.8e-27
"162","SRR10241522.3098813_1:3223216",2.8e-27
"163","SRR10241522.4006468_1:4167677",2.8e-27
"164","SRR10241522.4499338_1:4680910",2.8e-27
"165","SRR10241522.5199515_1:5410697",2.8e-27
"166","SRR10241522.5228142_1:5440404",2.8e-27
"167","SRR10241522.1893609_1:1968859",2.8e-27
"168","SRR10241522.1599052_1:1662145",2.9e-27
"169","SRR10241522.5341267_2:5558040",2.9e-27
"170","SRR10241522.609553_2:634105",2.9e-27
"171","SRR10241522.1224882_1:1273388",3e-27
"172","SRR10241522.2156277_1:2242742",3e-27
"173","SRR10241522.4318459_1:4492375",3e-27
"174","SRR10241522.5501211_1:5724904",3e-27
"175","SRR10241522.5502364_1:5726085",3e-27
"176","SRR10241522.3864188_1:4019646",3e-27
"177","SRR10241522.367744_1:382433",3.1e-27
"178","SRR10241522.5806134_1:6042054",3.1e-27
"179","SRR10241522.4612381_2:4798517",3.1e-27
"180","SRR10241522.897423_1:932885",3.2e-27
"181","SRR10241522.3815281_1:3968829",3.2e-27
"182","SRR10241522.5427949_1:5648481",3.2e-27
"183","SRR10241522.26700_2:27728",3.2e-27
"184","SRR10241522.83979_1:87378",3.3e-27
"185","SRR10241522.5700267_1:5932148",3.3e-27
"186","SRR10241522.1083872_2:1127014",3.4e-27
"187","SRR10241522.4960470_1:5162070",3.4e-27
"188","SRR10241522.3567354_1:3711047",3.5e-27
"189","SRR10241522.41741_2:43325",3.5e-27
"190","SRR10241522.2776656_1:2888168",3.5e-27
"191","SRR10241522.5670762_1:5901498",3.5e-27
"192","SRR10241522.4556025_1:4739907",3.5e-27
"193","SRR10241522.5367441_1:5585206",3.5e-27
"194","SRR10241522.5276538_1:5490624",3.6e-27
"195","SRR10241522.4840208_1:5036752",3.6e-27
"196","SRR10241522.2497713_1:2597696",3.6e-27
"197","SRR10241522.1035862_1:1077146",3.6e-27
"198","SRR10241522.1047288_1:1089078",3.6e-27
"199","SRR10241522.2035200_2:2116773",3.6e-27
"200","SRR10241522.1010388_1:1050432",3.7e-27
"201","SRR10241522.5091153_1:5298274",3.7e-27
"202","SRR10241522.1579201_1:1641592",3.7e-27
"203","SRR10241522.3131418_1:3257357",3.7e-27
"204","SRR10241522.1443533_1:1500810",3.7e-27
"205","SRR10241522.4225851_2:4395978",3.8e-27
"206","SRR10241522.606302_2:630693",3.8e-27
"207","SRR10241522.3701334_1:3850277",3.8e-27
"208","SRR10241522.897937_2:933396",3.8e-27
"209","SRR10241522.897937_1:933395",3.8e-27
"210","SRR10241522.992162_2:1031323",3.9e-27
"211","SRR10241522.3058236_1:3181283",3.9e-27
"212","SRR10241522.2958171_2:3077171",4e-27
"213","SRR10241522.5512911_1:5737122",4e-27
"214","SRR10241522.5524432_1:5748986",4e-27
"215","SRR10241522.2056804_1:2138997",4.1e-27
"216","SRR10241522.1505616_1:1565587",4.1e-27
"217","SRR10241522.5187816_1:5398710",4.2e-27
"218","SRR10241522.997702_2:1037156",4.2e-27
"219","SRR10241522.468301_1:487471",4.3e-27
"220","SRR10241522.312451_1:324732",4.4e-27
"221","SRR10241522.4382474_2:4559221",4.4e-27
"222","SRR10241522.2906875_2:3023547",4.5e-27
"223","SRR10241522.1625665_1:1689897",4.5e-27
"224","SRR10241522.257027_2:267062",4.6e-27
"225","SRR10241522.897363_1:932822",4.6e-27
"226","SRR10241522.1387498_1:1442390",4.6e-27
"227","SRR10241522.2140966_1:2226727",4.7e-27
"228","SRR10241522.1902611_1:1978248",4.7e-27
"229","SRR10241522.2200469_2:2288569",4.8e-27
"230","SRR10241522.3873222_2:4028950",4.8e-27
"231","SRR10241522.2711016_2:2820005",4.8e-27
"232","SRR10241522.3655404_1:3802629",4.8e-27
"233","SRR10241522.2448875_1:2546949",4.8e-27
"234","SRR10241522.4812110_1:5007417",4.9e-27
"235","SRR10241522.140927_1:146730",4.9e-27
"236","SRR10241522.142516_1:148334",4.9e-27
"237","SRR10241522.1381183_1:1435846",4.9e-27
"238","SRR10241522.4204027_1:4373394",5e-27
"239","SRR10241522.4204660_1:4374036",5e-27
"240","SRR10241522.367744_2:382434",5e-27
"241","SRR10241522.2047539_1:2129448",5e-27
"242","SRR10241522.1964852_1:2043354",5e-27
"243","SRR10241522.2476522_1:2575652",5.1e-27
"244","SRR10241522.3338457_1:3472877",5.2e-27
"245","SRR10241522.11021_1:11478",5.2e-27
"246","SRR10241522.172035_2:178928",5.2e-27
"247","SRR10241522.3057117_1:3180089",5.3e-27
"248","SRR10241522.4687203_1:4876658",5.3e-27
"249","SRR10241522.2147398_2:2233489",5.3e-27
"250","SRR10241522.1240507_2:1289708",5.3e-27
"251","SRR10241522.1240640_2:1289843",5.3e-27
"252","SRR10241522.4436117_1:4615086",5.3e-27
"253","SRR10241522.3343832_1:3478554",5.3e-27
"254","SRR10241522.1802893_2:1874535",5.4e-27
"255","SRR10241522.4881186_2:5079561",5.5e-27
"256","SRR10241522.1443533_2:1500811",5.6e-27
"257","SRR10241522.4911686_1:5111317",5.6e-27
"258","SRR10241522.3140567_2:3266971",5.6e-27
"259","SRR10241522.3845230_2:4000000",5.6e-27
"260","SRR10241522.5752998_1:5986967",5.7e-27
"261","SRR10241522.4292955_2:4465751",5.7e-27
"262","SRR10241522.3117597_2:3242758",5.7e-27
"263","SRR10241522.407042_1:423460",5.7e-27
"264","SRR10241522.2285383_2:2376692",5.7e-27
"265","SRR10241522.5331459_2:5547884",5.8e-27
"266","SRR10241522.5076850_1:5283371",5.8e-27
"267","SRR10241522.1303125_1:1354707",5.8e-27
"268","SRR10241522.5341267_1:5558039",5.9e-27
"269","SRR10241522.5815225_1:6051562",5.9e-27
"270","SRR10241522.5730245_1:5963329",5.9e-27
"271","SRR10241522.2697250_1:2805628",5.9e-27
"272","SRR10241522.2791175_2:2903282",5.9e-27
"273","SRR10241522.4636740_1:4823971",6e-27
"274","SRR10241522.3692829_2:3841357",6e-27
"275","SRR10241522.5502815_1:5726541",6e-27
"276","SRR10241522.771610_2:802401",6.1e-27
"277","SRR10241522.849028_1:882886",6.1e-27
"278","SRR10241522.3460140_1:3599625",6.2e-27
"279","SRR10241522.5295778_1:5510676",6.2e-27
"280","SRR10241522.3521714_1:3663437",6.2e-27
"281","SRR10241522.321118_1:333724",6.3e-27
"282","SRR10241522.2154815_1:2241210",6.3e-27
"283","SRR10241522.4293237_2:4466052",6.3e-27
"284","SRR10241522.3916260_1:4073756",6.4e-27
"285","SRR10241522.897423_2:932886",6.4e-27
"286","SRR10241522.2497713_2:2597697",6.4e-27
"287","SRR10241522.1355862_1:1409484",6.5e-27
"288","SRR10241522.124839_1:130093",6.5e-27
"289","SRR10241522.3335189_1:3469416",6.5e-27
"290","SRR10241522.3806066_1:3959182",6.5e-27
"291","SRR10241522.2884514_1:3000354",6.5e-27
"292","SRR10241522.2889311_1:3005416",6.5e-27
"293","SRR10241522.1619506_2:1683483",6.5e-27
"294","SRR10241522.2363665_1:2458238",6.6e-27
"295","SRR10241522.446510_1:464644",6.6e-27
"296","SRR10241522.5787630_1:6022783",6.7e-27
"297","SRR10241522.2337484_1:2431117",6.7e-27
"298","SRR10241522.128371_1:133683",6.8e-27
"299","SRR10241522.1213723_1:1261832",6.8e-27
"300","SRR10241522.534945_2:556438",6.9e-27
"301","SRR10241522.2762858_1:2873814",7e-27
"302","SRR10241522.355809_1:370036",7.1e-27
"303","SRR10241522.355890_1:370131",7.1e-27
"304","SRR10241522.3084609_1:3208540",7.1e-27
"305","SRR10241522.1167160_2:1213571",7.2e-27
"306","SRR10241522.3593635_1:3738440",7.3e-27
"307","SRR10241522.1816896_1:1888861",7.4e-27
"308","SRR10241522.1816896_2:1888862",7.4e-27
"309","SRR10241522.704719_1:732784",7.4e-27
"310","SRR10241522.2158102_1:2244627",7.6e-27
"311","SRR10241522.5623293_1:5852044",7.6e-27
"312","SRR10241522.1625665_2:1689898",7.7e-27
"313","SRR10241522.534945_1:556437",7.7e-27
"314","SRR10241522.5004866_1:5208258",7.7e-27
"315","SRR10241522.1925569_1:2002342",7.8e-27
"316","SRR10241522.3739672_1:3890029",7.8e-27
"317","SRR10241522.1473711_1:1532266",7.9e-27
"318","SRR10241522.4296670_1:4469679",7.9e-27
"319","SRR10241522.5330673_1:5547070",8.1e-27
"320","SRR10241522.79219_1:82418",8.1e-27
"321","SRR10241522.3199077_1:3327583",8.1e-27
"322","SRR10241522.3331349_1:3465364",8.2e-27
"323","SRR10241522.5794265_1:6029696",8.2e-27
"324","SRR10241522.3738933_2:3889296",8.3e-27
"325","SRR10241522.329151_2:342209",8.4e-27
"326","SRR10241522.4771848_2:4965205",8.4e-27
"327","SRR10241522.4772182_2:4965540",8.4e-27
"328","SRR10241522.2721113_1:2830505",8.5e-27
"329","SRR10241522.2776819_1:2888325",8.5e-27
"330","SRR10241522.2777624_1:2889174",8.5e-27
"331","SRR10241522.605062_1:629381",8.7e-27
"332","SRR10241522.605063_1:629383",8.7e-27
"333","SRR10241522.2533082_2:2634424",8.7e-27
"334","SRR10241522.1080402_2:1123380",8.8e-27
"335","SRR10241522.3981523_2:4141777",8.8e-27
"336","SRR10241522.3179402_2:3307250",8.9e-27
"337","SRR10241522.1764842_1:1834976",9e-27
"338","SRR10241522.992162_1:1031322",9e-27
"339","SRR10241522.5494066_2:5717341",9e-27
"340","SRR10241522.609553_1:634104",9.1e-27
"341","SRR10241522.5782740_1:6017664",9.4e-27
"342","SRR10241522.578107_1:601485",9.5e-27
"343","SRR10241522.2411411_2:2507772",9.6e-27
"344","SRR10241522.5807910_1:6043889",9.6e-27
"345","SRR10241522.1751646_1:1821240",9.6e-27
"346","SRR10241522.1751740_1:1821333",9.6e-27
"347","SRR10241522.3255898_1:3386732",9.7e-27
"348","SRR10241522.171248_2:178094",9.7e-27
"349","SRR10241522.2969853_1:3089272",9.8e-27
"350","SRR10241522.1152911_1:1198651",9.8e-27
"351","SRR10241522.3916260_2:4073757",9.9e-27
"352","SRR10241522.2633643_2:2739156",1e-26
"353","SRR10241522.5512409_1:5736607",1e-26
"354","SRR10241522.4811435_1:5006724",1e-26
"355","SRR10241522.4811477_1:5006772",1e-26
"356","SRR10241522.1102039_1:1145922",1.1e-26
"357","SRR10241522.257027_1:267061",1.1e-26
"358","SRR10241522.144152_1:150004",1.1e-26
"359","SRR10241522.2665557_1:2772536",1.1e-26
