"","domain_name","sequence_evalue"
"1","SRR6048648.35033996_1:28596498",2.5e-28
"2","SRR6048648.49185613_1:40154717",8.3e-27
"3","SRR6048648.82290873_2:67196931",3.9e-26
"4","SRR6048648.68368839_1:55821609",5e-26
"5","SRR6048648.32797196_1:26766301",6.7e-26
"6","SRR6048648.49129865_1:40109267",9.1e-26
"7","SRR6048648.71037045_1:58000595",1e-25
"8","SRR6048648.59908110_1:48910597",1.3e-25
"9","SRR6048648.5784234_1:4718425",1.6e-25
"10","SRR6048648.12823971_1:10462421",1.6e-25
"11","SRR6048648.15423624_1:12582502",2.3e-25
"12","SRR6048648.77961230_1:63659979",2.9e-25
"13","SRR6048648.56378362_2:46028538",3.2e-25
"14","SRR6048648.22504805_1:18363509",3.2e-25
"15","SRR6048648.73727760_2:60200446",3.3e-25
"16","SRR6048648.36116057_1:29481437",3.4e-25
"17","SRR6048648.31589410_1:25779190",3.9e-25
"18","SRR6048648.35598866_1:29058666",4.8e-25
"19","SRR6048648.22615720_1:18453914",5.5e-25
"20","SRR6048648.67453348_1:55074569",6.3e-25
"21","SRR6048648.42365636_1:34582238",6.6e-25
"22","SRR6048648.5784234_2:4718426",7.1e-25
"23","SRR6048648.37556350_1:30658747",7.4e-25
"24","SRR6048648.65190077_1:53227117",1e-24
"25","SRR6048648.15200220_1:12399964",1.1e-24
"26","SRR6048648.32535538_2:26552165",1.4e-24
"27","SRR6048648.1322259_1:1077623",1.5e-24
"28","SRR6048648.35033996_2:28596499",1.7e-24
"29","SRR6048648.38093371_1:31097007",1.9e-24
"30","SRR6048648.82585757_1:67437206",2e-24
"31","SRR6048648.74582751_2:60899457",2.2e-24
"32","SRR6048648.287182_2:234062",2.2e-24
"33","SRR6048648.74970751_2:61216312",2.2e-24
"34","SRR6048648.6372044_2:5198113",2.7e-24
"35","SRR6048648.74690696_1:60987606",2.8e-24
"36","SRR6048648.18590761_1:15169483",2.8e-24
"37","SRR6048648.6045654_1:4931273",3.8e-24
"38","SRR6048648.6977422_1:5692680",3.8e-24
"39","SRR6048648.74690696_2:60987607",4.3e-24
"40","SRR6048648.57424694_1:46883395",4.4e-24
"41","SRR6048648.62546269_1:51067290",4.7e-24
"42","SRR6048648.33815701_1:27600077",4.9e-24
"43","SRR6048648.33340545_1:27210937",5e-24
"44","SRR6048648.76576428_1:62529068",5.1e-24
"45","SRR6048648.67747504_1:55314974",5.3e-24
"46","SRR6048648.19976221_1:16300615",5.6e-24
"47","SRR6048648.73727760_1:60200445",6.2e-24
"48","SRR6048648.13713384_1:11187158",6.3e-24
"49","SRR6048648.74904253_1:61161876",6.9e-24
"50","SRR6048648.62747399_1:51230938",7.2e-24
"51","SRR6048648.69497727_1:56742687",7.4e-24
"52","SRR6048648.79814690_1:65173965",7.5e-24
"53","SRR6048648.64320973_1:52516705",7.9e-24
"54","SRR6048648.77312835_1:63130055",7.9e-24
"55","SRR6048648.9119181_1:7441077",7.9e-24
"56","SRR6048648.18336488_1:14962268",8.5e-24
"57","SRR6048648.60167485_1:49122939",1e-23
"58","SRR6048648.36116057_2:29481438",1.2e-23
"59","SRR6048648.287182_1:234061",1.3e-23
"60","SRR6048648.74970751_1:61216311",1.3e-23
"61","SRR6048648.19976221_2:16300616",1.6e-23
"62","SRR6048648.19257504_1:15713606",1.6e-23
"63","SRR6048648.9929103_1:8101590",1.8e-23
"64","SRR6048648.3590114_1:2928307",2.1e-23
"65","SRR6048648.34040052_1:27783911",2.1e-23
"66","SRR6048648.28569052_1:23311461",2.2e-23
"67","SRR6048648.5544143_1:4522923",2.5e-23
"68","SRR6048648.30779529_1:25118302",2.5e-23
"69","SRR6048648.67173203_1:54845985",3e-23
"70","SRR6048648.43615115_1:35600901",3.1e-23
"71","SRR6048648.83405933_2:68105170",3.3e-23
"72","SRR6048648.28326130_1:23112863",4.1e-23
"73","SRR6048648.54141976_1:44203109",4.1e-23
"74","SRR6048648.18358632_1:14980229",4.3e-23
"75","SRR6048648.4114865_1:3356632",4.4e-23
"76","SRR6048648.71365557_1:58269243",4.9e-23
"77","SRR6048648.14641080_2:11943815",5.3e-23
"78","SRR6048648.48767207_1:39812531",5.3e-23
"79","SRR6048648.70224457_1:57336685",6.6e-23
"80","SRR6048648.46824876_1:38225028",6.7e-23
"81","SRR6048648.36172997_1:29528050",6.8e-23
"82","SRR6048648.81988307_1:66949909",6.9e-23
"83","SRR6048648.21031614_2:17161319",7.5e-23
"84","SRR6048648.46786564_2:38193697",8e-23
"85","SRR6048648.53267591_1:43488411",8.7e-23
"86","SRR6048648.3291573_1:2685303",9.8e-23
"87","SRR6048648.65178874_1:53217909",1e-22
"88","SRR6048648.70843254_1:57842333",1.1e-22
"89","SRR6048648.51880263_1:42355467",1.1e-22
"90","SRR6048648.47914081_1:39115067",1.1e-22
"91","SRR6048648.38829511_1:31697688",1.1e-22
"92","SRR6048648.19560173_1:15960353",1.2e-22
"93","SRR6048648.67105419_1:54790552",1.3e-22
"94","SRR6048648.67924665_1:55459599",1.3e-22
"95","SRR6048648.16131974_1:13160576",1.3e-22
"96","SRR6048648.36821841_2:30058655",1.4e-22
"97","SRR6048648.81095508_1:66221795",1.4e-22
"98","SRR6048648.82290873_1:67196930",1.4e-22
"99","SRR6048648.69492416_1:56738298",1.5e-22
"100","SRR6048648.9929103_2:8101591",1.6e-22
"101","SRR6048648.80644076_1:65852367",1.6e-22
"102","SRR6048648.63134283_1:51547468",1.7e-22
"103","SRR6048648.37938365_2:30970275",1.8e-22
"104","SRR6048648.32835887_2:26797942",1.8e-22
"105","SRR6048648.39866969_1:32543728",1.9e-22
"106","SRR6048648.21031614_1:17161318",1.9e-22
"107","SRR6048648.75548115_1:61688598",1.9e-22
"108","SRR6048648.26436391_1:21573211",2e-22
"109","SRR6048648.71817017_2:58637772",2.1e-22
"110","SRR6048648.15093170_1:12312621",2.3e-22
"111","SRR6048648.33240516_1:27128993",2.3e-22
"112","SRR6048648.66323579_1:54152258",2.5e-22
"113","SRR6048648.14641080_1:11943814",2.6e-22
"114","SRR6048648.29177968_1:23809470",2.8e-22
"115","SRR6048648.46786564_1:38193696",3.3e-22
"116","SRR6048648.69700845_2:56908601",3.4e-22
"117","SRR6048648.69497727_2:56742688",3.5e-22
"118","SRR6048648.83405933_1:68105169",3.7e-22
"119","SRR6048648.29372157_1:23968201",4e-22
"120","SRR6048648.32535538_1:26552164",4e-22
"121","SRR6048648.75185274_1:61391527",4.7e-22
"122","SRR6048648.10539577_1:8599753",4.7e-22
"123","SRR6048648.61328330_1:50072622",5.1e-22
"124","SRR6048648.29993220_1:24475832",5.4e-22
"125","SRR6048648.38093371_2:31097008",6e-22
"126","SRR6048648.10128688_2:8264353",6.4e-22
"127","SRR6048648.20938104_1:17085112",6.7e-22
"128","SRR6048648.26762342_1:21838430",7.7e-22
"129","SRR6048648.7241387_2:5908051",7.7e-22
"130","SRR6048648.75446342_1:61605184",8.3e-22
"131","SRR6048648.67747504_2:55314975",9e-22
"132","SRR6048648.28090600_1:22921070",9.6e-22
"133","SRR6048648.79814690_2:65173966",1e-21
"134","SRR6048648.7241387_1:5908050",1e-21
"135","SRR6048648.29993220_2:24475833",1.1e-21
"136","SRR6048648.1602912_1:1307169",1.1e-21
"137","SRR6048648.23793103_1:19415663",1.1e-21
"138","SRR6048648.71365557_2:58269244",1.2e-21
"139","SRR6048648.43615115_2:35600902",1.2e-21
"140","SRR6048648.9175411_1:7486845",1.3e-21
"141","SRR6048648.17686297_2:14430853",1.3e-21
"142","SRR6048648.65261733_1:53285799",1.3e-21
"143","SRR6048648.75446342_2:61605185",1.4e-21
"144","SRR6048648.33198751_1:27094719",1.4e-21
"145","SRR6048648.57424694_2:46883396",1.4e-21
"146","SRR6048648.6950789_1:5670909",1.8e-21
"147","SRR6048648.1392274_2:1135033",1.8e-21
"148","SRR6048648.67173203_2:54845986",1.9e-21
"149","SRR6048648.56048829_1:45759834",2e-21
"150","SRR6048648.25268414_1:20619325",2.1e-21
"151","SRR6048648.56605889_1:46214159",2.3e-21
"152","SRR6048648.56455672_1:46091382",2.3e-21
"153","SRR6048648.20728513_1:16914051",2.4e-21
"154","SRR6048648.47511338_1:38786064",2.6e-21
"155","SRR6048648.76980486_1:62859185",2.6e-21
"156","SRR6048648.32659344_1:26653594",2.8e-21
"157","SRR6048648.47511338_2:38786065",2.8e-21
"158","SRR6048648.76980486_2:62859186",2.8e-21
"159","SRR6048648.10128688_1:8264352",2.9e-21
"160","SRR6048648.56605889_2:46214160",3.1e-21
"161","SRR6048648.15022804_1:12255174",3.2e-21
"162","SRR6048648.41252627_1:33675075",3.3e-21
"163","SRR6048648.22383828_1:18264917",3.8e-21
"164","SRR6048648.32927125_2:26872348",4.2e-21
"165","SRR6048648.80019519_1:65342167",4.2e-21
"166","SRR6048648.33715290_1:27517702",4.3e-21
"167","SRR6048648.40667164_2:33196750",4.4e-21
"168","SRR6048648.60287854_1:49221512",4.6e-21
"169","SRR6048648.33421606_1:27277378",4.9e-21
"170","SRR6048648.2512460_1:2049644",5.6e-21
"171","SRR6048648.60167485_2:49122940",5.6e-21
"172","SRR6048648.2013669_1:1642094",5.6e-21
"173","SRR6048648.1872144_2:1526764",5.7e-21
