"","domain_name","sequence_evalue"
"1","HISEQ13:138:C6FWNANXX:2:1213:3896:21178_1:44126274",1.9e-28
"2","HISEQ13:138:C6FWNANXX:2:2213:11600:31736_1:119164065",1.9e-28
"3","HISEQ13:138:C6FWNANXX:2:1209:8054:76151_1:38562869",2.8e-28
"4","HISEQ13:138:C6FWNANXX:2:1309:10195:22613_1:63181712",2.8e-28
"5","HISEQ13:138:C6FWNANXX:2:1311:20886:91753_1:67549202",2.8e-28
"6","HISEQ13:138:C6FWNANXX:2:2314:11746:37592_1:145525723",2.8e-28
"7","HISEQ13:138:C6FWNANXX:2:2211:15312:78665_1:116724060",3.5e-28
"8","HISEQ13:138:C6FWNANXX:2:2312:20627:24707_1:142060289",3.5e-28
"9","HISEQ13:138:C6FWNANXX:2:1305:10449:92448_1:58030923",3.6e-28
"10","HISEQ13:138:C6FWNANXX:2:2104:19500:80317_1:81700298",3.6e-28
"11","HISEQ13:138:C6FWNANXX:2:2312:4984:11381_1:141842300",3.6e-28
"12","HISEQ13:138:C6FWNANXX:2:1312:20774:61716_1:68700200",3.9e-28
"13","HISEQ13:138:C6FWNANXX:2:2116:10183:48029_1:99802217",3.9e-28
"14","HISEQ13:138:C6FWNANXX:2:2203:21119:87301_1:104805564",3.9e-28
"15","HISEQ13:138:C6FWNANXX:2:1105:21238:27232_1:6375219",4.2e-28
"16","HISEQ13:138:C6FWNANXX:2:2312:6500:73445_1:142846956",4.2e-28
"17","HISEQ13:138:C6FWNANXX:2:2307:5542:91244_1:135336382",4.3e-28
"18","HISEQ13:138:C6FWNANXX:2:2311:10847:38675_1:140689940",4.3e-28
"19","HISEQ13:138:C6FWNANXX:2:1311:12540:96188_1:67619471",5.4e-28
"20","HISEQ13:138:C6FWNANXX:2:2201:16956:50102_1:101386333",5.4e-28
"21","HISEQ13:138:C6FWNANXX:2:2207:18248:11390_1:109546176",5.4e-28
"22","HISEQ13:138:C6FWNANXX:2:2314:10535:94827_1:146484312",5.4e-28
"23","HISEQ13:138:C6FWNANXX:2:1113:9040:66894_1:19561962",5.6e-28
"24","HISEQ13:138:C6FWNANXX:2:2104:5751:68165_1:81518662",5.6e-28
"25","HISEQ13:138:C6FWNANXX:2:1103:8350:53675_1:3766858",5.9e-28
"26","HISEQ13:138:C6FWNANXX:2:1306:7178:36011_1:58697769",5.9e-28
"27","HISEQ13:138:C6FWNANXX:2:1311:4637:41189_1:66698608",5.9e-28
"28","HISEQ13:138:C6FWNANXX:2:2116:5293:24952_1:99408763",5.9e-28
"29","HISEQ13:138:C6FWNANXX:2:2311:10847:38675_1:140689941",5.9e-28
"30","HISEQ13:138:C6FWNANXX:2:1112:2518:90550_1:18303552",6.2e-28
"31","HISEQ13:138:C6FWNANXX:2:1310:17785:17859_1:64704761",6.2e-28
"32","HISEQ13:138:C6FWNANXX:2:2314:11746:37592_1:145525722",6.2e-28
"33","HISEQ13:138:C6FWNANXX:2:1107:3132:19709_1:9319028",6.3e-28
"34","HISEQ13:138:C6FWNANXX:2:1201:20877:74124_1:26343953",6.3e-28
"35","HISEQ13:138:C6FWNANXX:2:1216:13780:37804_1:49535897",6.3e-28
"36","HISEQ13:138:C6FWNANXX:2:2105:17508:48247_1:82683554",6.3e-28
"37","HISEQ13:138:C6FWNANXX:2:2302:2831:43750_1:127336827",6.3e-28
"38","HISEQ13:138:C6FWNANXX:2:1116:3975:31395_1:24043699",6.3e-28
"39","HISEQ13:138:C6FWNANXX:2:2215:3956:24651_1:122336965",6.3e-28
"40","HISEQ13:138:C6FWNANXX:2:1314:20178:24192_1:71428545",6.4e-28
"41","HISEQ13:138:C6FWNANXX:2:2303:4575:61597_1:129021993",6.4e-28
"42","HISEQ13:138:C6FWNANXX:2:2315:16308:20344_1:146894935",6.4e-28
"43","HISEQ13:138:C6FWNANXX:2:1209:7451:59320_1:38293686",6.5e-28
