"","domain_name","sequence_evalue"
"1","SRR10241524.1423702_1:1572422",7.1e-49
"2","SRR10241524.951159_2:1050765",3.2e-28
"3","SRR10241524.2900847_2:3202118",6.6e-27
"4","SRR10241524.4055004_1:4475696",9.4e-27
"5","SRR10241524.4055752_1:4476520",9.4e-27
"6","SRR10241524.4055864_1:4476624",9.4e-27
"7","SRR10241524.1646478_1:1818623",1.2e-26
"8","SRR10241524.5005049_1:5525527",2.2e-26
"9","SRR10241524.5005160_1:5525667",2.2e-26
"10","SRR10241524.5142928_1:5677810",2.4e-26
"11","SRR10241524.5143450_1:5678368",2.4e-26
"12","SRR10241524.3032240_1:3347190",2.4e-26
"13","SRR10241524.1610540_1:1778903",2.8e-26
"14","SRR10241524.3160910_1:3488975",3e-26
"15","SRR10241524.3256164_1:3594347",3e-26
"16","SRR10241524.3256658_1:3594866",3e-26
"17","SRR10241524.3256876_1:3595109",3e-26
"18","SRR10241524.1628893_1:1799230",4.9e-26
"19","SRR10241524.172711_1:190802",5e-26
"20","SRR10241524.1861690_1:2055715",6.2e-26
"21","SRR10241524.901005_2:995226",6.3e-26
"22","SRR10241524.4139024_1:4568652",6.7e-26
"23","SRR10241524.625241_1:690567",7.8e-26
"24","SRR10241524.1233604_2:1362372",8e-26
"25","SRR10241524.594246_1:656042",8.2e-26
"26","SRR10241524.4259365_2:4701702",9.2e-26
"27","SRR10241524.3198749_1:3531281",9.2e-26
"28","SRR10241524.1975237_1:2181090",9.3e-26
"29","SRR10241524.1975237_2:2181091",9.6e-26
"30","SRR10241524.3160910_2:3488976",9.7e-26
"31","SRR10241524.5123590_1:5656425",1e-25
"32","SRR10241524.1566656_1:1730594",1.2e-25
"33","SRR10241524.4467808_1:4932030",1.4e-25
"34","SRR10241524.2251437_1:2485744",1.4e-25
"35","SRR10241524.5111565_2:5643257",1.4e-25
"36","SRR10241524.5298758_2:5849540",1.4e-25
"37","SRR10241524.4639597_1:5121734",1.5e-25
"38","SRR10241524.2671604_1:2948457",1.8e-25
"39","SRR10241524.4275655_2:4719698",1.9e-25
"40","SRR10241524.4275764_2:4719817",1.9e-25
"41","SRR10241524.13871_1:15413",1.9e-25
"42","SRR10241524.655997_1:724331",2e-25
"43","SRR10241524.5022316_1:5544370",2e-25
"44","SRR10241524.2237589_1:2470548",2.1e-25
"45","SRR10241524.2238563_1:2471612",2.1e-25
"46","SRR10241524.2590875_2:2859716",2.2e-25
"47","SRR10241524.1027749_1:1135277",2.2e-25
"48","SRR10241524.3198749_2:3531282",2.4e-25
"49","SRR10241524.3836414_1:4234332",2.7e-25
"50","SRR10241524.1321675_2:1459993",2.7e-25
"51","SRR10241524.2590875_1:2859715",3e-25
"52","SRR10241524.2441375_2:2694904",3.2e-25
"53","SRR10241524.4068399_2:4490346",3.3e-25
"54","SRR10241524.5174344_1:5712416",3.7e-25
"55","SRR10241524.1015155_2:1121401",3.9e-25
"56","SRR10241524.1015684_2:1121981",3.9e-25
"57","SRR10241524.192697_2:212970",3.9e-25
"58","SRR10241524.2112018_1:2331972",4e-25
"59","SRR10241524.1213841_2:1340559",4.3e-25
"60","SRR10241524.1825226_2:2015576",5e-25
"61","SRR10241524.707325_2:781036",5.5e-25
"62","SRR10241524.3633603_1:4010453",5.6e-25
"63","SRR10241524.3195761_1:3527972",5.9e-25
