"","domain_name","sequence_evalue"
"1","SRR10241523.4792909_1:5099508",4.7e-27
"2","SRR10241523.3882351_2:4127804",3.9e-26
"3","SRR10241523.3882351_1:4127803",7.1e-26
"4","SRR10241523.3445231_1:3664217",2.9e-20
"5","SRR10241523.1367577_2:1453948",1.6e-18
"6","SRR10241523.4501409_1:4788411",3.7e-18
"7","SRR10241523.1131432_1:1203363",4.4e-18
"8","SRR10241523.3672336_1:3905098",5.2e-18
"9","SRR10241523.3440715_1:3659370",6.9e-18
"10","SRR10241523.2322195_1:2468237",9.5e-18
"11","SRR10241523.2676044_1:2845013",1.2e-17
"12","SRR10241523.2957458_1:3144018",1.9e-17
"13","SRR10241523.130142_1:138495",2.2e-17
"14","SRR10241523.4119563_1:4380292",3.2e-17
"15","SRR10241523.4846551_1:5156929",3.6e-17
"16","SRR10241523.3931113_1:4179659",3.7e-17
"17","SRR10241523.5145870_1:5475535",3.9e-17
"18","SRR10241523.5388318_2:5733143",4.7e-17
"19","SRR10241523.4629978_1:4925669",4.7e-17
"20","SRR10241523.1198991_1:1274766",5.6e-17
"21","SRR10241523.3282765_1:3491238",6.3e-17
"22","SRR10241523.4540637_1:4829848",6.3e-17
"23","SRR10241523.310508_1:330562",6.4e-17
"24","SRR10241523.5413960_1:5760519",6.7e-17
"25","SRR10241523.3696489_2:3930683",7.4e-17
"26","SRR10241523.887638_1:943727",7.6e-17
"27","SRR10241523.3016593_1:3207182",7.7e-17
"28","SRR10241523.837996_1:890975",8.5e-17
"29","SRR10241523.1812494_1:1926650",9.2e-17
"30","SRR10241523.2305266_1:2450176",9.5e-17
"31","SRR10241523.4835903_1:5145423",1e-16
"32","SRR10241523.522455_1:556103",1.1e-16
"33","SRR10241523.1038194_1:1104236",1.1e-16
"34","SRR10241523.3904601_1:4151448",1.1e-16
"35","SRR10241523.878686_1:934246",1.1e-16
"36","SRR10241523.1885306_1:2003718",1.5e-16
"37","SRR10241523.4334355_1:4609783",1.8e-16
"38","SRR10241523.3075727_2:3270184",2.4e-16
"39","SRR10241523.3891152_1:4137181",2.4e-16
