"","domain_name","sequence_evalue"
"1","HISEQ13:138:C6FWNANXX:2:1313:7779:18911_1:68095808",2.5e-27
"2","HISEQ13:138:C6FWNANXX:2:2216:3794:45355_1:121664563",2.5e-27
"3","HISEQ13:138:C6FWNANXX:2:2108:7518:34881_1:85059543",3.6e-27
"4","HISEQ13:138:C6FWNANXX:2:2116:20014:71789_1:98048439",3.6e-27
"5","HISEQ13:138:C6FWNANXX:2:2206:15554:44274_1:106219910",4.4e-27
"6","HISEQ13:138:C6FWNANXX:2:2212:13154:20992_1:114835301",4.4e-27
"7","HISEQ13:138:C6FWNANXX:2:2311:4792:29017_1:137509770",4.4e-27
"8","HISEQ13:138:C6FWNANXX:2:1111:13553:68282_1:16107796",4.8e-27
"9","HISEQ13:138:C6FWNANXX:2:1305:1775:50222_1:56135561",4.8e-27
"10","HISEQ13:138:C6FWNANXX:2:2209:9383:61804_1:110899793",7.5e-27
"11","HISEQ13:138:C6FWNANXX:2:1104:10200:22346_1:4690418",8.4e-27
"12","HISEQ13:138:C6FWNANXX:2:1201:18972:66180_1:25749845",8.4e-27
"13","HISEQ13:138:C6FWNANXX:2:1204:4845:28796_1:29548094",8.4e-27
"14","HISEQ13:138:C6FWNANXX:2:1303:1893:38993_1:53020781",8.4e-27
"15","HISEQ13:138:C6FWNANXX:2:1205:9711:40786_1:31198654",9.4e-27
"16","HISEQ13:138:C6FWNANXX:2:1209:18828:27064_1:37012307",9.4e-27
"17","HISEQ13:138:C6FWNANXX:2:2215:8579:43579_1:119991122",9.4e-27
"18","HISEQ13:138:C6FWNANXX:2:1302:8589:65537_1:51956574",1.6e-26
"19","HISEQ13:138:C6FWNANXX:2:2207:16434:48790_1:107738823",1.6e-26
"20","HISEQ13:138:C6FWNANXX:2:1116:12355:55687_1:24025103",1.7e-26
"21","HISEQ13:138:C6FWNANXX:2:1110:16781:11364_1:13622983",1.8e-26
"22","HISEQ13:138:C6FWNANXX:2:1301:15499:79563_1:50711339",1.8e-26
"23","HISEQ13:138:C6FWNANXX:2:1304:6274:79253_1:55092266",1.8e-26
"24","HISEQ13:138:C6FWNANXX:2:2109:20760:58920_1:86924123",1.8e-26
"25","HISEQ13:138:C6FWNANXX:2:2202:13558:22715_1:100228688",1.8e-26
"26","HISEQ13:138:C6FWNANXX:2:1103:20356:73482_1:3982661",1.8e-26
"27","HISEQ13:138:C6FWNANXX:2:1103:20545:80232_1:4082491",1.8e-26
"28","HISEQ13:138:C6FWNANXX:2:1305:11479:18304_1:55661229",1.8e-26
"29","HISEQ13:138:C6FWNANXX:2:1307:18327:53815_1:59208211",1.8e-26
"30","HISEQ13:138:C6FWNANXX:2:2310:9249:65483_1:136546175",1.8e-26
"31","HISEQ13:138:C6FWNANXX:2:2308:9872:76364_1:133693456",2e-26
"32","HISEQ13:138:C6FWNANXX:2:1110:13272:50840_1:14246345",2e-26
"33","HISEQ13:138:C6FWNANXX:2:1211:18988:87139_1:41084834",2e-26
"34","HISEQ13:138:C6FWNANXX:2:2115:2457:80440_1:96554658",2e-26
"35","HISEQ13:138:C6FWNANXX:2:2306:12540:8210_1:129742805",2.1e-26
"36","HISEQ13:138:C6FWNANXX:2:1108:5544:23821_1:10710858",2.1e-26
"37","HISEQ13:138:C6FWNANXX:2:1113:12720:46445_1:18856833",2.1e-26
"38","HISEQ13:138:C6FWNANXX:2:1301:17418:29269_1:49973232",2.1e-26
"39","HISEQ13:138:C6FWNANXX:2:2203:11071:56585_1:102121541",2.1e-26
"40","HISEQ13:138:C6FWNANXX:2:1110:3605:34374_1:13983414",2.2e-26
"41","HISEQ13:138:C6FWNANXX:2:2313:8279:35501_1:140747809",2.2e-26
"42","HISEQ13:138:C6FWNANXX:2:1316:17731:99535_1:74542253",2.2e-26
"43","HISEQ13:138:C6FWNANXX:2:1105:17645:31365_1:6305928",2.3e-26
"44","HISEQ13:138:C6FWNANXX:2:1115:6679:36352_1:22006336",2.3e-26
"45","HISEQ13:138:C6FWNANXX:2:1310:17782:57278_1:63910947",2.3e-26
"46","HISEQ13:138:C6FWNANXX:2:1312:1647:49867_1:66976570",2.3e-26
"47","HISEQ13:138:C6FWNANXX:2:1313:5158:30271_1:68286162",2.3e-26
"48","HISEQ13:138:C6FWNANXX:2:2302:12300:94467_1:125307354",2.3e-26
"49","HISEQ13:138:C6FWNANXX:2:2315:1583:95242_1:144960827",2.3e-26
"50","HISEQ13:138:C6FWNANXX:2:1205:15610:73352_1:31686782",2.3e-26
"51","HISEQ13:138:C6FWNANXX:2:1108:2860:69333_1:11418306",2.4e-26
"52","HISEQ13:138:C6FWNANXX:2:1205:3723:83053_1:31831741",2.4e-26
"53","HISEQ13:138:C6FWNANXX:2:2203:17181:27002_1:101701132",2.4e-26
"54","HISEQ13:138:C6FWNANXX:2:1203:16723:62562_1:28602993",2.4e-26
"55","HISEQ13:138:C6FWNANXX:2:1216:10383:34097_1:48410557",2.4e-26
"56","HISEQ13:138:C6FWNANXX:2:1206:19795:2201_1:32100610",2.5e-26
"57","HISEQ13:138:C6FWNANXX:2:1109:3390:77692_1:13105246",2.6e-26
"58","HISEQ13:138:C6FWNANXX:2:1204:10550:8393_1:29258650",2.6e-26
"59","HISEQ13:138:C6FWNANXX:2:1309:12475:15922_1:61688384",2.6e-26
"60","HISEQ13:138:C6FWNANXX:2:2301:19081:39472_1:123136050",2.6e-26
"61","HISEQ13:138:C6FWNANXX:2:1208:3257:10682_1:35225232",2.6e-26
"62","HISEQ13:138:C6FWNANXX:2:1202:18447:75757_1:27344764",2.7e-26
"63","HISEQ13:138:C6FWNANXX:2:1214:17638:15193_1:44737809",2.7e-26
"64","HISEQ13:138:C6FWNANXX:2:2107:19499:61651_1:83983076",2.7e-26
"65","HISEQ13:138:C6FWNANXX:2:2108:7518:34881_1:85059542",2.7e-26
"66","HISEQ13:138:C6FWNANXX:2:2204:13069:52625_1:103476064",2.7e-26
"67","HISEQ13:138:C6FWNANXX:2:2310:10145:13795_1:135752123",2.7e-26
"68","HISEQ13:138:C6FWNANXX:2:1208:20721:83412_1:36350856",2.8e-26
"69","HISEQ13:138:C6FWNANXX:2:1108:10114:21254_1:10673076",2.9e-26
"70","HISEQ13:138:C6FWNANXX:2:2203:9184:69651_1:102307339",2.9e-26
"71","HISEQ13:138:C6FWNANXX:2:2204:19132:85341_1:103947911",2.9e-26
"72","HISEQ13:138:C6FWNANXX:2:1201:12619:68908_1:25789773",3e-26
"73","HISEQ13:138:C6FWNANXX:2:1215:19397:17622_1:46443699",3e-26
"74","HISEQ13:138:C6FWNANXX:2:2105:6080:86893_1:81436052",3e-26
"75","HISEQ13:138:C6FWNANXX:2:2114:14852:45024_1:94375269",3e-26
"76","HISEQ13:138:C6FWNANXX:2:1212:7916:6419_1:41373927",3.1e-26
"77","HISEQ13:138:C6FWNANXX:2:1307:14207:79959_1:59608615",3.1e-26
"78","HISEQ13:138:C6FWNANXX:2:2214:1671:97572_1:119251905",3.1e-26
"79","HISEQ13:138:C6FWNANXX:2:1206:19795:2201_1:32100609",3.1e-26
"80","HISEQ13:138:C6FWNANXX:2:1304:7546:94842_1:55324915",3.1e-26
"81","HISEQ13:138:C6FWNANXX:2:2313:9890:55274_1:141067982",3.2e-26
"82","HISEQ13:138:C6FWNANXX:2:1110:11933:89473_1:14852424",3.3e-26
"83","HISEQ13:138:C6FWNANXX:2:1201:5735:77734_1:25916523",3.4e-26
"84","HISEQ13:138:C6FWNANXX:2:2216:1765:13138_1:121121917",3.4e-26
"85","HISEQ13:138:C6FWNANXX:2:1213:8893:26656_1:43287802",3.4e-26
"86","HISEQ13:138:C6FWNANXX:2:2213:17860:80155_1:117358722",3.4e-26
"87","HISEQ13:138:C6FWNANXX:2:2214:20551:96333_1:119235260",3.4e-26
"88","HISEQ13:138:C6FWNANXX:2:2305:5446:49961_1:128911836",3.4e-26
"89","HISEQ13:138:C6FWNANXX:2:2303:20744:39009_1:125927025",3.4e-26
"90","HISEQ13:138:C6FWNANXX:2:2216:18309:86025_1:122358892",3.4e-26
"91","HISEQ13:138:C6FWNANXX:2:2313:18046:83695_1:141527951",3.6e-26
"92","HISEQ13:138:C6FWNANXX:2:2311:14828:50712_1:137848011",3.7e-26
"93","HISEQ13:138:C6FWNANXX:2:1103:14233:38509_1:3466231",3.8e-26
"94","HISEQ13:138:C6FWNANXX:2:1104:12947:82902_1:5593658",3.8e-26
"95","HISEQ13:138:C6FWNANXX:2:1304:7546:94842_1:55324916",3.8e-26
"96","HISEQ13:138:C6FWNANXX:2:2115:3747:71459_1:96408754",3.8e-26
"97","HISEQ13:138:C6FWNANXX:2:1111:20227:89751_1:16495567",3.8e-26
"98","HISEQ13:138:C6FWNANXX:2:2104:20320:41492_1:79351377",3.8e-26
"99","HISEQ13:138:C6FWNANXX:2:1309:10883:74141_1:62608701",3.9e-26
"100","HISEQ13:138:C6FWNANXX:2:2305:10329:31009_1:128639361",3.9e-26
"101","HISEQ13:138:C6FWNANXX:2:2314:16317:3768_1:141835317",3.9e-26
"102","HISEQ13:138:C6FWNANXX:2:2208:10740:42110_1:109107532",4e-26
"103","HISEQ13:138:C6FWNANXX:2:2311:4792:29017_1:137509771",4e-26
"104","HISEQ13:138:C6FWNANXX:2:1114:16504:61397_1:20761215",4.1e-26
"105","HISEQ13:138:C6FWNANXX:2:1211:12600:27663_1:40125216",4.1e-26
"106","HISEQ13:138:C6FWNANXX:2:1314:3435:3215_1:69480955",4.1e-26
"107","HISEQ13:138:C6FWNANXX:2:1301:16677:21227_1:49851743",4.2e-26
"108","HISEQ13:138:C6FWNANXX:2:1204:19939:80917_1:30323330",4.3e-26
"109","HISEQ13:138:C6FWNANXX:2:1213:10859:11028_1:43034527",4.3e-26
"110","HISEQ13:138:C6FWNANXX:2:2305:9887:46668_1:128865085",4.3e-26
"111","HISEQ13:138:C6FWNANXX:2:1305:14891:60845_1:56299338",4.5e-26
"112","HISEQ13:138:C6FWNANXX:2:2202:12526:96756_1:101285484",4.5e-26
"113","HISEQ13:138:C6FWNANXX:2:2314:12069:44502_1:142500296",4.5e-26
"114","HISEQ13:138:C6FWNANXX:2:1101:3500:70369_1:1011088",4.7e-26
"115","HISEQ13:138:C6FWNANXX:2:2113:10697:29831_1:92540313",4.7e-26
"116","HISEQ13:138:C6FWNANXX:2:2315:10542:77147_1:144663435",4.7e-26
"117","HISEQ13:138:C6FWNANXX:2:1113:9848:81242_1:19433539",4.7e-26
"118","HISEQ13:138:C6FWNANXX:2:2206:3591:12209_1:105746217",4.7e-26
"119","HISEQ13:138:C6FWNANXX:2:1109:20241:3531_1:11940951",4.8e-26
"120","HISEQ13:138:C6FWNANXX:2:1215:19576:24857_1:46566636",4.8e-26
"121","HISEQ13:138:C6FWNANXX:2:1312:13611:57566_1:67106743",5e-26
"122","HISEQ13:138:C6FWNANXX:2:2311:4070:70698_1:138161262",5e-26
"123","HISEQ13:138:C6FWNANXX:2:2315:3478:8419_1:143529063",5e-26
"124","HISEQ13:138:C6FWNANXX:2:2215:5410:39219_1:119915866",5.3e-26
"125","HISEQ13:138:C6FWNANXX:2:1209:13151:18353_1:36875712",5.3e-26
"126","HISEQ13:138:C6FWNANXX:2:2212:17377:85115_1:115854668",5.4e-26
"127","HISEQ13:138:C6FWNANXX:2:1104:4059:23328_1:4704113",5.4e-26
"128","HISEQ13:138:C6FWNANXX:2:2106:18822:4014_1:81673652",5.4e-26
"129","HISEQ13:138:C6FWNANXX:2:2108:12889:31273_1:85007892",5.4e-26
"130","HISEQ13:138:C6FWNANXX:2:2106:10262:10828_1:81771901",5.4e-26
"131","HISEQ13:138:C6FWNANXX:2:1102:19223:36025_1:1967045",5.4e-26
"132","HISEQ13:138:C6FWNANXX:2:1206:18099:6990_1:32172126",5.4e-26
"133","HISEQ13:138:C6FWNANXX:2:1209:9248:5718_1:36676770",5.4e-26
"134","HISEQ13:138:C6FWNANXX:2:1104:6231:52661_1:5140453",6.1e-26
"135","HISEQ13:138:C6FWNANXX:2:1108:19429:53741_1:11175009",6.1e-26
"136","HISEQ13:138:C6FWNANXX:2:1116:18482:97641_1:24749393",6.1e-26
"137","HISEQ13:138:C6FWNANXX:2:1302:20042:29038_1:51421564",6.1e-26
"138","HISEQ13:138:C6FWNANXX:2:1304:6165:45759_1:54590976",6.1e-26
"139","HISEQ13:138:C6FWNANXX:2:1104:5501:17757_1:4622292",6.1e-26
"140","HISEQ13:138:C6FWNANXX:2:1205:15610:73352_1:31686783",6.1e-26
"141","HISEQ13:138:C6FWNANXX:2:1305:5151:66349_1:56379929",6.1e-26
"142","HISEQ13:138:C6FWNANXX:2:1212:10689:85634_1:42634805",6.2e-26
"143","HISEQ13:138:C6FWNANXX:2:1216:13495:82915_1:49258900",6.2e-26
"144","HISEQ13:138:C6FWNANXX:2:1108:16061:17595_1:10616857",6.3e-26
"145","HISEQ13:138:C6FWNANXX:2:2106:13565:95474_1:83014765",6.3e-26
"146","HISEQ13:138:C6FWNANXX:2:2302:15174:45710_1:124616628",6.3e-26
"147","HISEQ13:138:C6FWNANXX:2:2303:15163:88624_1:126627464",6.3e-26
"148","HISEQ13:138:C6FWNANXX:2:1309:10883:74141_1:62608700",6.3e-26
"149","HISEQ13:138:C6FWNANXX:2:2115:15143:9173_1:95398316",6.3e-26
"150","HISEQ13:138:C6FWNANXX:2:2215:1740:38422_1:119902736",6.3e-26
"151","HISEQ13:138:C6FWNANXX:2:2307:6465:66958_1:132067225",6.3e-26
"152","HISEQ13:138:C6FWNANXX:2:1101:17225:13535_1:173922",6.4e-26
"153","HISEQ13:138:C6FWNANXX:2:1209:9248:5718_1:36676769",6.4e-26
"154","HISEQ13:138:C6FWNANXX:2:2313:15748:94186_1:141695978",6.4e-26
"155","HISEQ13:138:C6FWNANXX:2:2314:16317:3768_1:141835318",6.4e-26
"156","HISEQ13:138:C6FWNANXX:2:2115:2428:99944_1:96875809",6.5e-26
"157","HISEQ13:138:C6FWNANXX:2:1306:3696:12051_1:57055062",6.7e-26
"158","HISEQ13:138:C6FWNANXX:2:1315:6558:12476_1:71317307",6.7e-26
"159","HISEQ13:138:C6FWNANXX:2:2201:13835:3254_1:98545454",6.7e-26
"160","HISEQ13:138:C6FWNANXX:2:2211:15883:27947_1:113404110",6.9e-26
"161","HISEQ13:138:C6FWNANXX:2:2314:12497:95413_1:143336535",6.9e-26
"162","HISEQ13:138:C6FWNANXX:2:2314:2621:21384_1:142117125",6.9e-26
"163","HISEQ13:138:C6FWNANXX:2:2314:6838:10131_1:141934436",7e-26
"164","HISEQ13:138:C6FWNANXX:2:1202:14030:60179_1:27112675",7.5e-26
"165","HISEQ13:138:C6FWNANXX:2:1216:18875:84097_1:49281779",7.5e-26
"166","HISEQ13:138:C6FWNANXX:2:2314:9796:46521_1:142533099",7.5e-26
"167","HISEQ13:138:C6FWNANXX:2:1108:3962:76906_1:11536762",7.8e-26
"168","HISEQ13:138:C6FWNANXX:2:2202:16617:3834_1:99961074",8.3e-26
"169","HISEQ13:138:C6FWNANXX:2:2214:13712:4430_1:117729478",8.7e-26
"170","HISEQ13:138:C6FWNANXX:2:1107:21073:63859_1:9807419",8.7e-26
"171","HISEQ13:138:C6FWNANXX:2:1109:20241:3531_1:11940952",8.7e-26
"172","HISEQ13:138:C6FWNANXX:2:2106:18822:4014_1:81673653",8.9e-26
"173","HISEQ13:138:C6FWNANXX:2:1211:4500:76383_1:40908382",8.9e-26
"174","HISEQ13:138:C6FWNANXX:2:1306:5152:41170_1:57497858",8.9e-26
"175","HISEQ13:138:C6FWNANXX:2:2116:5584:67938_1:97980553",8.9e-26
"176","HISEQ13:138:C6FWNANXX:2:2207:7424:20984_1:107326350",8.9e-26
"177","HISEQ13:138:C6FWNANXX:2:1103:14233:38509_1:3466230",9.1e-26
"178","HISEQ13:138:C6FWNANXX:2:1210:7122:56815_1:39024975",9.3e-26
"179","HISEQ13:138:C6FWNANXX:2:2302:6111:45698_1:124615054",9.3e-26
"180","HISEQ13:138:C6FWNANXX:2:2305:13060:32246_1:128654207",9.3e-26
"181","HISEQ13:138:C6FWNANXX:2:1107:8532:61642_1:9770847",9.4e-26
"182","HISEQ13:138:C6FWNANXX:2:1206:8805:39295_1:32661645",9.4e-26
"183","HISEQ13:138:C6FWNANXX:2:1212:16899:4377_1:41346284",9.6e-26
"184","HISEQ13:138:C6FWNANXX:2:1315:13091:21038_1:71466492",1e-25
"185","HISEQ13:138:C6FWNANXX:2:1113:15791:61326_1:19105874",1e-25
"186","HISEQ13:138:C6FWNANXX:2:1115:13528:62487_1:22447720",1e-25
"187","HISEQ13:138:C6FWNANXX:2:1205:11130:74154_1:31697602",1e-25
"188","HISEQ13:138:C6FWNANXX:2:2215:9039:83417_1:120647389",1e-25
"189","HISEQ13:138:C6FWNANXX:2:2310:2268:14819_1:135766201",1e-25
"190","HISEQ13:138:C6FWNANXX:2:2310:9335:65750_1:136553639",1e-25
"191","HISEQ13:138:C6FWNANXX:2:1112:9511:82353_1:17823308",1.1e-25
"192","HISEQ13:138:C6FWNANXX:2:2311:2767:94727_1:138540666",1.1e-25
"193","HISEQ13:138:C6FWNANXX:2:1202:8702:100213_1:27699339",1.1e-25
"194","HISEQ13:138:C6FWNANXX:2:2204:19132:85341_1:103947910",1.1e-25
"195","HISEQ13:138:C6FWNANXX:2:1214:20419:49237_1:45309028",1.1e-25
"196","HISEQ13:138:C6FWNANXX:2:2315:21237:39601_1:144049313",1.1e-25
"197","HISEQ13:138:C6FWNANXX:2:1303:3357:45501_1:53121151",1.1e-25
"198","HISEQ13:138:C6FWNANXX:2:1308:9314:39284_1:60507286",1.1e-25
"199","HISEQ13:138:C6FWNANXX:2:2104:5616:56790_1:79571737",1.1e-25
"200","HISEQ13:138:C6FWNANXX:2:1104:21423:67910_1:5370956",1.2e-25
"201","HISEQ13:138:C6FWNANXX:2:2107:10805:18242_1:83335960",1.2e-25
"202","HISEQ13:138:C6FWNANXX:2:2212:10288:95213_1:116013012",1.2e-25
"203","HISEQ13:138:C6FWNANXX:2:2112:6913:81890_1:91797347",1.2e-25
"204","HISEQ13:138:C6FWNANXX:2:2106:5359:61229_1:82509746",1.2e-25
"205","HISEQ13:138:C6FWNANXX:2:2201:12925:53411_1:99258094",1.2e-25
"206","HISEQ13:138:C6FWNANXX:2:1116:11499:80449_1:24451182",1.2e-25
"207","HISEQ13:138:C6FWNANXX:2:2116:17859:90180_1:98349624",1.2e-25
"208","HISEQ13:138:C6FWNANXX:2:1206:13844:13447_1:32270028",1.2e-25
"209","HISEQ13:138:C6FWNANXX:2:1313:5464:3798_1:67847323",1.2e-25
"210","HISEQ13:138:C6FWNANXX:2:1314:16043:75278_1:70709968",1.2e-25
"211","HISEQ13:138:C6FWNANXX:2:2105:6171:71415_1:81209914",1.2e-25
"212","HISEQ13:138:C6FWNANXX:2:1307:4937:8528_1:58510169",1.2e-25
"213","HISEQ13:138:C6FWNANXX:2:1102:12652:34190_1:1936578",1.3e-25
"214","HISEQ13:138:C6FWNANXX:2:1106:13701:60747_1:8244058",1.3e-25
