"","domain_name","sequence_evalue"
"1","SRR10241524.1213278_1:1339930",1.4e-29
"2","SRR10241524.2955502_1:3262194",1.4e-28
"3","SRR10241524.3816102_1:4211900",1.6e-28
"4","SRR10241524.3586457_1:3958335",2.2e-28
"5","SRR10241524.2681306_2:2959149",2.6e-28
"6","SRR10241524.4479722_2:4945203",2.8e-28
"7","SRR10241524.3949825_1:4359465",3.4e-28
"8","SRR10241524.4483235_1:4949061",4.6e-28
"9","SRR10241524.2524148_1:2786236",7.2e-28
"10","SRR10241524.3455744_2:3814295",1.1e-27
"11","SRR10241524.2565991_1:2832334",1.5e-27
"12","SRR10241524.1915840_1:2115551",1.5e-27
"13","SRR10241524.3607559_1:3981698",1.8e-27
"14","SRR10241524.470744_1:519755",1.9e-27
"15","SRR10241524.1587243_1:1753292",1.9e-27
"16","SRR10241524.1915840_2:2115552",2e-27
"17","SRR10241524.4801870_1:5301217",2.1e-27
"18","SRR10241524.78421_1:86664",2.2e-27
"19","SRR10241524.78422_1:86666",2.2e-27
"20","SRR10241524.2115337_1:2335655",2.3e-27
"21","SRR10241524.2616650_2:2888034",2.5e-27
"22","SRR10241524.2681306_1:2959148",2.6e-27
"23","SRR10241524.2675662_1:2952934",3.8e-27
"24","SRR10241524.78421_2:86665",4.1e-27
"25","SRR10241524.78422_2:86667",4.1e-27
"26","SRR10241524.3124129_2:3448290",5.1e-27
"27","SRR10241524.1934716_1:2136280",5.2e-27
"28","SRR10241524.1757058_1:1940679",6.3e-27
"29","SRR10241524.4471092_1:4935726",7.2e-27
"30","SRR10241524.5076402_1:5604300",7.4e-27
"31","SRR10241524.870251_1:961470",7.5e-27
"32","SRR10241524.4836738_2:5339685",7.9e-27
"33","SRR10241524.4801870_2:5301218",8e-27
"34","SRR10241524.869382_1:960529",8.2e-27
"35","SRR10241524.877700_1:969752",8.3e-27
"36","SRR10241524.878126_1:970231",8.3e-27
"37","SRR10241524.3333510_1:3679550",9.3e-27
"38","SRR10241524.235249_1:259828",9.8e-27
"39","SRR10241524.3433891_1:3790274",9.9e-27
"40","SRR10241524.3833096_1:4230630",1.1e-26
"41","SRR10241524.1439324_1:1589771",1.1e-26
"42","SRR10241524.2675662_2:2952935",1.2e-26
"43","SRR10241524.3332223_1:3678129",1.2e-26
"44","SRR10241524.3451880_1:3809995",1.3e-26
"45","SRR10241524.4329708_1:4779175",1.3e-26
"46","SRR10241524.1934716_2:2136281",1.3e-26
"47","SRR10241524.3166707_2:3495562",1.4e-26
