"","domain_name","sequence_evalue"
"1","HISEQ09:318:C9W38ANXX:7:2104:12970:75067_1",1.7e-15
"2","HISEQ09:318:C9W38ANXX:7:2204:10498:95436_1",2.3e-13
"3","HISEQ09:318:C9W38ANXX:7:1104:15129:65122_1",3.7e-13
"4","HISEQ09:318:C9W38ANXX:7:2312:4748:68486_1",3.7e-13
"5","HISEQ09:318:C9W38ANXX:7:1202:14046:45191_1",1.1e-12
"6","HISEQ09:318:C9W38ANXX:7:2104:8848:78906_1",1.1e-12
"7","HISEQ09:318:C9W38ANXX:7:1208:16950:77821_1",2.2e-11
"8","HISEQ09:318:C9W38ANXX:7:1205:11455:65240_1",2.1e-10
"9","HISEQ09:318:C9W38ANXX:7:1103:19076:33163_1",7e-09
"10","HISEQ09:318:C9W38ANXX:7:1207:19314:77129_1",7e-09
"11","HISEQ09:318:C9W38ANXX:7:1110:1853:2955_1",1.7e-08
"12","HISEQ09:318:C9W38ANXX:7:1301:12302:30741_1",1.7e-08
"13","HISEQ09:318:C9W38ANXX:7:2202:14243:14705_1",2.1e-07
"14","HISEQ09:318:C9W38ANXX:7:2315:8855:28913_1",3.1e-07
"15","HISEQ09:318:C9W38ANXX:7:1201:17127:77564_1",6.9e-06
"16","HISEQ09:318:C9W38ANXX:7:2104:8047:14825_1",7.6e-06
