"","domain_name","sequence_evalue"
"1","HISEQ15:229:C9DW7ANXX:7:1109:18197:69959_1",8.2e-27
"2","HISEQ15:229:C9DW7ANXX:7:1109:8509:11805_1",8.2e-27
"3","HISEQ15:229:C9DW7ANXX:7:1111:15905:79169_1",8.2e-27
"4","HISEQ15:229:C9DW7ANXX:7:1113:18285:19108_1",8.2e-27
"5","HISEQ15:229:C9DW7ANXX:7:1116:7793:72624_1",8.2e-27
"6","HISEQ15:229:C9DW7ANXX:7:1201:5334:47028_1",8.2e-27
"7","HISEQ15:229:C9DW7ANXX:7:1208:17462:45511_1",8.2e-27
"8","HISEQ15:229:C9DW7ANXX:7:1211:18201:14062_1",8.2e-27
"9","HISEQ15:229:C9DW7ANXX:7:1211:6379:7482_1",8.2e-27
"10","HISEQ15:229:C9DW7ANXX:7:1304:19096:9142_1",8.2e-27
"11","HISEQ15:229:C9DW7ANXX:7:1306:8710:55473_1",8.2e-27
"12","HISEQ15:229:C9DW7ANXX:7:1310:7566:19698_1",8.2e-27
"13","HISEQ15:229:C9DW7ANXX:7:2110:6327:74393_1",8.2e-27
"14","HISEQ15:229:C9DW7ANXX:7:2203:4403:67060_1",8.2e-27
"15","HISEQ15:229:C9DW7ANXX:7:2214:1397:42104_1",8.2e-27
"16","HISEQ15:229:C9DW7ANXX:7:1102:11278:36373_1",1e-26
"17","HISEQ15:229:C9DW7ANXX:7:1104:10914:99228_1",1e-26
"18","HISEQ15:229:C9DW7ANXX:7:1109:4162:49388_1",1e-26
"19","HISEQ15:229:C9DW7ANXX:7:1113:14498:3295_1",1e-26
"20","HISEQ15:229:C9DW7ANXX:7:1207:3780:65584_1",1e-26
"21","HISEQ15:229:C9DW7ANXX:7:1304:9210:59968_1",1e-26
"22","HISEQ15:229:C9DW7ANXX:7:1312:6444:78651_1",1e-26
"23","HISEQ15:229:C9DW7ANXX:7:1314:10702:22508_1",1e-26
"24","HISEQ15:229:C9DW7ANXX:7:1314:8236:15329_1",1e-26
"25","HISEQ15:229:C9DW7ANXX:7:2101:16531:39113_1",1e-26
"26","HISEQ15:229:C9DW7ANXX:7:2101:18055:95768_1",1e-26
"27","HISEQ15:229:C9DW7ANXX:7:2102:20275:23098_1",1e-26
"28","HISEQ15:229:C9DW7ANXX:7:2105:3762:10619_1",1e-26
"29","HISEQ15:229:C9DW7ANXX:7:2108:6666:87186_1",1e-26
"30","HISEQ15:229:C9DW7ANXX:7:2113:5048:92900_1",1e-26
"31","HISEQ15:229:C9DW7ANXX:7:2116:16184:51513_1",1e-26
"32","HISEQ15:229:C9DW7ANXX:7:2201:6856:84668_1",1e-26
"33","HISEQ15:229:C9DW7ANXX:7:2207:7798:91254_1",1e-26
"34","HISEQ15:229:C9DW7ANXX:7:2208:1224:65453_1",1e-26
"35","HISEQ15:229:C9DW7ANXX:7:2210:15627:15051_1",1e-26
"36","HISEQ15:229:C9DW7ANXX:7:2211:20796:76213_1",1e-26
"37","HISEQ15:229:C9DW7ANXX:7:2214:12773:79508_1",1e-26
"38","HISEQ15:229:C9DW7ANXX:7:1102:9885:39588_1",1.4e-26
"39","HISEQ15:229:C9DW7ANXX:7:1111:6224:41807_1",1.4e-26
"40","HISEQ15:229:C9DW7ANXX:7:1112:2945:87241_1",1.4e-26
"41","HISEQ15:229:C9DW7ANXX:7:1116:10378:96869_1",1.4e-26
"42","HISEQ15:229:C9DW7ANXX:7:1206:17751:33577_1",1.4e-26
"43","HISEQ15:229:C9DW7ANXX:7:1207:6708:5719_1",1.4e-26
"44","HISEQ15:229:C9DW7ANXX:7:1210:20691:80582_1",1.4e-26
"45","HISEQ15:229:C9DW7ANXX:7:1212:4886:47851_1",1.4e-26
"46","HISEQ15:229:C9DW7ANXX:7:1215:7670:38250_1",1.4e-26
"47","HISEQ15:229:C9DW7ANXX:7:1301:14112:88497_1",1.4e-26
"48","HISEQ15:229:C9DW7ANXX:7:1305:12110:7234_1",1.4e-26
"49","HISEQ15:229:C9DW7ANXX:7:1307:13396:65792_1",1.4e-26
"50","HISEQ15:229:C9DW7ANXX:7:1311:6457:25830_1",1.4e-26
"51","HISEQ15:229:C9DW7ANXX:7:1312:16822:57188_1",1.4e-26
"52","HISEQ15:229:C9DW7ANXX:7:1314:3248:35609_1",1.4e-26
"53","HISEQ15:229:C9DW7ANXX:7:2105:2674:90541_1",1.4e-26
"54","HISEQ15:229:C9DW7ANXX:7:2106:7425:33454_1",1.4e-26
"55","HISEQ15:229:C9DW7ANXX:7:2107:4593:98862_1",1.4e-26
"56","HISEQ15:229:C9DW7ANXX:7:2109:19684:24678_1",1.4e-26
"57","HISEQ15:229:C9DW7ANXX:7:2114:1222:6622_1",1.4e-26
"58","HISEQ15:229:C9DW7ANXX:7:2201:2605:89229_1",1.4e-26
"59","HISEQ15:229:C9DW7ANXX:7:2201:5505:19085_1",1.4e-26
"60","HISEQ15:229:C9DW7ANXX:7:2203:8663:19469_1",1.4e-26
"61","HISEQ15:229:C9DW7ANXX:7:2204:16445:11592_1",1.4e-26
"62","HISEQ15:229:C9DW7ANXX:7:2204:7872:34043_1",1.4e-26
"63","HISEQ15:229:C9DW7ANXX:7:2205:15189:8803_1",1.4e-26
"64","HISEQ15:229:C9DW7ANXX:7:2205:2841:55730_1",1.4e-26
"65","HISEQ15:229:C9DW7ANXX:7:2213:19040:59093_1",1.4e-26
"66","HISEQ15:229:C9DW7ANXX:7:2213:8153:73341_1",1.4e-26
"67","HISEQ15:229:C9DW7ANXX:7:1101:19575:35373_1",1.5e-26
"68","HISEQ15:229:C9DW7ANXX:7:1111:11453:15241_1",1.5e-26
"69","HISEQ15:229:C9DW7ANXX:7:1113:11918:61271_1",1.5e-26
"70","HISEQ15:229:C9DW7ANXX:7:1210:4709:21223_1",1.5e-26
"71","HISEQ15:229:C9DW7ANXX:7:1305:13763:82723_1",1.5e-26
"72","HISEQ15:229:C9DW7ANXX:7:1306:15028:95044_1",1.5e-26
"73","HISEQ15:229:C9DW7ANXX:7:1313:15661:94374_1",1.5e-26
"74","HISEQ15:229:C9DW7ANXX:7:1316:8136:99812_1",1.5e-26
"75","HISEQ15:229:C9DW7ANXX:7:2107:9235:35428_1",1.5e-26
"76","HISEQ15:229:C9DW7ANXX:7:2110:1001:46585_1",1.5e-26
