"","domain_name","sequence_evalue"
"1","SRR6048648.39853617_2:32532940",2.8e-27
"2","SRR6048648.634939_1:517921",3.8e-27
"3","SRR6048648.8316028_2:6784547",4.8e-27
"4","SRR6048648.75131129_1:61347368",4.8e-27
"5","SRR6048648.12741240_1:10395029",4.9e-27
"6","SRR6048648.12171309_1:9931478",1.1e-26
"7","SRR6048648.67659280_1:55242717",2e-26
"8","SRR6048648.80017710_1:65340638",3.1e-26
"9","SRR6048648.15807640_2:12895869",3.5e-26
"10","SRR6048648.55254517_1:45111509",4.2e-26
"11","SRR6048648.41874618_1:34182422",7e-26
"12","SRR6048648.28981103_1:23648489",7.1e-26
"13","SRR6048648.43188372_1:35253387",7.5e-26
"14","SRR6048648.34983741_1:28555571",9.2e-26
"15","SRR6048648.58395189_2:47675803",9.5e-26
"16","SRR6048648.19132181_2:15611704",1.1e-25
"17","SRR6048648.32818917_1:26784124",1.6e-25
"18","SRR6048648.11763926_1:9598759",2.1e-25
"19","SRR6048648.56415823_1:46059115",2.1e-25
"20","SRR6048648.13427649_2:10954783",2.4e-25
"21","SRR6048648.6975222_1:5690828",2.5e-25
"22","SRR6048648.20288314_1:16555102",3.8e-25
"23","SRR6048648.75797023_1:61891837",3.9e-25
"24","SRR6048648.12366573_2:10089773",4.2e-25
"25","SRR6048648.59723497_1:48759862",4.4e-25
"26","SRR6048648.24996039_1:20397107",4.6e-25
"27","SRR6048648.76201296_1:62222605",6.4e-25
"28","SRR6048648.68720873_1:56108546",6.5e-25
"29","SRR6048648.71980263_2:58771268",6.8e-25
"30","SRR6048648.50597804_1:41308074",6.8e-25
"31","SRR6048648.59337177_2:48444084",8.3e-25
"32","SRR6048648.6834842_1:5576210",8.7e-25
"33","SRR6048648.2374458_1:1937271",9.4e-25
"34","SRR6048648.14400019_2:11746734",1.2e-24
"35","SRR6048648.8687545_1:7088435",1.2e-24
"36","SRR6048648.11881513_1:9694788",1.2e-24
"37","SRR6048648.82364538_1:67256991",1.5e-24
"38","SRR6048648.12954781_1:10569584",1.6e-24
"39","SRR6048648.47086313_2:38438897",1.6e-24
"40","SRR6048648.32843206_1:26803897",1.7e-24
"41","SRR6048648.16959009_1:13836455",1.7e-24
"42","SRR6048648.26156761_1:21344947",1.7e-24
"43","SRR6048648.43394522_1:35421085",1.8e-24
"44","SRR6048648.57145947_2:46655492",1.9e-24
"45","SRR6048648.70905951_2:57893592",2.7e-24
"46","SRR6048648.70905951_1:57893591",2.8e-24
"47","SRR6048648.57639430_1:47058568",2.9e-24
"48","SRR6048648.27431234_1:22383330",3e-24
"49","SRR6048648.75814916_1:61906484",3.6e-24
"50","SRR6048648.51928011_2:42394629",4e-24
"51","SRR6048648.21156688_2:17263448",4.2e-24
"52","SRR6048648.34501945_2:28161127",4.3e-24
"53","SRR6048648.62449208_1:50988214",4.4e-24
"54","SRR6048648.62233223_1:50812008",4.5e-24
"55","SRR6048648.31449419_1:25665409",4.9e-24
"56","SRR6048648.25416297_1:20739896",4.9e-24
"57","SRR6048648.18307119_2:14938546",5e-24
"58","SRR6048648.22108559_1:18040925",5.1e-24
"59","SRR6048648.6534109_1:5330516",5.1e-24
"60","SRR6048648.69325834_2:56601954",5.1e-24
"61","SRR6048648.14400019_1:11746733",5.4e-24
"62","SRR6048648.58296698_1:47595419",5.9e-24
"63","SRR6048648.76043233_1:62093108",6e-24
"64","SRR6048648.64931879_1:53015912",6.2e-24
"65","SRR6048648.1087947_2:886708",6.2e-24
"66","SRR6048648.71498255_1:58377311",6.2e-24
"67","SRR6048648.59337177_1:48444083",6.5e-24
"68","SRR6048648.64249587_1:52458522",6.5e-24
"69","SRR6048648.83076385_1:67837296",6.6e-24
"70","SRR6048648.53439011_1:43628388",8e-24
"71","SRR6048648.45598795_1:37222322",8.6e-24
"72","SRR6048648.83076385_2:67837297",8.9e-24
"73","SRR6048648.68985664_1:56324952",9e-24
"74","SRR6048648.21156688_1:17263447",9.4e-24
"75","SRR6048648.17122554_1:13970321",9.9e-24
"76","SRR6048648.26636577_1:21736315",1e-23
"77","SRR6048648.29337635_1:23939801",1e-23
"78","SRR6048648.23980937_1:19569211",1.1e-23
"79","SRR6048648.34501945_1:28161126",1.1e-23
"80","SRR6048648.51700054_1:42208008",1.1e-23
"81","SRR6048648.53535635_2:43707457",1.2e-23
"82","SRR6048648.48580937_1:39660628",1.2e-23
"83","SRR6048648.17289889_1:14106877",1.4e-23
"84","SRR6048648.9010705_1:7352693",1.4e-23
"85","SRR6048648.64602448_2:52746534",1.4e-23
"86","SRR6048648.50031081_1:40845297",1.5e-23
"87","SRR6048648.17572952_1:14337832",1.6e-23
"88","SRR6048648.20597930_1:16807719",1.6e-23
"89","SRR6048648.47607585_1:38864747",1.7e-23
"90","SRR6048648.61693902_1:50371365",2.1e-23
"91","SRR6048648.27431234_2:22383331",2.1e-23
"92","SRR6048648.34296757_1:27993246",2.1e-23
"93","SRR6048648.11298906_1:9219220",2.5e-23
"94","SRR6048648.18117627_1:14783449",2.7e-23
