"","domain_name","sequence_evalue"
"1","SRR10241524.306791_1:338630",7.1e-30
"2","SRR10241524.1694177_2:1871104",3.9e-29
"3","SRR10241524.2140500_1:2363343",6.5e-29
"4","SRR10241524.2678508_2:2956046",3e-28
"5","SRR10241524.1052598_1:1162828",3.2e-28
"6","SRR10241524.1053154_1:1163470",3.2e-28
"7","SRR10241524.675339_1:745681",3.4e-28
"8","SRR10241524.4616767_2:5096750",4.1e-28
"9","SRR10241524.4617181_2:5097202",4.1e-28
"10","SRR10241524.2241820_1:2475102",4.7e-28
"11","SRR10241524.1931689_1:2132942",4.7e-28
"12","SRR10241524.1315031_1:1452639",7.6e-28
"13","SRR10241524.2478353_2:2735665",7.8e-28
"14","SRR10241524.2131766_1:2353752",8.2e-28
"15","SRR10241524.72067_2:79736",9.3e-28
"16","SRR10241524.3078322_1:3397967",1e-27
"17","SRR10241524.5169630_1:5707242",1.1e-27
"18","SRR10241524.1395048_1:1540828",1.2e-27
"19","SRR10241524.3313438_2:3657365",1.2e-27
"20","SRR10241524.675339_2:745682",1.3e-27
"21","SRR10241524.131472_1:145224",1.3e-27
"22","SRR10241524.3956668_2:4367016",1.4e-27
"23","SRR10241524.419932_1:463769",1.5e-27
"24","SRR10241524.4703927_1:5192881",1.8e-27
"25","SRR10241524.4704195_1:5193168",1.8e-27
"26","SRR10241524.4061962_1:4483247",2.1e-27
"27","SRR10241524.35396_2:39305",2.1e-27
"28","SRR10241524.988789_2:1092209",2.4e-27
"29","SRR10241524.1393854_2:1539527",2.7e-27
"30","SRR10241524.4061962_2:4483248",2.7e-27
"31","SRR10241524.331370_1:365728",2.8e-27
"32","SRR10241524.784610_2:866534",2.8e-27
"33","SRR10241524.1594248_1:1760963",2.9e-27
"34","SRR10241524.4798542_1:5297594",3.3e-27
"35","SRR10241524.3215207_1:3549465",3.3e-27
"36","SRR10241524.5193095_1:5732912",3.5e-27
"37","SRR10241524.992678_1:1096421",3.5e-27
"38","SRR10241524.3525936_2:3891576",3.7e-27
"39","SRR10241524.4107264_1:4533410",4.2e-27
"40","SRR10241524.4606914_2:5085867",4.4e-27
"41","SRR10241524.3218959_1:3553659",4.4e-27
"42","SRR10241524.577407_2:637563",4.4e-27
"43","SRR10241524.190491_1:210595",4.4e-27
"44","SRR10241524.190682_1:210793",4.4e-27
"45","SRR10241524.2566150_1:2832505",4.6e-27
"46","SRR10241524.2211777_2:2442028",4.7e-27
"47","SRR10241524.3505236_1:3868816",4.8e-27
"48","SRR10241524.234813_1:259333",4.8e-27
"49","SRR10241524.36141_2:40104",4.8e-27
"50","SRR10241524.4103630_2:4529389",4.8e-27
"51","SRR10241524.35396_1:39304",4.9e-27
"52","SRR10241524.5125661_1:5658680",5e-27
"53","SRR10241524.4819302_1:5320522",5.1e-27
"54","SRR10241524.503304_1:555703",5.2e-27
"55","SRR10241524.1744662_2:1927034",5.4e-27
