"","domain_name","sequence_evalue"
"1","HISEQ09:380:CB9DLANXX:6:1201:6341:40571_1",2e-14
"2","HISEQ09:380:CB9DLANXX:6:1208:7155:40180_1",2e-14
"3","HISEQ09:380:CB9DLANXX:6:1309:6406:77101_1",2e-14
"4","HISEQ09:380:CB9DLANXX:6:2107:19960:82241_1",2e-14
"5","HISEQ09:380:CB9DLANXX:6:1201:6341:40571_1",1.6e-13
"6","HISEQ09:380:CB9DLANXX:6:1208:7155:40180_1",1.6e-13
"7","HISEQ09:380:CB9DLANXX:6:1309:6406:77101_1",1.6e-13
"8","HISEQ09:380:CB9DLANXX:6:2107:19960:82241_1",1.6e-13
"9","HISEQ09:380:CB9DLANXX:6:1104:2851:71614_1",1.1e-12
"10","HISEQ09:380:CB9DLANXX:6:1105:16226:42413_1",1.1e-12
"11","HISEQ09:380:CB9DLANXX:6:1216:13060:76956_1",1.1e-12
"12","HISEQ09:380:CB9DLANXX:6:1307:11464:6312_1",1.1e-12
"13","HISEQ09:380:CB9DLANXX:6:1309:10092:17147_1",1.1e-12
"14","HISEQ09:380:CB9DLANXX:6:2102:16297:7264_1",1.1e-12
"15","HISEQ09:380:CB9DLANXX:6:2102:2697:88679_1",1.1e-12
"16","HISEQ09:380:CB9DLANXX:6:2111:10960:64397_1",1.1e-12
"17","HISEQ09:380:CB9DLANXX:6:2112:1211:41889_1",1.1e-12
"18","HISEQ09:380:CB9DLANXX:6:2115:13171:39854_1",1.1e-12
"19","HISEQ09:380:CB9DLANXX:6:2115:7534:33145_1",1.1e-12
"20","HISEQ09:380:CB9DLANXX:6:1102:8182:8361_1",1.2e-12
"21","HISEQ09:380:CB9DLANXX:6:1205:15299:20185_1",1.2e-12
"22","HISEQ09:380:CB9DLANXX:6:1205:20159:30506_1",1.2e-12
"23","HISEQ09:380:CB9DLANXX:6:1216:10565:24862_1",1.2e-12
"24","HISEQ09:380:CB9DLANXX:6:1304:9058:70987_1",1.2e-12
"25","HISEQ09:380:CB9DLANXX:6:1306:15567:70217_1",1.2e-12
"26","HISEQ09:380:CB9DLANXX:6:1311:5976:37192_1",1.2e-12
