"","domain_name","sequence_evalue"
"1","HISEQ09:318:C9W38ANXX:6:2103:15658:44466_1",2.6e-11
"2","HISEQ09:318:C9W38ANXX:6:2103:15658:44466_1",2.6e-11
"3","HISEQ09:318:C9W38ANXX:6:2211:1745:92370_1",3.3e-09
"4","HISEQ09:318:C9W38ANXX:6:1112:19370:18018_1",3.5e-09
"5","HISEQ09:318:C9W38ANXX:6:2108:12255:32749_1",3.5e-09
"6","HISEQ09:318:C9W38ANXX:6:1207:5914:41114_1",6.7e-09
"7","HISEQ09:318:C9W38ANXX:6:2301:15565:74035_1",6.7e-09
"8","HISEQ09:318:C9W38ANXX:6:2307:7996:78609_1",6.7e-09
"9","HISEQ09:318:C9W38ANXX:6:2203:7175:18135_1",7.4e-08
"10","HISEQ09:318:C9W38ANXX:6:2207:20802:31222_1",2.1e-07
"11","HISEQ09:318:C9W38ANXX:6:2210:17972:40643_1",6.4e-07
"12","HISEQ09:318:C9W38ANXX:6:2207:20802:31222_1",1.1e-06
