"","domain_name","sequence_evalue"
"1","SRR6048648.45059168_1:36781761",2.1e-25
"2","SRR6048648.61772236_2:50435470",3.8e-25
"3","SRR6048648.65744845_1:53680281",5.1e-25
"4","SRR6048648.57559534_1:46993343",7.6e-25
"5","SRR6048648.4114865_1:3356632",1.3e-24
"6","SRR6048648.23682546_1:19325463",1.9e-24
"7","SRR6048648.71161880_1:58102674",1.9e-24
"8","SRR6048648.63177644_1:51582820",2.9e-24
"9","SRR6048648.12836313_2:10472547",2.9e-24
"10","SRR6048648.3590114_1:2928307",3.8e-24
"11","SRR6048648.9929103_1:8101590",4.2e-24
"12","SRR6048648.74196580_1:60584132",7.1e-24
"13","SRR6048648.65178874_1:53217909",7.4e-24
"14","SRR6048648.17244305_1:14069544",7.4e-24
"15","SRR6048648.70843254_1:57842333",8e-24
"16","SRR6048648.58560180_1:47810126",8.5e-24
"17","SRR6048648.55838473_1:45588491",1.7e-23
"18","SRR6048648.57559534_2:46993344",2.4e-23
"19","SRR6048648.32835887_2:26797942",2.4e-23
"20","SRR6048648.48767207_1:39812531",2.5e-23
"21","SRR6048648.65261733_1:53285799",5.3e-23
"22","SRR6048648.75993490_1:62052454",5.7e-23
"23","SRR6048648.49462495_1:40381064",5.7e-23
"24","SRR6048648.62392612_1:50942001",5.7e-23
"25","SRR6048648.28717_1:23427",5.9e-23
"26","SRR6048648.44809263_1:36577448",5.9e-23
"27","SRR6048648.22403905_1:18281325",6.3e-23
"28","SRR6048648.80290596_1:65563868",7e-23
"29","SRR6048648.67940817_1:55472824",8.5e-23
"30","SRR6048648.18480660_1:15079736",1.4e-22
"31","SRR6048648.30746167_1:25090928",1.4e-22
"32","SRR6048648.61702967_1:50378780",1.9e-22
"33","SRR6048648.6950789_1:5670909",2.3e-22
"34","SRR6048648.18835149_2:15369418",4e-22
"35","SRR6048648.31957922_1:26080329",5.6e-22
"36","SRR6048648.2512460_1:2049644",7e-22
"37","SRR6048648.77782684_1:63514396",1.7e-21
"38","SRR6048648.72298115_1:59031406",1.8e-21
"39","SRR6048648.63199473_1:51600656",2.8e-21
