"","domain_name","sequence_evalue"
"1","SRR10241524.791284_2:873883",4.6e-29
"2","SRR10241524.3068816_1:3387599",1e-28
"3","SRR10241524.2249747_2:2483867",1.1e-28
"4","SRR10241524.2410144_1:2660621",1.1e-28
"5","SRR10241524.1608617_1:1776810",2.1e-28
"6","SRR10241524.1486850_1:1642187",2.1e-28
"7","SRR10241524.3493924_1:3856333",2.6e-28
"8","SRR10241524.2172588_1:2398776",3.1e-28
"9","SRR10241524.1960607_1:2165032",3.3e-28
"10","SRR10241524.3493924_2:3856334",3.3e-28
"11","SRR10241524.4609325_1:5088553",3.7e-28
"12","SRR10241524.2249747_1:2483866",5.2e-28
"13","SRR10241524.803943_1:887883",5.8e-28
"14","SRR10241524.3068816_2:3387600",6.7e-28
"15","SRR10241524.4346662_1:4798006",1.2e-27
"16","SRR10241524.3229936_1:3565761",2.1e-27
"17","SRR10241524.486134_1:536712",2.6e-27
"18","SRR10241524.3896150_1:4300363",2.9e-27
"19","SRR10241524.463285_2:511469",3.7e-27
"20","SRR10241524.3187238_1:3518581",4.4e-27
"21","SRR10241524.2171772_1:2397895",4.6e-27
"22","SRR10241524.2783219_1:3072099",5.9e-27
"23","SRR10241524.3676176_2:4057582",6.3e-27
"24","SRR10241524.5292475_1:5842668",6.5e-27
"25","SRR10241524.996285_1:1100382",7.2e-27
"26","SRR10241524.996285_2:1100383",7.3e-27
"27","SRR10241524.2481890_1:2739622",7.4e-27
"28","SRR10241524.492889_2:544229",8.1e-27
"29","SRR10241524.4113088_1:4539880",8.9e-27
"30","SRR10241524.2854666_2:3151232",9.7e-27
"31","SRR10241524.2653305_1:2928366",1.3e-26
"32","SRR10241524.3670184_1:4050877",1.3e-26
"33","SRR10241524.1936306_2:2138040",1.3e-26
"34","SRR10241524.3415467_2:3769932",1.4e-26
"35","SRR10241524.3896150_2:4300364",1.5e-26
"36","SRR10241524.1786703_2:1973365",1.6e-26
"37","SRR10241524.1367215_2:1510287",1.9e-26
"38","SRR10241524.826179_1:912576",1.9e-26
"39","SRR10241524.2905705_1:3207463",2e-26
"40","SRR10241524.1473678_1:1627661",2e-26
"41","SRR10241524.3716572_2:4102115",2.1e-26
"42","SRR10241524.4678943_1:5165272",2.5e-26
"43","SRR10241524.2811312_1:3103228",2.7e-26
"44","SRR10241524.791284_1:873882",2.7e-26
"45","SRR10241524.3489340_1:3851305",2.8e-26
"46","SRR10241524.4823910_1:5325660",3.2e-26
"47","SRR10241524.4823950_1:5325703",3.2e-26
"48","SRR10241524.135274_2:149395",3.2e-26
"49","SRR10241524.1763173_2:1947358",3.4e-26
"50","SRR10241524.2193374_1:2421710",3.4e-26
"51","SRR10241524.1251950_1:1382620",3.6e-26
"52","SRR10241524.975385_2:1077454",3.7e-26
"53","SRR10241524.5079708_2:5607954",3.9e-26
"54","SRR10241524.4549261_2:5022167",3.9e-26
"55","SRR10241524.2517901_2:2779338",4e-26
"56","SRR10241524.3976386_1:4388632",4.3e-26
"57","SRR10241524.2665769_2:2942148",4.3e-26
"58","SRR10241524.1481054_1:1635808",4.4e-26
"59","SRR10241524.3310670_1:3654285",4.7e-26
"60","SRR10241524.1987820_2:2195042",4.7e-26
"61","SRR10241524.2186923_1:2414627",5e-26
"62","SRR10241524.4804089_2:5303660",5.1e-26
"63","SRR10241524.3131291_1:3456248",5.3e-26
"64","SRR10241524.1674138_1:1849051",5.9e-26
"65","SRR10241524.2275405_1:2512151",6e-26
"66","SRR10241524.4945780_1:5460265",6.1e-26
"67","SRR10241524.4172250_1:4605516",6.2e-26
"68","SRR10241524.4174069_1:4607534",6.2e-26
"69","SRR10241524.1802556_1:1990763",6.4e-26
"70","SRR10241524.1561622_1:1725071",6.9e-26
"71","SRR10241524.2636299_1:2909733",7e-26
"72","SRR10241524.1608617_2:1776811",7.3e-26
"73","SRR10241524.2517901_1:2779337",7.5e-26
"74","SRR10241524.3904903_1:4310125",8.5e-26
