"","domain_name","sequence_evalue"
"1","HISEQ09:318:C9W38ANXX:7:2104:12970:75067_1",3e-13
"2","HISEQ09:318:C9W38ANXX:7:1104:15129:65122_1",1.5e-11
"3","HISEQ09:318:C9W38ANXX:7:2312:4748:68486_1",1.5e-11
"4","HISEQ09:318:C9W38ANXX:7:2204:10498:95436_1",5.4e-11
"5","HISEQ09:318:C9W38ANXX:7:1103:19076:33163_1",1.6e-09
"6","HISEQ09:318:C9W38ANXX:7:1207:19314:77129_1",1.6e-09
"7","HISEQ09:318:C9W38ANXX:7:1205:11455:65240_1",2.8e-09
"8","HISEQ09:318:C9W38ANXX:7:1202:14046:45191_1",2.8e-08
"9","HISEQ09:318:C9W38ANXX:7:2104:8848:78906_1",2.8e-08
"10","HISEQ09:318:C9W38ANXX:7:2315:8855:28913_1",3.6e-07
"11","HISEQ09:318:C9W38ANXX:7:1110:1853:2955_1",4.7e-07
"12","HISEQ09:318:C9W38ANXX:7:1301:12302:30741_1",4.7e-07
"13","HISEQ09:318:C9W38ANXX:7:2202:14243:14705_1",5e-07
"14","HISEQ09:318:C9W38ANXX:7:1103:19076:33163_1",6.9e-07
"15","HISEQ09:318:C9W38ANXX:7:1207:19314:77129_1",6.9e-07
