"","domain_name","sequence_evalue"
"1","HISEQ13:138:C6FWNANXX:2:1302:16442:37582_1",9.3e-27
"2","HISEQ13:138:C6FWNANXX:2:1303:5829:53576_1",9.3e-27
"3","HISEQ13:138:C6FWNANXX:2:2104:13828:67914_1",9.3e-27
"4","HISEQ13:138:C6FWNANXX:2:2308:20815:75188_1",9.3e-27
"5","HISEQ13:138:C6FWNANXX:2:1209:14690:72957_1",9.3e-27
"6","HISEQ13:138:C6FWNANXX:2:1209:20706:13283_1",9.3e-27
"7","HISEQ13:138:C6FWNANXX:2:1312:12813:21921_1",9.3e-27
"8","HISEQ13:138:C6FWNANXX:2:2213:2356:43427_1",9.3e-27
"9","HISEQ13:138:C6FWNANXX:2:2212:12221:58528_1",1.2e-26
"10","HISEQ13:138:C6FWNANXX:2:2213:3390:92158_1",1.2e-26
"11","HISEQ13:138:C6FWNANXX:2:1107:9714:30915_1",1.3e-26
"12","HISEQ13:138:C6FWNANXX:2:1312:21287:4549_1",1.3e-26
"13","HISEQ13:138:C6FWNANXX:2:2114:15830:65709_1",1.3e-26
"14","HISEQ13:138:C6FWNANXX:2:2203:9879:2807_1",1.3e-26
"15","HISEQ13:138:C6FWNANXX:2:2208:19940:30655_1",1.3e-26
"16","HISEQ13:138:C6FWNANXX:2:2301:16875:74903_1",1.3e-26
"17","HISEQ13:138:C6FWNANXX:2:2305:16646:7232_1",1.3e-26
"18","HISEQ13:138:C6FWNANXX:2:2307:16261:15366_1",1.3e-26
"19","HISEQ13:138:C6FWNANXX:2:1211:6029:29956_1",1.3e-26
"20","HISEQ13:138:C6FWNANXX:2:1309:13825:2139_1",1.3e-26
"21","HISEQ13:138:C6FWNANXX:2:1312:1857:84473_1",1.3e-26
"22","HISEQ13:138:C6FWNANXX:2:2315:7956:43674_1",1.3e-26
"23","HISEQ13:138:C6FWNANXX:2:1103:3679:91088_1",1.3e-26
"24","HISEQ13:138:C6FWNANXX:2:1206:19467:2994_1",1.3e-26
"25","HISEQ13:138:C6FWNANXX:2:1208:4365:83729_1",1.3e-26
"26","HISEQ13:138:C6FWNANXX:2:1307:6716:30624_1",1.3e-26
"27","HISEQ13:138:C6FWNANXX:2:1310:13591:99881_1",1.3e-26
"28","HISEQ13:138:C6FWNANXX:2:2203:6811:10374_1",1.3e-26
"29","HISEQ13:138:C6FWNANXX:2:2208:5475:36543_1",1.3e-26
"30","HISEQ13:138:C6FWNANXX:2:2210:19839:72547_1",1.3e-26
"31","HISEQ13:138:C6FWNANXX:2:2310:10749:9462_1",1.3e-26
"32","HISEQ13:138:C6FWNANXX:2:1102:13283:64448_1",1.4e-26
"33","HISEQ13:138:C6FWNANXX:2:1104:7587:46304_1",1.4e-26
"34","HISEQ13:138:C6FWNANXX:2:1116:7936:47893_1",1.4e-26
"35","HISEQ13:138:C6FWNANXX:2:2101:5021:24551_1",1.4e-26
"36","HISEQ13:138:C6FWNANXX:2:2114:8124:68660_1",1.4e-26
"37","HISEQ13:138:C6FWNANXX:2:2302:13338:80547_1",1.4e-26
"38","HISEQ13:138:C6FWNANXX:2:1207:13499:97795_1",1.5e-26
"39","HISEQ13:138:C6FWNANXX:2:1301:16307:85106_1",1.5e-26
"40","HISEQ13:138:C6FWNANXX:2:1311:19932:41269_1",1.5e-26
"41","HISEQ13:138:C6FWNANXX:2:1315:8474:30619_1",1.5e-26
"42","HISEQ13:138:C6FWNANXX:2:2206:9775:15737_1",1.7e-26
"43","HISEQ13:138:C6FWNANXX:2:1212:3248:36272_1",1.7e-26
"44","HISEQ13:138:C6FWNANXX:2:1113:17867:47713_1",2e-26
"45","HISEQ13:138:C6FWNANXX:2:1203:4517:24268_1",2e-26
"46","HISEQ13:138:C6FWNANXX:2:1216:10859:46227_1",2e-26
"47","HISEQ13:138:C6FWNANXX:2:2109:14102:29367_1",2e-26
"48","HISEQ13:138:C6FWNANXX:2:2309:12129:61799_1",2e-26
"49","HISEQ13:138:C6FWNANXX:2:2309:18565:98327_1",2e-26
"50","HISEQ13:138:C6FWNANXX:2:1204:3818:76922_1",2.1e-26
"51","HISEQ13:138:C6FWNANXX:2:1205:8318:9429_1",2.1e-26
"52","HISEQ13:138:C6FWNANXX:2:2114:4146:75727_1",2.1e-26
"53","HISEQ13:138:C6FWNANXX:2:2210:4375:65944_1",2.1e-26
"54","HISEQ13:138:C6FWNANXX:2:1102:4694:72387_1",2.4e-26
"55","HISEQ13:138:C6FWNANXX:2:1212:8554:4166_1",2.4e-26
