"","domain_name","sequence_evalue"
"1","SRR6048648.68998282_1:56335220",1.1e-26
"2","SRR6048648.39349089_1:32121094",1.1e-26
"3","SRR6048648.23044925_2:18804739",1.6e-26
"4","SRR6048648.62042961_1:50656459",1.9e-26
"5","SRR6048648.25882348_1:21120785",2.1e-26
"6","SRR6048648.45748099_1:37344432",4.1e-26
"7","SRR6048648.80527845_1:65757227",1.3e-25
"8","SRR6048648.47915992_1:39116561",2.6e-25
"9","SRR6048648.46362662_1:37846817",2.9e-25
"10","SRR6048648.57745610_1:47144816",3.2e-25
"11","SRR6048648.14030007_1:11444366",3.9e-25
"12","SRR6048648.28190964_1:23002059",4.2e-25
"13","SRR6048648.78177175_1:63836479",4.3e-25
"14","SRR6048648.25990278_1:21208960",4.7e-25
"15","SRR6048648.18713693_2:15270117",4.8e-25
"16","SRR6048648.76011705_1:62067243",5.4e-25
"17","SRR6048648.61751963_1:50418872",6.1e-25
"18","SRR6048648.28573368_2:23315008",7e-25
"19","SRR6048648.13396643_1:10929746",7.4e-25
"20","SRR6048648.80527845_2:65757228",1.1e-24
"21","SRR6048648.28573368_1:23315007",1.4e-24
"22","SRR6048648.11675085_1:9526302",1.6e-24
"23","SRR6048648.30806017_1:25139963",1.6e-24
"24","SRR6048648.20859596_1:17020929",1.7e-24
"25","SRR6048648.49880823_1:40723098",1.9e-24
"26","SRR6048648.33922770_2:27687970",2.4e-24
"27","SRR6048648.10973615_1:8953941",2.4e-24
"28","SRR6048648.2771876_1:2261405",2.9e-24
"29","SRR6048648.73388695_1:59923118",3e-24
"30","SRR6048648.2233580_2:1822338",4e-24
"31","SRR6048648.5230523_2:4267051",4.2e-24
"32","SRR6048648.19028177_1:15526977",5e-24
"33","SRR6048648.32019492_1:26130479",6.5e-24
"34","SRR6048648.44953625_1:36695416",6.5e-24
"35","SRR6048648.17342468_1:14149763",6.6e-24
"36","SRR6048648.66822231_1:54559580",7e-24
"37","SRR6048648.53865163_1:43976687",7.8e-24
"38","SRR6048648.21210626_1:17307411",8.5e-24
"39","SRR6048648.2447800_1:1996946",9.1e-24
"40","SRR6048648.47118812_1:38465391",1.1e-23
"41","SRR6048648.3526800_2:2876701",1.1e-23
"42","SRR6048648.46738622_2:38154653",1.2e-23
"43","SRR6048648.18931247_2:15447922",1.6e-23
"44","SRR6048648.80402259_2:65654791",1.7e-23
"45","SRR6048648.53294379_2:43510291",1.9e-23
"46","SRR6048648.65719601_1:53659636",1.9e-23
"47","SRR6048648.16640326_1:13576276",1.9e-23
"48","SRR6048648.33922770_1:27687969",1.9e-23
"49","SRR6048648.3526800_1:2876700",1.9e-23
"50","SRR6048648.62886154_1:51343914",1.9e-23
"51","SRR6048648.62608299_1:51117776",2e-23
"52","SRR6048648.40434362_1:33006752",2.1e-23
"53","SRR6048648.14920510_1:12172082",2.5e-23
"54","SRR6048648.81524878_1:66571907",2.6e-23
"55","SRR6048648.72275999_1:59013313",2.7e-23
"56","SRR6048648.23882692_1:19489046",2.9e-23
"57","SRR6048648.78477879_1:64082483",3.1e-23
"58","SRR6048648.36017795_1:29401304",3.1e-23
"59","SRR6048648.11141799_2:9090829",3.7e-23
"60","SRR6048648.81734142_1:66742317",3.9e-23
"61","SRR6048648.31982787_2:26100581",3.9e-23
"62","SRR6048648.22758982_1:18571063",4.5e-23
"63","SRR6048648.3264376_1:2663146",4.8e-23
"64","SRR6048648.41235114_2:33660650",4.8e-23
"65","SRR6048648.73452404_1:59975127",4.9e-23
"66","SRR6048648.12751363_1:10403357",5e-23
"67","SRR6048648.19060585_2:15553417",5e-23
"68","SRR6048648.38153466_2:31146059",5.1e-23
"69","SRR6048648.68357272_1:55812206",5.3e-23
"70","SRR6048648.58894027_1:48082972",6.1e-23
"71","SRR6048648.21720841_1:17724407",6.1e-23
"72","SRR6048648.59026229_1:48190835",6.3e-23
"73","SRR6048648.10473825_1:8546063",6.4e-23
"74","SRR6048648.34747460_1:28362073",6.4e-23
"75","SRR6048648.6463394_2:5272708",6.4e-23
"76","SRR6048648.13134549_1:10716551",6.4e-23
"77","SRR6048648.63205937_1:51605931",6.5e-23
"78","SRR6048648.41000716_1:33469346",6.9e-23
"79","SRR6048648.32161958_1:26247389",7e-23
"80","SRR6048648.8006100_1:6532321",7.2e-23
"81","SRR6048648.20070169_1:16377205",7.3e-23
"82","SRR6048648.9242275_1:7541439",7.6e-23
"83","SRR6048648.2872381_1:2343099",7.7e-23
"84","SRR6048648.78739375_1:64295789",7.8e-23
"85","SRR6048648.62542660_1:51064396",8.4e-23
"86","SRR6048648.32134626_1:26224996",8.5e-23
"87","SRR6048648.73317967_1:59865177",8.5e-23
"88","SRR6048648.20213740_1:16494069",8.6e-23
"89","SRR6048648.13400481_1:10932826",8.9e-23
"90","SRR6048648.12160016_1:9922383",9.3e-23
"91","SRR6048648.43855575_1:35797384",1e-22
"92","SRR6048648.81672845_1:66692413",1e-22
"93","SRR6048648.6463394_1:5272707",1e-22
"94","SRR6048648.53294379_1:43510290",1.1e-22
"95","SRR6048648.51597812_1:42124622",1.1e-22
"96","SRR6048648.69560990_1:56794369",1.1e-22
"97","SRR6048648.70542673_1:57596625",1.1e-22
"98","SRR6048648.51119781_1:41734907",1.1e-22
"99","SRR6048648.22664322_1:18493456",1.2e-22
"100","SRR6048648.12164010_1:9925569",1.2e-22
"101","SRR6048648.6984941_1:5698861",1.3e-22
"102","SRR6048648.19060585_1:15553416",1.3e-22
"103","SRR6048648.7507853_1:6125794",1.3e-22
"104","SRR6048648.30504280_1:24893338",1.3e-22
"105","SRR6048648.58059681_1:47401600",1.3e-22
"106","SRR6048648.23133532_1:18877258",1.4e-22
"107","SRR6048648.3099006_1:2528003",1.4e-22
"108","SRR6048648.46028947_1:37574027",1.5e-22
"109","SRR6048648.54386232_1:44403001",1.6e-22
"110","SRR6048648.7985910_1:6516058",1.6e-22
"111","SRR6048648.24104732_2:19669947",1.6e-22
"112","SRR6048648.53220645_1:43449926",1.6e-22
"113","SRR6048648.78996915_1:64506210",1.6e-22
"114","SRR6048648.70568707_1:57618116",1.7e-22
"115","SRR6048648.36426531_1:29735189",1.7e-22
"116","SRR6048648.20626390_1:16830913",1.8e-22
"117","SRR6048648.24297589_1:19827732",1.8e-22
"118","SRR6048648.68160709_1:55652089",1.8e-22
"119","SRR6048648.67846286_1:55395782",1.8e-22
"120","SRR6048648.60621508_1:49494782",1.9e-22
"121","SRR6048648.77896503_1:63607206",2.1e-22
"122","SRR6048648.68000727_1:55521743",2.2e-22
"123","SRR6048648.23840693_1:19454699",2.3e-22
"124","SRR6048648.61807916_2:50464656",2.3e-22
"125","SRR6048648.38153466_1:31146058",2.4e-22
"126","SRR6048648.29972599_2:24458974",2.5e-22
"127","SRR6048648.78906415_2:64432247",2.5e-22
"128","SRR6048648.13240656_1:10803125",2.5e-22
"129","SRR6048648.6726549_1:5487805",2.6e-22
"130","SRR6048648.28067969_1:22902523",2.6e-22
"131","SRR6048648.53680196_1:43825823",2.6e-22
"132","SRR6048648.34959188_1:28535469",2.6e-22
"133","SRR6048648.11329217_1:9244053",2.7e-22
