"","domain_name","sequence_evalue"
"1","HISEQ09:318:C9W38ANXX:6:1207:5914:41114_1",1.7e-10
"2","HISEQ09:318:C9W38ANXX:6:2301:15565:74035_1",1.7e-10
"3","HISEQ09:318:C9W38ANXX:6:2307:7996:78609_1",1.7e-10
"4","HISEQ09:318:C9W38ANXX:6:2103:15658:44466_1",2.5e-10
"5","HISEQ09:318:C9W38ANXX:6:2103:15658:44466_1",2.5e-10
"6","HISEQ09:318:C9W38ANXX:6:2211:1745:92370_1",5e-10
"7","HISEQ09:318:C9W38ANXX:6:1112:19370:18018_1",1.9e-09
"8","HISEQ09:318:C9W38ANXX:6:2108:12255:32749_1",1.9e-09
"9","HISEQ09:318:C9W38ANXX:6:2203:7175:18135_1",2e-09
"10","HISEQ09:318:C9W38ANXX:6:2210:17972:40643_1",1.1e-08
"11","HISEQ09:318:C9W38ANXX:6:2207:20802:31222_1",2e-07
"12","HISEQ09:318:C9W38ANXX:6:2207:20802:31222_1",5e-07
"13","HISEQ09:318:C9W38ANXX:6:1314:1722:34304_1",1.8e-06
"14","HISEQ09:318:C9W38ANXX:6:2113:6042:5872_1",1.8e-06
"15","HISEQ09:318:C9W38ANXX:6:1109:3754:47006_1",5.3e-06
"16","HISEQ09:318:C9W38ANXX:6:2101:8758:91931_1",5.3e-06
"17","HISEQ09:318:C9W38ANXX:6:1201:4706:69829_1",6.2e-06
