"","domain_name","sequence_evalue"
"1","NS500302:312:HJHHTBGX5:1:11203:17306:13784_1",7.1e-19
"2","NS500302:312:HJHHTBGX5:2:12108:2457:18805_1",7.1e-19
"3","NS500302:312:HJHHTBGX5:2:22305:4990:9405_1",7.1e-19
"4","NS500302:312:HJHHTBGX5:4:23608:3721:18428_1",7.1e-19
"5","NS500302:312:HJHHTBGX5:3:11502:8818:5225_1",1.7e-18
"6","NS500302:312:HJHHTBGX5:2:22206:13611:12967_1",2.1e-18
"7","NS500302:312:HJHHTBGX5:3:21607:24251:15419_1",2.4e-18
"8","NS500302:312:HJHHTBGX5:1:13107:8281:10893_1",2.5e-18
"9","NS500302:312:HJHHTBGX5:1:13206:23502:13990_1",2.5e-18
"10","NS500302:312:HJHHTBGX5:1:22202:23174:6231_1",2.5e-18
"11","NS500302:312:HJHHTBGX5:2:23209:1580:18845_1",2.5e-18
"12","NS500302:312:HJHHTBGX5:2:23308:25267:18640_1",2.5e-18
"13","NS500302:312:HJHHTBGX5:3:11404:22374:8238_1",2.5e-18
"14","NS500302:312:HJHHTBGX5:3:12604:7614:9469_1",2.5e-18
"15","NS500302:312:HJHHTBGX5:4:11512:7850:12969_1",2.5e-18
"16","NS500302:312:HJHHTBGX5:1:22101:6287:10317_1",2.9e-18
"17","NS500302:312:HJHHTBGX5:1:12304:19626:13793_1",3.4e-18
"18","NS500302:312:HJHHTBGX5:2:21201:17789:3871_1",5.5e-18
"19","NS500302:312:HJHHTBGX5:2:12103:19418:8542_1",6.8e-18
"20","NS500302:312:HJHHTBGX5:1:21110:22071:2192_1",7.9e-18
"21","NS500302:312:HJHHTBGX5:1:23211:22541:17271_1",7.9e-18
"22","NS500302:312:HJHHTBGX5:2:13305:17832:3101_1",7.9e-18
"23","NS500302:312:HJHHTBGX5:4:21410:18734:12793_1",7.9e-18
"24","NS500302:312:HJHHTBGX5:2:13302:19065:15993_1",9.2e-18
"25","NS500302:312:HJHHTBGX5:2:13308:4952:19190_1",9.2e-18
"26","NS500302:312:HJHHTBGX5:3:13403:13912:16106_1",9.2e-18
"27","NS500302:312:HJHHTBGX5:3:21401:6026:13823_1",9.2e-18
"28","NS500302:312:HJHHTBGX5:4:22405:10383:10954_1",9.2e-18
"29","NS500302:312:HJHHTBGX5:1:13306:19740:17199_1",1.3e-17
"30","NS500302:312:HJHHTBGX5:2:23211:22105:16472_1",1.3e-17
"31","NS500302:312:HJHHTBGX5:3:23404:26534:2679_1",1.3e-17
"32","NS500302:312:HJHHTBGX5:4:11407:9189:17797_1",1.3e-17
"33","NS500302:312:HJHHTBGX5:1:11201:21739:1744_1",1.5e-17
"34","NS500302:312:HJHHTBGX5:1:23303:16902:19767_1",1.5e-17
"35","NS500302:312:HJHHTBGX5:2:12104:5346:2762_1",1.5e-17
"36","NS500302:312:HJHHTBGX5:2:12211:3095:2372_1",1.5e-17
"37","NS500302:312:HJHHTBGX5:2:12301:21316:4307_1",1.5e-17
"38","NS500302:312:HJHHTBGX5:3:11604:20019:20097_1",1.5e-17
"39","NS500302:312:HJHHTBGX5:3:21501:26406:9476_1",1.5e-17
"40","NS500302:312:HJHHTBGX5:3:22507:4835:9228_1",1.5e-17
"41","NS500302:312:HJHHTBGX5:4:12601:11689:1849_1",1.5e-17
"42","NS500302:312:HJHHTBGX5:4:13412:5664:13908_1",1.5e-17
"43","NS500302:312:HJHHTBGX5:4:13505:11991:9863_1",1.5e-17
"44","NS500302:312:HJHHTBGX5:4:13604:1484:8542_1",1.5e-17
"45","NS500302:312:HJHHTBGX5:4:22404:15173:19166_1",1.5e-17
"46","NS500302:312:HJHHTBGX5:4:23606:5654:6352_1",1.5e-17
"47","NS500302:312:HJHHTBGX5:1:21110:11070:16975_1",2.1e-17
"48","NS500302:312:HJHHTBGX5:3:12512:25609:17897_1",2.1e-17
"49","NS500302:312:HJHHTBGX5:4:13407:2767:8209_1",2.1e-17
"50","NS500302:312:HJHHTBGX5:4:21406:3439:14418_1",2.1e-17
"51","NS500302:312:HJHHTBGX5:4:22510:22900:3729_1",2.1e-17
"52","NS500302:312:HJHHTBGX5:4:11504:10327:15655_1",2.1e-17
"53","NS500302:312:HJHHTBGX5:4:11510:5145:15821_1",2.1e-17
"54","NS500302:312:HJHHTBGX5:4:23507:11905:13248_1",2.3e-17
