"","domain_name","sequence_evalue"
"1","NS500302:312:HJHHTBGX5:1:11203:17306:13784_1",1.4e-20
"2","NS500302:312:HJHHTBGX5:2:12108:2457:18805_1",1.4e-20
"3","NS500302:312:HJHHTBGX5:2:22305:4990:9405_1",1.4e-20
"4","NS500302:312:HJHHTBGX5:4:23608:3721:18428_1",1.4e-20
"5","NS500302:312:HJHHTBGX5:1:12109:24598:3357_1",1.5e-20
"6","NS500302:312:HJHHTBGX5:1:12304:5149:2401_1",1.5e-20
"7","NS500302:312:HJHHTBGX5:1:21305:6896:15559_1",1.5e-20
"8","NS500302:312:HJHHTBGX5:2:12204:8654:6909_1",1.5e-20
"9","NS500302:312:HJHHTBGX5:3:11611:14108:16937_1",1.5e-20
"10","NS500302:312:HJHHTBGX5:3:22405:17992:8651_1",1.5e-20
"11","NS500302:312:HJHHTBGX5:3:22509:6203:19815_1",1.5e-20
"12","NS500302:312:HJHHTBGX5:4:11503:14773:12142_1",1.5e-20
"13","NS500302:312:HJHHTBGX5:4:21512:25363:6351_1",1.5e-20
"14","NS500302:312:HJHHTBGX5:4:22408:25464:7399_1",1.5e-20
"15","NS500302:312:HJHHTBGX5:1:12304:19626:13793_1",2.5e-20
"16","NS500302:312:HJHHTBGX5:3:11502:8818:5225_1",3.1e-20
"17","NS500302:312:HJHHTBGX5:2:22206:13611:12967_1",4.1e-20
"18","NS500302:312:HJHHTBGX5:2:21201:17789:3871_1",1.1e-19
"19","NS500302:312:HJHHTBGX5:4:11503:14777:12152_1",1.1e-19
"20","NS500302:312:HJHHTBGX5:1:21211:19750:3373_1",1.2e-19
"21","NS500302:312:HJHHTBGX5:1:22212:4600:14276_1",1.2e-19
"22","NS500302:312:HJHHTBGX5:1:23207:8272:1699_1",1.2e-19
"23","NS500302:312:HJHHTBGX5:2:12205:13719:16273_1",1.2e-19
"24","NS500302:312:HJHHTBGX5:2:12305:1601:12260_1",1.2e-19
"25","NS500302:312:HJHHTBGX5:2:22302:15888:20225_1",1.2e-19
"26","NS500302:312:HJHHTBGX5:4:13404:18179:9322_1",1.2e-19
"27","NS500302:312:HJHHTBGX5:4:13408:23627:16584_1",1.2e-19
"28","NS500302:312:HJHHTBGX5:4:11503:14773:12142_1",1.4e-19
"29","NS500302:312:HJHHTBGX5:1:22101:6287:10317_1",2.3e-19
"30","NS500302:312:HJHHTBGX5:1:13111:14641:9222_1",2.3e-19
"31","NS500302:312:HJHHTBGX5:1:21108:21046:3968_1",2.3e-19
"32","NS500302:312:HJHHTBGX5:1:21112:5198:17114_1",2.3e-19
"33","NS500302:312:HJHHTBGX5:2:12307:24774:11240_1",2.3e-19
"34","NS500302:312:HJHHTBGX5:2:13212:11014:4016_1",2.3e-19
"35","NS500302:312:HJHHTBGX5:2:21202:16197:11046_1",2.3e-19
"36","NS500302:312:HJHHTBGX5:2:23102:10031:11033_1",2.3e-19
"37","NS500302:312:HJHHTBGX5:2:23202:25946:18283_1",2.3e-19
"38","NS500302:312:HJHHTBGX5:3:11508:26753:13704_1",2.3e-19
"39","NS500302:312:HJHHTBGX5:3:11509:1261:13668_1",2.3e-19
"40","NS500302:312:HJHHTBGX5:3:12602:11648:10526_1",2.3e-19
"41","NS500302:312:HJHHTBGX5:3:22407:20233:13444_1",2.3e-19
"42","NS500302:312:HJHHTBGX5:4:11602:7203:4083_1",2.3e-19
"43","NS500302:312:HJHHTBGX5:4:13401:25397:2334_1",2.3e-19
"44","NS500302:312:HJHHTBGX5:4:11404:15618:16881_1",3.8e-19
"45","NS500302:312:HJHHTBGX5:4:13502:10942:2614_1",4.2e-19
"46","NS500302:312:HJHHTBGX5:1:11208:11630:6334_1",6e-19
"47","NS500302:312:HJHHTBGX5:1:11211:15220:20010_1",6e-19
"48","NS500302:312:HJHHTBGX5:1:12107:21713:12466_1",6e-19
"49","NS500302:312:HJHHTBGX5:1:13112:14189:15423_1",6e-19
"50","NS500302:312:HJHHTBGX5:1:13310:26223:3238_1",6e-19
"51","NS500302:312:HJHHTBGX5:1:21302:1843:1794_1",6e-19
"52","NS500302:312:HJHHTBGX5:1:23112:25709:13100_1",6e-19
"53","NS500302:312:HJHHTBGX5:2:12107:7566:2653_1",6e-19
"54","NS500302:312:HJHHTBGX5:2:13210:3712:9481_1",6e-19
"55","NS500302:312:HJHHTBGX5:2:21301:4374:14225_1",6e-19
"56","NS500302:312:HJHHTBGX5:3:11505:18161:14505_1",6e-19
"57","NS500302:312:HJHHTBGX5:3:21508:20798:3241_1",6e-19
"58","NS500302:312:HJHHTBGX5:3:22404:21182:10921_1",6e-19
"59","NS500302:312:HJHHTBGX5:3:23401:11744:10967_1",6e-19
"60","NS500302:312:HJHHTBGX5:4:13403:21069:11845_1",6e-19
"61","NS500302:312:HJHHTBGX5:4:13609:6539:9262_1",6e-19
"62","NS500302:312:HJHHTBGX5:4:21401:3644:2423_1",6e-19
"63","NS500302:312:HJHHTBGX5:4:22509:2324:3738_1",6e-19
"64","NS500302:312:HJHHTBGX5:4:22605:18194:17659_1",6e-19
"65","NS500302:312:HJHHTBGX5:4:23501:15309:7897_1",6e-19
"66","NS500302:312:HJHHTBGX5:1:23204:20523:1874_1",7e-19
"67","NS500302:312:HJHHTBGX5:1:11201:21739:1744_1",8.8e-19
"68","NS500302:312:HJHHTBGX5:1:23303:16902:19767_1",8.8e-19
"69","NS500302:312:HJHHTBGX5:2:12104:5346:2762_1",8.8e-19
"70","NS500302:312:HJHHTBGX5:2:12211:3095:2372_1",8.8e-19
"71","NS500302:312:HJHHTBGX5:2:12301:21316:4307_1",8.8e-19
"72","NS500302:312:HJHHTBGX5:3:11604:20019:20097_1",8.8e-19
"73","NS500302:312:HJHHTBGX5:3:21501:26406:9476_1",8.8e-19
"74","NS500302:312:HJHHTBGX5:3:22507:4835:9228_1",8.8e-19
"75","NS500302:312:HJHHTBGX5:4:12601:11689:1849_1",8.8e-19
"76","NS500302:312:HJHHTBGX5:4:13412:5664:13908_1",8.8e-19
"77","NS500302:312:HJHHTBGX5:4:13505:11991:9863_1",8.8e-19
"78","NS500302:312:HJHHTBGX5:4:13604:1484:8542_1",8.8e-19
"79","NS500302:312:HJHHTBGX5:4:22404:15173:19166_1",8.8e-19
"80","NS500302:312:HJHHTBGX5:4:23606:5654:6352_1",8.8e-19
"81","NS500302:312:HJHHTBGX5:1:12109:24598:3357_1",9.2e-19
"82","NS500302:312:HJHHTBGX5:1:21305:6896:15559_1",9.2e-19
"83","NS500302:312:HJHHTBGX5:2:12204:8654:6909_1",9.2e-19
"84","NS500302:312:HJHHTBGX5:3:11611:14108:16937_1",9.2e-19
"85","NS500302:312:HJHHTBGX5:3:22405:17992:8651_1",9.2e-19
"86","NS500302:312:HJHHTBGX5:4:22408:25464:7399_1",9.2e-19
"87","NS500302:312:HJHHTBGX5:3:12608:26364:12822_1",9.7e-19
"88","NS500302:312:HJHHTBGX5:2:12103:19418:8542_1",1.3e-18
