"","domain_name","sequence_evalue"
"1","HISEQ01:561:D1DRUACXX:7:1203:6601:120615_1:37393844",5.1e-22
"2","HISEQ01:561:D1DRUACXX:7:1202:2567:70311_1:33506724",1.6e-21
"3","HISEQ01:561:D1DRUACXX:7:1107:17323:197645_1:25132580",2e-21
"4","HISEQ01:561:D1DRUACXX:7:1201:14349:7510_1:29807863",2.5e-21
"5","HISEQ01:561:D1DRUACXX:7:1108:17544:75033_1:26833908",2.8e-21
"6","HISEQ01:561:D1DRUACXX:7:1102:10486:155917_1:5315144",3.2e-21
"7","HISEQ01:561:D1DRUACXX:7:1101:2733:110181_1:1556103",4.8e-21
"8","HISEQ01:561:D1DRUACXX:7:1106:16198:96775_1:18760152",4.8e-21
"9","HISEQ01:561:D1DRUACXX:7:1206:2527:139391_1:48670489",5.8e-21
"10","HISEQ01:561:D1DRUACXX:7:1108:3612:76549_1:26864393",5.9e-21
"11","HISEQ01:561:D1DRUACXX:7:1202:4612:157812_1:34829132",7.2e-21
"12","HISEQ01:561:D1DRUACXX:7:1101:7212:69465_1:962692",7.2e-21
"13","HISEQ01:561:D1DRUACXX:7:1105:21032:163887_1:16136330",8.3e-21
"14","HISEQ01:561:D1DRUACXX:7:1108:11841:95653_1:27302423",1.1e-20
"15","HISEQ01:561:D1DRUACXX:7:1202:15781:135840_1:34493922",1.1e-20
"16","HISEQ01:561:D1DRUACXX:7:1203:16197:109413_1:37210839",1.1e-20
"17","HISEQ01:561:D1DRUACXX:7:1204:14652:109698_1:40604815",1.3e-20
"18","HISEQ01:561:D1DRUACXX:7:1205:17825:163548_1:45200907",1.3e-20
"19","HISEQ01:561:D1DRUACXX:7:1105:1286:159275_1:16042709",1.4e-20
"20","HISEQ01:561:D1DRUACXX:7:1102:1563:186352_1:5806895",1.6e-20
"21","HISEQ01:561:D1DRUACXX:7:1203:14515:133453_1:37605247",1.9e-20
"22","HISEQ01:561:D1DRUACXX:7:1205:13090:103140_1:44125420",1.9e-20
"23","HISEQ01:561:D1DRUACXX:7:1108:7057:111593_1:27668243",2.3e-20
"24","HISEQ01:561:D1DRUACXX:7:1106:10797:193656_1:20746054",2.4e-20
"25","HISEQ01:561:D1DRUACXX:7:1201:13142:71422_1:30680908",2.4e-20
"26","HISEQ01:561:D1DRUACXX:7:1204:10630:100014_1:40435337",2.7e-20
"27","HISEQ01:561:D1DRUACXX:7:1108:16652:120035_1:27865436",2.7e-20
"28","HISEQ01:561:D1DRUACXX:7:1202:10254:18874_1:32751505",2.7e-20
"29","HISEQ01:561:D1DRUACXX:7:1201:2215:125647_1:31437265",2.8e-20
"30","HISEQ01:561:D1DRUACXX:7:1106:16349:64283_1:18106320",2.9e-20
"31","HISEQ01:561:D1DRUACXX:7:1105:10395:120075_1:15282089",3.3e-20
"32","HISEQ01:561:D1DRUACXX:7:1102:14206:4674_1:2949058",3.4e-20
"33","HISEQ01:561:D1DRUACXX:7:1201:5060:121975_1:31385362",3.6e-20
"34","HISEQ01:561:D1DRUACXX:7:1102:18364:182318_1:5745406",3.9e-20
"35","HISEQ01:561:D1DRUACXX:7:1202:3107:67952_1:33469700",3.9e-20
"36","HISEQ01:561:D1DRUACXX:7:1106:7766:164173_1:20133492",4e-20
"37","HISEQ01:561:D1DRUACXX:7:1204:2896:137636_1:41102720",4.5e-20
"38","HISEQ01:561:D1DRUACXX:7:1107:5142:67453_1:22272430",5.2e-20
"39","HISEQ01:561:D1DRUACXX:7:1206:8718:166558_1:49233822",5.5e-20
"40","HISEQ01:561:D1DRUACXX:7:1102:18034:84848_1:4188530",5.6e-20
"41","HISEQ01:561:D1DRUACXX:7:1201:11703:47785_1:30356873",5.8e-20
"42","HISEQ01:561:D1DRUACXX:7:1201:19739:110049_1:31221892",6e-20
"43","HISEQ01:561:D1DRUACXX:7:1102:11786:142220_1:5094918",6e-20
"44","HISEQ01:561:D1DRUACXX:7:1106:14920:37275_1:17561612",6e-20
"45","HISEQ01:561:D1DRUACXX:7:1107:7747:27851_1:21427466",6e-20
"46","HISEQ01:561:D1DRUACXX:7:1205:19758:171168_1:45346901",6e-20
"47","HISEQ01:561:D1DRUACXX:7:1103:5718:11675_1:6194045",6.1e-20
"48","HISEQ01:561:D1DRUACXX:7:1102:7491:189469_1:5856730",6.5e-20
"49","HISEQ01:561:D1DRUACXX:7:1108:19583:166546_1:28951017",6.6e-20
"50","HISEQ01:561:D1DRUACXX:7:1103:19161:48084_1:6799726",6.9e-20
"51","HISEQ01:561:D1DRUACXX:7:1104:10440:93916_1:11049712",6.9e-20
"52","HISEQ01:561:D1DRUACXX:7:1106:1989:14287_1:17100847",6.9e-20
"53","HISEQ01:561:D1DRUACXX:7:1205:15783:80611_1:43729503",6.9e-20
"54","HISEQ01:561:D1DRUACXX:7:1201:11922:151485_1:31804694",6.9e-20
"55","HISEQ01:561:D1DRUACXX:7:1103:3474:168752_1:8847058",7e-20
"56","HISEQ01:561:D1DRUACXX:7:1108:16299:88189_1:27130912",7.1e-20
"57","HISEQ01:561:D1DRUACXX:7:1104:4133:79533_1:10790440",7.5e-20
"58","HISEQ01:561:D1DRUACXX:7:1103:15987:41886_1:6695270",7.7e-20
"59","HISEQ01:561:D1DRUACXX:7:1108:19386:16626_1:25522204",7.9e-20
"60","HISEQ01:561:D1DRUACXX:7:1204:12181:120019_1:40791519",8.5e-20
"61","HISEQ01:561:D1DRUACXX:7:1104:14845:196574_1:12953513",8.5e-20
"62","HISEQ01:561:D1DRUACXX:7:1204:2414:185732_1:41974524",8.5e-20
"63","HISEQ01:561:D1DRUACXX:7:1202:3170:80675_1:33658436",8.6e-20
"64","HISEQ01:561:D1DRUACXX:7:1105:16398:41325_1:13771715",8.7e-20
"65","HISEQ01:561:D1DRUACXX:7:1105:3202:15416_1:13272870",8.7e-20
"66","HISEQ01:561:D1DRUACXX:7:1107:12204:5608_1:20962604",8.7e-20
"67","HISEQ01:561:D1DRUACXX:7:1206:10458:100547_1:47885198",8.7e-20
"68","HISEQ01:561:D1DRUACXX:7:1105:4982:164158_1:16137218",9e-20
"69","HISEQ01:561:D1DRUACXX:7:1205:2422:185567_1:45626627",9.6e-20
"70","HISEQ01:561:D1DRUACXX:7:1104:16644:169538_1:12447323",9.7e-20
"71","HISEQ01:561:D1DRUACXX:7:1103:15740:97043_1:7619313",1.1e-19
"72","HISEQ01:561:D1DRUACXX:7:1103:9610:149790_1:8520036",1.1e-19
"73","HISEQ01:561:D1DRUACXX:7:1103:8693:155028_1:8610120",1.1e-19
"74","HISEQ01:561:D1DRUACXX:7:1107:17314:193699_1:25042948",1.1e-19
"75","HISEQ01:561:D1DRUACXX:7:1106:7261:189930_1:20666312",1.2e-19
"76","HISEQ01:561:D1DRUACXX:7:1202:7882:108937_1:34083723",1.2e-19
"77","HISEQ01:561:D1DRUACXX:7:1107:7416:119329_1:23397596",1.3e-19
"78","HISEQ01:561:D1DRUACXX:7:1102:12372:195585_1:5959418",1.3e-19
"79","HISEQ01:561:D1DRUACXX:7:1206:4229:49446_1:46855920",1.4e-19
"80","HISEQ01:561:D1DRUACXX:7:1105:11257:4406_1:13066869",1.5e-19
"81","HISEQ01:561:D1DRUACXX:7:1102:16849:41598_1:3517667",1.5e-19
"82","HISEQ01:561:D1DRUACXX:7:1101:11913:136792_1:1953947",1.6e-19
"83","HISEQ01:561:D1DRUACXX:7:1206:18909:123169_1:48341695",1.6e-19
"84","HISEQ01:561:D1DRUACXX:7:1106:9182:43832_1:17691733",1.7e-19
"85","HISEQ01:561:D1DRUACXX:7:1107:7747:27851_1:21427467",1.7e-19
"86","HISEQ01:561:D1DRUACXX:7:1104:12126:67332_1:10570195",1.8e-19
"87","HISEQ01:561:D1DRUACXX:7:1202:8448:41484_1:33080753",1.8e-19
"88","HISEQ01:561:D1DRUACXX:7:1106:16915:19223_1:17198857",1.9e-19
"89","HISEQ01:561:D1DRUACXX:7:1106:2630:5329_1:16922065",1.9e-19
"90","HISEQ01:561:D1DRUACXX:7:1106:14932:114196_1:19107030",2e-19
"91","HISEQ01:561:D1DRUACXX:7:1108:6073:86689_1:27093337",2e-19
"92","HISEQ01:561:D1DRUACXX:7:1103:6655:72602_1:7205901",2e-19
"93","HISEQ01:561:D1DRUACXX:7:1104:14845:196574_1:12953512",2e-19
"94","HISEQ01:561:D1DRUACXX:7:1104:19232:10363_1:9548786",2e-19
"95","HISEQ01:561:D1DRUACXX:7:1108:11313:167165_1:28960083",2e-19
"96","HISEQ01:561:D1DRUACXX:7:1204:11076:131788_1:41001110",2.3e-19
"97","HISEQ01:561:D1DRUACXX:7:1203:17459:101179_1:37077352",2.4e-19
"98","HISEQ01:561:D1DRUACXX:7:1104:5517:193331_1:12889504",2.4e-19
"99","HISEQ01:561:D1DRUACXX:7:1204:19143:17060_1:38985775",2.5e-19
"100","HISEQ01:561:D1DRUACXX:7:1203:13380:55817_1:36347842",2.5e-19
"101","HISEQ01:561:D1DRUACXX:7:1102:11475:184094_1:5772466",2.7e-19
"102","HISEQ01:561:D1DRUACXX:7:1104:18032:67490_1:10571527",2.7e-19
"103","HISEQ01:561:D1DRUACXX:7:1204:11065:57547_1:39686225",2.7e-19
"104","HISEQ01:561:D1DRUACXX:7:1106:8306:117572_1:19177145",2.9e-19
"105","HISEQ01:561:D1DRUACXX:7:1201:13593:86819_1:30895858",2.9e-19
"106","HISEQ01:561:D1DRUACXX:7:1107:12735:55447_1:22016672",3e-19
"107","HISEQ01:561:D1DRUACXX:7:1107:14329:21931_1:21303615",3e-19
"108","HISEQ01:561:D1DRUACXX:7:1106:14132:88637_1:18593357",3.1e-19
"109","HISEQ01:561:D1DRUACXX:7:1107:8550:192423_1:25012786",3.3e-19
"110","HISEQ01:561:D1DRUACXX:7:1101:16203:184443_1:2668228",3.4e-19
"111","HISEQ01:561:D1DRUACXX:7:1108:8859:132522_1:28152105",3.6e-19
"112","HISEQ01:561:D1DRUACXX:7:1105:2249:23731_1:13428885",4e-19
"113","HISEQ01:561:D1DRUACXX:7:1104:4513:10825_1:9554481",4e-19
"114","HISEQ01:561:D1DRUACXX:7:1202:13978:41916_1:33089206",4.1e-19
