"","domain_name","sequence_evalue"
"1","SRR10241527.47314750_2:51980969",1.9e-29
"2","SRR10241527.34973852_1:38317691",6.5e-29
"3","SRR10241527.34973853_1:38317693",6.5e-29
"4","SRR10241527.34974082_1:38317948",6.5e-29
"5","SRR10241527.29500786_2:32238663",6.6e-29
"6","SRR10241527.23333168_1:25391323",7.5e-29
"7","SRR10241527.11035256_2:11987392",7.8e-29
"8","SRR10241527.41551834_2:45622664",8.4e-29
"9","SRR10241527.50138228_1:55115223",8.4e-29
"10","SRR10241527.54378171_2:59817381",1.1e-28
"11","SRR10241527.47783019_1:52500411",1.2e-28
"12","SRR10241527.50138228_2:55115224",1.2e-28
"13","SRR10241527.27213126_1:29698615",1.2e-28
"14","SRR10241527.23333168_2:25391324",1.3e-28
"15","SRR10241527.11285676_2:12259482",1.4e-28
"16","SRR10241527.11285749_2:12259551",1.4e-28
"17","SRR10241527.13966831_2:15173439",1.4e-28
"18","SRR10241527.32545497_2:35620104",2e-28
"19","SRR10241527.4913768_2:5342761",2.2e-28
"20","SRR10241527.47193978_1:51846955",2.5e-28
"21","SRR10241527.47193978_2:51846956",2.9e-28
"22","SRR10241527.45145053_1:49580306",3.8e-28
"23","SRR10241527.35751264_2:39181208",4.1e-28
"24","SRR10241527.13484590_1:14649583",5.2e-28
"25","SRR10241527.34973852_2:38317692",5.3e-28
"26","SRR10241527.34973853_2:38317694",5.3e-28
"27","SRR10241527.34974082_2:38317949",5.3e-28
"28","SRR10241527.35529915_2:38935167",5.5e-28
"29","SRR10241527.35529989_2:38935247",5.5e-28
"30","SRR10241527.28964847_1:31643384",1.1e-27
"31","SRR10241527.16418139_1:17837772",1.1e-27
"32","SRR10241527.35751264_1:39181207",1.4e-27
"33","SRR10241527.42542626_1:46715256",1.5e-27
"34","SRR10241527.34269719_1:37535366",1.7e-27
"35","SRR10241527.34270481_1:37536187",1.7e-27
"36","SRR10241527.1940992_1:2109596",2.2e-27
"37","SRR10241527.40498264_1:44456545",2.4e-27
"38","SRR10241527.1624815_1:1765514",2.6e-27
"39","SRR10241527.17209391_1:18699649",3.9e-27
"40","SRR10241527.17209502_1:18699775",3.9e-27
"41","SRR10241527.55629620_1:61206344",5e-27
"42","SRR10241527.53106796_1:58406844",5.1e-27
"43","SRR10241527.22484274_1:24449791",5.2e-27
"44","SRR10241527.22484500_1:24450035",5.2e-27
"45","SRR10241527.43297722_2:47548734",5.2e-27
"46","SRR10241527.19254157_2:20926600",6.8e-27
"47","SRR10241527.10811972_1:11747004",7e-27
"48","SRR10241527.10816775_1:11752035",7e-27
"49","SRR10241527.38653809_1:42411090",8.2e-27
"50","SRR10241527.11383500_1:12365633",8.4e-27
"51","SRR10241527.11383853_1:12366005",8.4e-27
"52","SRR10241527.4056717_1:4409941",8.5e-27
"53","SRR10241527.12743881_1:13843592",1e-26
"54","SRR10241527.8397223_1:9136454",1e-26
"55","SRR10241527.42365566_2:46521405",1.1e-26
"56","SRR10241527.20485065_1:22261697",1.1e-26
"57","SRR10241527.27287369_2:29781299",1.1e-26
"58","SRR10241527.55058389_1:60571852",1.2e-26
"59","SRR10241527.55058243_1:60571685",1.2e-26
"60","SRR10241527.47412244_1:52088804",1.3e-26
"61","SRR10241527.47412333_1:52088894",1.3e-26
"62","SRR10241527.45832216_1:50334934",1.3e-26
"63","SRR10241527.4770367_2:5186822",1.3e-26
"64","SRR10241527.7183031_1:7813169",1.3e-26
"65","SRR10241527.43002661_1:47222728",1.4e-26
"66","SRR10241527.21631760_2:23506623",1.5e-26
"67","SRR10241527.5560886_1:6045737",1.6e-26
"68","SRR10241527.36400239_1:39903149",1.8e-26
"69","SRR10241527.40469115_2:44424409",1.9e-26
"70","SRR10241527.53413193_1:58747327",2e-26
"71","SRR10241527.14948768_1:16239963",2.1e-26
"72","SRR10241527.19677345_2:21386286",2.2e-26
"73","SRR10241527.43297722_1:47548733",2.4e-26
"74","SRR10241527.33675546_1:36875079",2.5e-26
"75","SRR10241527.23719355_1:25820231",2.6e-26
"76","SRR10241527.18821078_2:20455080",2.7e-26
"77","SRR10241527.4495019_1:4887826",2.9e-26
"78","SRR10241527.4495657_1:4888529",2.9e-26
"79","SRR10241527.29739181_1:32504232",2.9e-26
"80","SRR10241527.29742132_1:32507540",2.9e-26
"81","SRR10241527.34740033_1:38057837",2.9e-26
"82","SRR10241527.30768965_2:33648899",3.1e-26
"83","SRR10241527.5266860_2:5726533",3.1e-26
"84","SRR10241527.44728467_1:49121039",3.2e-26
"85","SRR10241527.3411929_1:3708412",3.2e-26
"86","SRR10241527.3412264_1:3708778",3.2e-26
"87","SRR10241527.52149670_1:57345018",3.3e-26
"88","SRR10241527.30479748_1:33327118",3.3e-26
"89","SRR10241527.30506583_1:33356878",3.3e-26
"90","SRR10241527.22411077_2:24368555",3.6e-26
"91","SRR10241527.22411870_2:24369422",3.6e-26
"92","SRR10241527.45209159_1:49651448",4e-26
"93","SRR10241527.41551834_1:45622663",4.2e-26
"94","SRR10241527.43464137_1:47731066",4.4e-26
"95","SRR10241527.47274650_1:51936429",4.8e-26
"96","SRR10241527.27218123_1:29704215",4.9e-26
"97","SRR10241527.9540648_1:10374467",5.6e-26
"98","SRR10241527.19224855_1:20894856",5.8e-26
"99","SRR10241527.27345905_1:29846455",5.8e-26
"100","SRR10241527.41369165_1:45420984",6e-26
"101","SRR10241527.11383500_2:12365634",6e-26
"102","SRR10241527.11383853_2:12366006",6e-26
"103","SRR10241527.50649187_1:55681790",6.4e-26
"104","SRR10241527.30018944_2:32815523",6.8e-26
"105","SRR10241527.37743919_2:41398219",7.3e-26
"106","SRR10241527.38092089_1:41786198",7.4e-26
"107","SRR10241527.49529050_1:54439256",7.7e-26
"108","SRR10241527.6048632_2:6576697",8.3e-26
"109","SRR10241527.16709436_2:18155244",8.4e-26
"110","SRR10241527.34802137_2:38127080",8.5e-26
"111","SRR10241527.13389713_2:14546473",8.5e-26
"112","SRR10241527.41945338_2:46058627",8.5e-26
"113","SRR10241527.32378625_1:35434447",8.7e-26
"114","SRR10241527.14232450_2:15462176",8.7e-26
"115","SRR10241527.22484274_2:24449792",9.1e-26
"116","SRR10241527.22484500_2:24450036",9.1e-26
"117","SRR10241527.29796003_2:32567527",9.2e-26
"118","SRR10241527.17405474_1:18913249",9.3e-26
"119","SRR10241527.23172444_2:25212624",9.4e-26
"120","SRR10241527.8973629_2:9760951",9.4e-26
"121","SRR10241527.48253911_1:53023180",1e-25
"122","SRR10241527.18698485_2:20321830",1.1e-25
"123","SRR10241527.48730212_2:53552430",1.1e-25
"124","SRR10241527.39079260_1:42883078",1.2e-25
"125","SRR10241527.736671_2:800193",1.2e-25
"126","SRR10241527.20314245_2:22077191",1.3e-25
"127","SRR10241527.55192138_2:60720138",1.3e-25
"128","SRR10241527.11471559_1:12461315",1.4e-25
"129","SRR10241527.49031616_1:53887249",1.4e-25
"130","SRR10241527.23094588_1:25126350",1.5e-25
"131","SRR10241527.23143070_1:25180003",1.5e-25
"132","SRR10241527.42000770_1:46120351",1.5e-25
"133","SRR10241527.23638771_1:25730351",1.6e-25
"134","SRR10241527.17372812_2:18877510",1.6e-25
