"","domain_name","sequence_evalue"
"1","HISEQ15:229:C9DW7ANXX:7:1301:17382:40757_1:28693343",1.1e-16
"2","HISEQ15:229:C9DW7ANXX:7:1105:19401:13882_1:3463804",2e-16
"3","HISEQ15:229:C9DW7ANXX:7:1206:7114:11291_1:18503445",2e-16
"4","HISEQ15:229:C9DW7ANXX:7:1309:10469:76387_1:35890370",2e-16
"5","HISEQ15:229:C9DW7ANXX:7:2104:19876:96553_1:45887114",2e-16
"6","HISEQ15:229:C9DW7ANXX:7:2107:16994:61850_1:48133650",2e-16
"7","HISEQ15:229:C9DW7ANXX:7:2108:13109:4674_1:48495721",2e-16
"8","HISEQ15:229:C9DW7ANXX:7:2108:4207:84514_1:49187788",2e-16
"9","HISEQ15:229:C9DW7ANXX:7:2110:9396:28979_1:50445532",2e-16
"10","HISEQ15:229:C9DW7ANXX:7:2204:17419:32559_1:59289119",2e-16
"11","HISEQ15:229:C9DW7ANXX:7:2210:16212:68507_1:64691908",2e-16
"12","HISEQ15:229:C9DW7ANXX:7:2215:15223:59342_1:69087646",2e-16
"13","HISEQ15:229:C9DW7ANXX:7:2105:11469:64720_1:46454955",1.1e-13
"14","HISEQ15:229:C9DW7ANXX:7:1112:9183:30453_1:9787286",3.2e-13
"15","HISEQ15:229:C9DW7ANXX:7:2106:1808:2632_1:46771988",3.2e-13
"16","HISEQ15:229:C9DW7ANXX:7:1113:14942:74771_1:11135209",1e-12
"17","HISEQ15:229:C9DW7ANXX:7:1113:14942:74771_1:11135210",1e-12
"18","HISEQ15:229:C9DW7ANXX:7:1203:7935:16464_1:16002504",1e-12
"19","HISEQ15:229:C9DW7ANXX:7:1203:7935:16464_1:16002505",1e-12
"20","HISEQ15:229:C9DW7ANXX:7:1215:14519:76515_1:27190472",1e-12
"21","HISEQ15:229:C9DW7ANXX:7:1215:14519:76515_1:27190473",1e-12
"22","HISEQ15:229:C9DW7ANXX:7:1303:6380:23110_1:30218427",1e-12
"23","HISEQ15:229:C9DW7ANXX:7:1303:6380:23110_1:30218428",1e-12
"24","HISEQ15:229:C9DW7ANXX:7:1311:12070:87260_1:37803716",1e-12
"25","HISEQ15:229:C9DW7ANXX:7:1311:12070:87260_1:37803717",1e-12
"26","HISEQ15:229:C9DW7ANXX:7:2108:14441:39983_1:48802403",1e-12
"27","HISEQ15:229:C9DW7ANXX:7:2108:14441:39983_1:48802404",1e-12
"28","HISEQ15:229:C9DW7ANXX:7:2110:13787:98531_1:51067385",1e-12
"29","HISEQ15:229:C9DW7ANXX:7:2110:13787:98531_1:51067386",1e-12
"30","HISEQ15:229:C9DW7ANXX:7:1116:19542:32541_1:13564403",2.8e-12
"31","HISEQ15:229:C9DW7ANXX:7:1207:6758:60091_1:19794684",2.8e-12
"32","HISEQ15:229:C9DW7ANXX:7:1211:9830:42662_1:23176779",2.8e-12
"33","HISEQ15:229:C9DW7ANXX:7:1309:3983:13449_1:35325153",2.8e-12
"34","HISEQ15:229:C9DW7ANXX:7:2106:5700:38524_1:47080185",2.8e-12
"35","HISEQ15:229:C9DW7ANXX:7:2114:14588:47975_1:54206515",2.8e-12
"36","HISEQ15:229:C9DW7ANXX:7:1112:9183:30453_1:9787287",3.6e-12
"37","HISEQ15:229:C9DW7ANXX:7:2106:1808:2632_1:46771989",3.6e-12
"38","HISEQ15:229:C9DW7ANXX:7:1103:5710:84383_1:2367592",1.5e-11
"39","HISEQ15:229:C9DW7ANXX:7:1202:12946:3523_1:15057571",1.5e-11
"40","HISEQ15:229:C9DW7ANXX:7:1214:6079:61789_1:26107740",1.5e-11
"41","HISEQ15:229:C9DW7ANXX:7:1215:18234:64099_1:27071616",1.5e-11
"42","HISEQ15:229:C9DW7ANXX:7:1215:8834:69990_1:27125325",1.5e-11
