"","domain_name","sequence_evalue"
"1","SRR10241523.226316_2:240740",2.1e-23
"2","SRR10241523.226316_1:240739",3.9e-23
"3","SRR10241523.3639531_1:3870191",1.2e-20
"4","SRR10241523.3016659_1:3207251",4.9e-20
"5","SRR10241523.407553_1:434114",1.2e-19
"6","SRR10241523.4375671_1:4653920",1.3e-19
"7","SRR10241523.3008571_1:3198636",1.6e-19
"8","SRR10241523.3018371_1:3209096",1.6e-19
"9","SRR10241523.488983_1:520729",1.7e-19
"10","SRR10241523.1202189_1:1278205",1.8e-19
"11","SRR10241523.4773832_1:5079201",2.1e-19
"12","SRR10241523.536851_1:571335",2.5e-19
"13","SRR10241523.5051140_1:5374544",2.8e-19
"14","SRR10241523.3228336_1:3433282",3e-19
"15","SRR10241523.3229440_1:3434471",3e-19
"16","SRR10241523.2134294_1:2267851",4.4e-19
"17","SRR10241523.5269556_1:5606683",4.7e-19
"18","SRR10241523.4739705_1:5042809",6.2e-19
"19","SRR10241523.4740159_1:5043316",6.2e-19
"20","SRR10241523.1880180_1:1998315",7.6e-19
"21","SRR10241523.2290654_1:2434615",7.7e-19
"22","SRR10241523.2291034_1:2435011",7.7e-19
"23","SRR10241523.3624607_1:3854416",7.7e-19
"24","SRR10241523.2326042_1:2472336",7.8e-19
"25","SRR10241523.3717977_1:3953622",7.9e-19
"26","SRR10241523.3003046_1:3192798",8.2e-19
"27","SRR10241523.1331540_1:1415805",8.3e-19
"28","SRR10241523.1213783_1:1290539",8.3e-19
"29","SRR10241523.1447154_1:1538354",8.4e-19
"30","SRR10241523.2207628_1:2345911",9.2e-19
"31","SRR10241523.2208120_1:2346443",9.2e-19
"32","SRR10241523.515701_1:548967",9.4e-19
"33","SRR10241523.2344515_1:2492037",9.5e-19
"34","SRR10241523.1072734_1:1140949",9.5e-19
"35","SRR10241523.1618873_1:1720688",9.6e-19
"36","SRR10241523.3584461_1:3811766",9.6e-19
"37","SRR10241523.4787764_1:5094030",9.8e-19
"38","SRR10241523.1924547_2:2045241",9.9e-19
"39","SRR10241523.4210500_2:4477518",1e-18
"40","SRR10241523.1245706_1:1324514",1e-18
"41","SRR10241523.1218201_1:1295195",1e-18
"42","SRR10241523.3234748_1:3440136",1e-18
"43","SRR10241523.367687_1:391439",1e-18
"44","SRR10241523.527768_1:561699",1.1e-18
"45","SRR10241523.3681843_1:3915130",1.4e-18
"46","SRR10241523.642237_1:683247",1.4e-18
"47","SRR10241523.1649650_2:1753392",1.4e-18
"48","SRR10241523.5392648_2:5737833",1.5e-18
"49","SRR10241523.4242650_1:4512040",1.5e-18
"50","SRR10241523.2230478_1:2370388",1.5e-18
"51","SRR10241523.916047_1:973797",1.5e-18
"52","SRR10241523.2697307_2:2867722",1.6e-18
"53","SRR10241523.2697493_2:2867922",1.6e-18
"54","SRR10241523.1627293_1:1729544",1.6e-18
"55","SRR10241523.4419336_1:4700755",1.7e-18
"56","SRR10241523.1521558_1:1617422",1.7e-18
"57","SRR10241523.1521808_1:1617687",1.7e-18
"58","SRR10241523.210748_2:224062",1.7e-18
"59","SRR10241523.1526757_1:1622959",1.8e-18
"60","SRR10241523.4446081_2:4729239",1.9e-18
"61","SRR10241523.880575_1:936260",1.9e-18
"62","SRR10241523.2563661_1:2725040",2e-18
"63","SRR10241523.293038_2:311881",2e-18
"64","SRR10241523.5005923_2:5326538",2e-18
"65","SRR10241523.1393232_2:1481031",2.1e-18
"66","SRR10241523.1393851_2:1481661",2.1e-18
"67","SRR10241523.4707180_1:5008297",2.1e-18
"68","SRR10241523.4484153_1:4769967",2.2e-18
"69","SRR10241523.1537381_2:1634243",2.3e-18
"70","SRR10241523.230617_1:245308",2.3e-18
"71","SRR10241523.1965360_1:2088399",2.3e-18
"72","SRR10241523.5475900_1:5826205",2.3e-18
"73","SRR10241523.2118050_2:2250451",2.4e-18
"74","SRR10241523.1895759_1:2014751",2.4e-18
"75","SRR10241523.628316_2:668459",2.4e-18
"76","SRR10241523.5072090_1:5396796",2.5e-18
"77","SRR10241523.3414227_1:3631235",2.6e-18
"78","SRR10241523.697097_1:741470",2.6e-18
"79","SRR10241523.3228336_2:3433283",2.7e-18
"80","SRR10241523.3229440_2:3434472",2.7e-18
"81","SRR10241523.2243303_2:2384042",2.7e-18
"82","SRR10241523.1111371_1:1182068",2.8e-18
"83","SRR10241523.1111639_1:1182367",2.8e-18
"84","SRR10241523.5540609_2:5895272",2.8e-18
"85","SRR10241523.1111371_2:1182069",2.8e-18
"86","SRR10241523.1111639_2:1182368",2.8e-18
"87","SRR10241523.1853434_1:1969989",2.9e-18
"88","SRR10241523.1075811_1:1144301",3.2e-18
"89","SRR10241523.5464622_2:5814139",3.2e-18
"90","SRR10241523.5466327_2:5815952",3.2e-18
"91","SRR10241523.669054_2:711741",3.2e-18
"92","SRR10241523.685906_2:729574",3.2e-18
"93","SRR10241523.3972349_1:4223344",3.3e-18
"94","SRR10241523.1509234_1:1604240",3.4e-18
"95","SRR10241523.1948590_2:2070536",3.6e-18
"96","SRR10241523.1974640_2:2098264",3.6e-18
"97","SRR10241523.2711290_1:2882644",3.8e-18
"98","SRR10241523.1916094_1:2036321",3.8e-18
"99","SRR10241523.1916319_1:2036556",3.8e-18
"100","SRR10241523.1351640_1:1437122",3.9e-18
"101","SRR10241523.1878254_1:1996253",4e-18
"102","SRR10241523.703455_2:748253",4e-18
"103","SRR10241523.4616491_2:4911199",4.1e-18
"104","SRR10241523.445339_1:474247",4.1e-18
"105","SRR10241523.515701_2:548968",4.4e-18
"106","SRR10241523.759339_1:807306",4.5e-18
"107","SRR10241523.3639531_2:3870192",4.5e-18
"108","SRR10241523.2994638_1:3183800",4.5e-18
"109","SRR10241523.3929259_1:4177609",5e-18
"110","SRR10241523.5062816_1:5386941",5.1e-18
"111","SRR10241523.5063260_1:5387416",5.1e-18
"112","SRR10241523.2037893_2:2165057",5.2e-18
"113","SRR10241523.3951636_2:4201605",5.3e-18
"114","SRR10241523.4219879_1:4487624",5.3e-18
"115","SRR10241523.4405469_1:4685875",5.3e-18
"116","SRR10241523.2843688_1:3022869",5.4e-18
"117","SRR10241523.2843791_1:3022982",5.4e-18
"118","SRR10241523.5411646_1:5758062",5.8e-18
"119","SRR10241523.4326680_2:4601670",5.8e-18
"120","SRR10241523.879263_2:934881",5.9e-18
"121","SRR10241523.2509701_2:2667622",5.9e-18
"122","SRR10241523.2509809_2:2667743",5.9e-18
"123","SRR10241523.3160026_2:3360287",6e-18
"124","SRR10241523.2425659_2:2577988",6e-18
"125","SRR10241523.2425895_2:2578224",6e-18
"126","SRR10241523.1431902_1:1522152",6.1e-18
"127","SRR10241523.2362328_1:2511013",6.3e-18
"128","SRR10241523.3706200_1:3941004",6.8e-18
"129","SRR10241523.3706344_1:3941161",6.8e-18
"130","SRR10241523.3580674_1:3807775",6.9e-18
"131","SRR10241523.73607_2:78231",7.1e-18
"132","SRR10241523.1574808_1:1673781",7.3e-18
"133","SRR10241523.3960203_1:4210626",7.4e-18
"134","SRR10241523.3929259_2:4177610",7.6e-18
"135","SRR10241523.955217_2:1015534",7.7e-18
"136","SRR10241523.2934326_1:3119392",8.1e-18
"137","SRR10241523.4412489_2:4693395",8.5e-18
"138","SRR10241523.3379448_2:3594180",8.6e-18
"139","SRR10241523.2846925_2:3026275",8.7e-18
"140","SRR10241523.1552052_1:1649709",8.9e-18
"141","SRR10241523.3601773_1:3830299",9e-18
"142","SRR10241523.53206_1:56736",9e-18
"143","SRR10241523.53440_1:56969",9e-18
"144","SRR10241523.2284892_2:2428370",9.3e-18
"145","SRR10241523.2013574_1:2139220",9.3e-18
"146","SRR10241523.4841889_1:5151911",9.3e-18
"147","SRR10241523.4841947_1:5151967",9.3e-18
"148","SRR10241523.2561044_1:2722179",9.5e-18
"149","SRR10241523.2267551_1:2409888",9.7e-18
"150","SRR10241523.2267730_1:2410071",9.7e-18
"151","SRR10241523.3650461_1:3881885",9.8e-18
"152","SRR10241523.664610_1:707079",1e-17
"153","SRR10241523.215673_2:229329",1.1e-17
"154","SRR10241523.3046411_2:3239078",1.1e-17
"155","SRR10241523.3426846_1:3644691",1.1e-17
"156","SRR10241523.3495829_2:3717980",1.1e-17
"157","SRR10241523.4052096_1:4307902",1.1e-17
"158","SRR10241523.2846925_1:3026274",1.2e-17
"159","SRR10241523.500473_1:532886",1.3e-17
"160","SRR10241523.4443903_2:4726923",1.3e-17
"161","SRR10241523.3875540_1:4120530",1.3e-17
"162","SRR10241523.3701739_2:3936216",1.3e-17
"163","SRR10241523.2066602_2:2195693",1.3e-17
"164","SRR10241523.392255_2:417679",1.3e-17
"165","SRR10241523.773113_1:822045",1.3e-17
"166","SRR10241523.1207040_1:1283320",1.4e-17
"167","SRR10241523.5505907_2:5858261",1.4e-17
"168","SRR10241523.5021780_2:5343401",1.4e-17
"169","SRR10241523.1225561_1:1303075",1.4e-17
"170","SRR10241523.47961_1:51128",1.4e-17
"171","SRR10241523.2934659_1:3119746",1.4e-17
"172","SRR10241523.3857339_1:4101125",1.4e-17
"173","SRR10241523.2332172_1:2478844",1.5e-17
"174","SRR10241523.2492036_1:2648688",1.5e-17
"175","SRR10241523.5100712_1:5427191",1.5e-17
"176","SRR10241523.5371837_2:5715627",1.5e-17
"177","SRR10241523.3129185_1:3327256",1.5e-17
"178","SRR10241523.2124634_1:2257522",1.5e-17
"179","SRR10241523.838703_1:891742",1.5e-17
"180","SRR10241523.1458604_1:1550460",1.6e-17
"181","SRR10241523.4739149_1:5042233",1.6e-17
"182","SRR10241523.5386751_2:5731459",1.6e-17
"183","SRR10241523.5339306_2:5681011",1.6e-17
"184","SRR10241523.3593550_1:3821448",1.6e-17
"185","SRR10241523.3614201_1:3843437",1.6e-17
"186","SRR10241523.2633483_1:2799356",1.7e-17
"187","SRR10241523.2227319_1:2366969",1.7e-17
"188","SRR10241523.1877557_1:1995505",1.7e-17
"189","SRR10241523.4878180_1:5190739",1.7e-17
"190","SRR10241523.4891127_2:5204560",1.8e-17
"191","SRR10241523.435588_1:463881",1.8e-17
"192","SRR10241523.324101_2:344974",1.8e-17
"193","SRR10241523.1967055_1:2090207",1.8e-17
"194","SRR10241523.930537_1:989203",1.8e-17
"195","SRR10241523.5273879_1:5611277",1.8e-17
"196","SRR10241523.2809483_1:2986562",1.8e-17
"197","SRR10241523.2981207_1:3169362",1.9e-17
"198","SRR10241523.263692_1:280690",1.9e-17
"199","SRR10241523.437921_2:466332",1.9e-17
"200","SRR10241523.4143944_2:4406268",1.9e-17
"201","SRR10241523.1331506_1:1415771",1.9e-17
"202","SRR10241523.480483_1:511705",1.9e-17
"203","SRR10241523.1388511_1:1475981",2e-17
