"","domain_name","sequence_evalue"
"1","HISEQ09:380:CB9DLANXX:6:1201:6341:40571_1",1.3e-12
"2","HISEQ09:380:CB9DLANXX:6:1208:7155:40180_1",1.3e-12
"3","HISEQ09:380:CB9DLANXX:6:1309:6406:77101_1",1.3e-12
"4","HISEQ09:380:CB9DLANXX:6:2107:19960:82241_1",1.3e-12
"5","HISEQ09:380:CB9DLANXX:6:1201:6341:40571_1",3.7e-12
"6","HISEQ09:380:CB9DLANXX:6:1208:7155:40180_1",3.7e-12
"7","HISEQ09:380:CB9DLANXX:6:1309:6406:77101_1",3.7e-12
"8","HISEQ09:380:CB9DLANXX:6:2107:19960:82241_1",3.7e-12
"9","HISEQ09:380:CB9DLANXX:6:1104:2851:71614_1",1.1e-11
"10","HISEQ09:380:CB9DLANXX:6:1105:16226:42413_1",1.1e-11
"11","HISEQ09:380:CB9DLANXX:6:1216:13060:76956_1",1.1e-11
"12","HISEQ09:380:CB9DLANXX:6:1307:11464:6312_1",1.1e-11
"13","HISEQ09:380:CB9DLANXX:6:1309:10092:17147_1",1.1e-11
"14","HISEQ09:380:CB9DLANXX:6:2102:16297:7264_1",1.1e-11
"15","HISEQ09:380:CB9DLANXX:6:2102:2697:88679_1",1.1e-11
"16","HISEQ09:380:CB9DLANXX:6:2111:10960:64397_1",1.1e-11
"17","HISEQ09:380:CB9DLANXX:6:2112:1211:41889_1",1.1e-11
"18","HISEQ09:380:CB9DLANXX:6:2115:13171:39854_1",1.1e-11
"19","HISEQ09:380:CB9DLANXX:6:2115:7534:33145_1",1.1e-11
"20","HISEQ09:380:CB9DLANXX:6:1110:6856:69323_1",1.7e-11
"21","HISEQ09:380:CB9DLANXX:6:1215:3581:100001_1",1.7e-11
"22","HISEQ09:380:CB9DLANXX:6:1312:7412:15468_1",1.7e-11
"23","HISEQ09:380:CB9DLANXX:6:1314:17575:2140_1",1.7e-11
"24","HISEQ09:380:CB9DLANXX:6:1110:6856:69323_1",3.6e-10
"25","HISEQ09:380:CB9DLANXX:6:1215:3581:100001_1",3.6e-10
"26","HISEQ09:380:CB9DLANXX:6:1312:7412:15468_1",3.6e-10
"27","HISEQ09:380:CB9DLANXX:6:1314:17575:2140_1",3.6e-10
"28","HISEQ09:380:CB9DLANXX:6:1101:6910:12449_1",1.7e-09
"29","HISEQ09:380:CB9DLANXX:6:1105:16219:4584_1",1.7e-09
