"","domain_name","sequence_evalue"
"1","HISEQ01:561:D1DRUACXX:7:1101:7212:69465_1:962692",9e-21
"2","HISEQ01:561:D1DRUACXX:7:1203:6601:120615_1:37393844",1.2e-20
"3","HISEQ01:561:D1DRUACXX:7:1108:3612:76549_1:26864393",1.5e-20
"4","HISEQ01:561:D1DRUACXX:7:1102:1563:186352_1:5806895",1.5e-20
"5","HISEQ01:561:D1DRUACXX:7:1206:2527:139391_1:48670489",2.7e-20
"6","HISEQ01:561:D1DRUACXX:7:1202:2567:70311_1:33506724",3.1e-20
"7","HISEQ01:561:D1DRUACXX:7:1107:17323:197645_1:25132580",3.2e-20
"8","HISEQ01:561:D1DRUACXX:7:1201:14349:7510_1:29807863",3.6e-20
"9","HISEQ01:561:D1DRUACXX:7:1206:2464:9108_1:46058068",4e-20
"10","HISEQ01:561:D1DRUACXX:7:1108:17544:75033_1:26833908",4.7e-20
"11","HISEQ01:561:D1DRUACXX:7:1102:10486:155917_1:5315144",5.1e-20
"12","HISEQ01:561:D1DRUACXX:7:1101:2733:110181_1:1556103",6.3e-20
"13","HISEQ01:561:D1DRUACXX:7:1106:16198:96775_1:18760152",6.3e-20
"14","HISEQ01:561:D1DRUACXX:7:1105:10395:120075_1:15282089",7.3e-20
"15","HISEQ01:561:D1DRUACXX:7:1204:14652:109698_1:40604815",7.4e-20
"16","HISEQ01:561:D1DRUACXX:7:1205:17825:163548_1:45200907",7.4e-20
"17","HISEQ01:561:D1DRUACXX:7:1204:10630:100014_1:40435337",8.3e-20
"18","HISEQ01:561:D1DRUACXX:7:1105:21032:163887_1:16136330",9.2e-20
"19","HISEQ01:561:D1DRUACXX:7:1106:7766:164173_1:20133492",9.9e-20
"20","HISEQ01:561:D1DRUACXX:7:1205:13090:103140_1:44125420",1e-19
"21","HISEQ01:561:D1DRUACXX:7:1106:10797:193656_1:20746054",1.1e-19
"22","HISEQ01:561:D1DRUACXX:7:1201:13142:71422_1:30680908",1.1e-19
"23","HISEQ01:561:D1DRUACXX:7:1203:14515:133453_1:37605247",1.1e-19
