"","domain_name","sequence_evalue"
"1","SRR10241527.11181224_2:12145921",9.5e-27
"2","SRR10241527.12483733_1:13560806",1.8e-26
"3","SRR10241527.28804092_2:31464938",2.3e-26
"4","SRR10241527.30397632_1:33236230",2.5e-26
"5","SRR10241527.30397950_1:33236581",2.5e-26
"6","SRR10241527.54378499_2:59817753",2.6e-26
"7","SRR10241527.9993312_1:10863236",4.5e-26
"8","SRR10241527.34258608_2:37523044",4.5e-26
"9","SRR10241527.34258818_2:37523286",4.5e-26
"10","SRR10241527.40454709_1:44408362",4.6e-26
"11","SRR10241527.34258608_1:37523043",5e-26
"12","SRR10241527.34258818_1:37523285",5e-26
"13","SRR10241527.15278445_2:16598801",6.6e-26
"14","SRR10241527.23495501_1:25571452",7.2e-26
"15","SRR10241527.9732899_1:10582299",7.3e-26
"16","SRR10241527.41829327_1:45929946",8.3e-26
"17","SRR10241527.53143648_2:58447749",9.5e-26
"18","SRR10241527.17649431_1:19179052",1.1e-25
"19","SRR10241527.18709115_1:20333398",1.1e-25
"20","SRR10241527.19864523_1:21589549",1.2e-25
"21","SRR10241527.23379228_1:25442281",1.3e-25
"22","SRR10241527.47120275_1:51764910",1.4e-25
"23","SRR10241527.38722132_2:42486960",1.4e-25
"24","SRR10241527.40481390_2:44437806",1.4e-25
"25","SRR10241527.29755769_1:32522740",1.4e-25
"26","SRR10241527.8459893_1:9203509",1.4e-25
"27","SRR10241527.34629227_1:37934207",1.4e-25
"28","SRR10241527.13364237_1:14518706",1.7e-25
"29","SRR10241527.2705396_2:2941033",1.7e-25
"30","SRR10241527.30217821_1:33036519",2e-25
"31","SRR10241527.44752557_1:49147511",2.1e-25
"32","SRR10241527.36150995_1:39626091",2.1e-25
"33","SRR10241527.32412897_1:35472592",2.3e-25
"34","SRR10241527.11247488_2:12217986",2.4e-25
"35","SRR10241527.40820604_1:44815375",2.5e-25
"36","SRR10241527.39692121_1:43564935",2.7e-25
"37","SRR10241527.34629227_2:37934208",2.8e-25
"38","SRR10241527.30597310_1:33457832",2.8e-25
"39","SRR10241527.9143280_1:9945245",2.8e-25
"40","SRR10241527.19051486_1:20706604",2.8e-25
"41","SRR10241527.42747374_1:46942618",2.9e-25
"42","SRR10241527.42748132_1:46943483",2.9e-25
"43","SRR10241527.41829327_2:45929947",3.2e-25
"44","SRR10241527.31600828_1:34571794",3.5e-25
"45","SRR10241527.28210266_2:30805796",3.7e-25
"46","SRR10241527.32960125_1:36080525",3.7e-25
"47","SRR10241527.26641634_1:29064124",3.7e-25
"48","SRR10241527.9732899_2:10582300",3.8e-25
"49","SRR10241527.7564014_2:8228551",3.9e-25
"50","SRR10241527.40820604_2:44815376",4.3e-25
"51","SRR10241527.54926420_1:60425537",4.3e-25
"52","SRR10241527.49943107_2:54898607",4.3e-25
"53","SRR10241527.31622782_1:34596151",4.4e-25
"54","SRR10241527.31625306_1:34598997",4.4e-25
"55","SRR10241527.34387680_1:37666639",4.4e-25
"56","SRR10241527.19236031_1:20906971",4.7e-25
"57","SRR10241527.38038779_1:41726699",4.9e-25
"58","SRR10241527.54491013_1:59942719",5e-25
"59","SRR10241527.54493227_1:59945167",5e-25
"60","SRR10241527.36563458_1:40084219",5e-25
"61","SRR10241527.36577296_1:40099638",5e-25
"62","SRR10241527.39482104_1:43331543",5.3e-25
"63","SRR10241527.3868989_1:4205285",5.8e-25
"64","SRR10241527.33889582_1:37112764",6.2e-25
"65","SRR10241527.50306905_1:55302372",6.3e-25
"66","SRR10241527.33622443_2:36816103",6.9e-25
"67","SRR10241527.36563458_2:40084220",7.2e-25
"68","SRR10241527.36577296_2:40099639",7.2e-25
"69","SRR10241527.52101065_2:57291243",7.2e-25
"70","SRR10241527.7174182_1:7803529",7.3e-25
"71","SRR10241527.43658596_1:47947727",7.6e-25
"72","SRR10241527.3324088_1:3613059",7.7e-25
"73","SRR10241527.47876646_1:52604411",7.9e-25
"74","SRR10241527.47876708_1:52604467",7.9e-25
"75","SRR10241527.23495501_2:25571453",8e-25
"76","SRR10241527.27216194_1:29702054",8.1e-25
"77","SRR10241527.27217983_1:29704065",8.1e-25
"78","SRR10241527.27219120_1:29705333",8.1e-25
"79","SRR10241527.28804092_1:31464937",9.3e-25
"80","SRR10241527.46855101_1:51471233",9.6e-25
"81","SRR10241527.46855101_2:51471234",9.6e-25
"82","SRR10241527.49736419_1:54669182",9.8e-25
"83","SRR10241527.49739109_1:54672234",9.8e-25
"84","SRR10241527.22559854_1:24533697",1e-24
"85","SRR10241527.9425018_1:10248658",1e-24
"86","SRR10241527.50823610_1:55875287",1e-24
"87","SRR10241527.23309736_1:25365523",1.1e-24
"88","SRR10241527.15278445_1:16598800",1.2e-24
"89","SRR10241527.6894187_2:7498342",1.2e-24
"90","SRR10241527.17700257_2:19234250",1.3e-24
"91","SRR10241527.17700842_2:19234877",1.3e-24
"92","SRR10241527.46314239_1:50870583",1.3e-24
"93","SRR10241527.34171280_1:37426207",1.4e-24
"94","SRR10241527.34171280_2:37426208",1.4e-24
"95","SRR10241527.14507466_2:15760912",1.4e-24
"96","SRR10241527.39204437_1:43022083",1.4e-24
"97","SRR10241527.14469371_2:15719500",1.5e-24
"98","SRR10241527.1564441_2:1700050",1.5e-24
"99","SRR10241527.20198002_1:21951055",1.5e-24
"100","SRR10241527.32685570_1:35775455",1.6e-24
"101","SRR10241527.36514281_1:40029898",1.6e-24
"102","SRR10241527.38566323_1:42313647",1.7e-24
"103","SRR10241527.4751841_2:5166626",1.7e-24
"104","SRR10241527.52544085_1:57783267",1.7e-24
"105","SRR10241527.12400223_1:13470217",2e-24
"106","SRR10241527.50490165_2:55505523",2e-24
"107","SRR10241527.47173750_1:51824652",2e-24
"108","SRR10241527.47173816_1:51824725",2e-24
"109","SRR10241527.18473578_1:20076657",2.1e-24
"110","SRR10241527.5251993_1:5710459",2.1e-24
"111","SRR10241527.466348_1:506341",2.1e-24
"112","SRR10241527.47438257_2:52117841",2.1e-24
"113","SRR10241527.47440957_2:52120770",2.1e-24
"114","SRR10241527.11181693_2:12146458",2.2e-24
"115","SRR10241527.4437470_1:4825053",2.2e-24
"116","SRR10241527.4437503_1:4825086",2.2e-24
"117","SRR10241527.14958074_1:16250121",2.3e-24
"118","SRR10241527.187241_1:203574",2.3e-24
"119","SRR10241527.187539_1:203899",2.3e-24
"120","SRR10241527.31385198_1:34332707",2.4e-24
"121","SRR10241527.49943107_1:54898606",2.4e-24
"122","SRR10241527.34900668_2:38236341",2.5e-24
"123","SRR10241527.53143648_1:58447748",2.5e-24
"124","SRR10241527.2705396_1:2941032",2.5e-24
"125","SRR10241527.19683165_1:21392654",2.6e-24
"126","SRR10241527.42744843_1:46939810",2.6e-24
"127","SRR10241527.42744925_1:46939896",2.6e-24
"128","SRR10241527.8951030_1:9736836",2.6e-24
"129","SRR10241527.46114588_2:50648699",2.8e-24
"130","SRR10241527.7564014_1:8228550",2.8e-24
"131","SRR10241527.36148589_2:39623409",3.1e-24
"132","SRR10241527.25343836_2:27623278",3.1e-24
"133","SRR10241527.25348499_2:27628417",3.1e-24
"134","SRR10241527.541673_1:588054",3.2e-24
"135","SRR10241527.7805956_1:8492208",3.2e-24
"136","SRR10241527.49456273_1:54358354",3.4e-24
"137","SRR10241527.173723_2:188861",3.5e-24
"138","SRR10241527.5251993_2:5710460",3.7e-24
"139","SRR10241527.39163370_1:42976489",3.7e-24
"140","SRR10241527.49942787_2:54898242",4e-24
"141","SRR10241527.50490165_1:55505522",4.1e-24
"142","SRR10241527.8041419_1:8749067",4.1e-24
"143","SRR10241527.1710020_1:1858134",4.3e-24
"144","SRR10241527.13236267_1:14379350",4.5e-24
"145","SRR10241527.54511936_1:59965975",4.5e-24
"146","SRR10241527.30397632_2:33236231",4.6e-24
"147","SRR10241527.30397950_2:33236582",4.6e-24
"148","SRR10241527.16686161_2:18130060",4.7e-24
"149","SRR10241527.41308406_1:45353478",4.9e-24
"150","SRR10241527.7819993_1:8507478",4.9e-24
"151","SRR10241527.43658596_2:47947728",4.9e-24
"152","SRR10241527.41877756_2:45983782",4.9e-24
"153","SRR10241527.41947135_2:46060615",4.9e-24
"154","SRR10241527.6655763_1:7237757",5e-24
"155","SRR10241527.12038672_1:13078002",5e-24
"156","SRR10241527.55539589_1:61106230",5.1e-24
"157","SRR10241527.21022486_1:22845676",5.2e-24
"158","SRR10241527.19683165_2:21392655",5.3e-24
"159","SRR10241527.21036053_2:22860338",5.3e-24
"160","SRR10241527.36514281_2:40029899",5.3e-24
"161","SRR10241527.17847668_1:19394623",5.5e-24
"162","SRR10241527.28210266_1:30805795",5.6e-24
"163","SRR10241527.39003992_1:42799775",5.8e-24
"164","SRR10241527.40132004_1:44051968",5.8e-24
"165","SRR10241527.40192113_1:44118700",5.8e-24
"166","SRR10241527.55092667_2:60610082",6.5e-24
"167","SRR10241527.47437799_1:52117324",6.6e-24
"168","SRR10241527.40795511_1:44787403",6.8e-24
"169","SRR10241527.40796220_1:44788186",6.8e-24
"170","SRR10241527.5161391_1:5611797",6.9e-24
"171","SRR10241527.14601408_1:15862762",7e-24
"172","SRR10241527.13078473_1:14207616",7.1e-24
"173","SRR10241527.22663861_1:24649076",7.2e-24
"174","SRR10241527.7266742_2:7904478",7.3e-24
"175","SRR10241527.9113292_1:9912545",7.3e-24
"176","SRR10241527.24176711_2:26328128",7.4e-24
"177","SRR10241527.34946498_2:38287189",7.4e-24
"178","SRR10241527.54306306_1:59737808",7.5e-24
"179","SRR10241527.34661863_2:37970677",7.7e-24
"180","SRR10241527.11465581_1:12454854",7.9e-24
"181","SRR10241527.2259779_1:2455629",8e-24
"182","SRR10241527.5453921_1:5929241",8.2e-24
"183","SRR10241527.5454834_1:5930232",8.2e-24
"184","SRR10241527.22559854_2:24533698",8.3e-24
"185","SRR10241527.23526645_1:25605997",8.5e-24
"186","SRR10241527.49931908_2:54886123",8.8e-24
"187","SRR10241527.9113292_2:9912546",9.1e-24
"188","SRR10241527.3963612_1:4308336",9.3e-24
"189","SRR10241527.3964309_1:4309086",9.3e-24
"190","SRR10241527.33236948_1:36388467",9.4e-24
"191","SRR10241527.50995366_1:56066277",9.4e-24
"192","SRR10241527.49000904_1:53853163",9.5e-24
"193","SRR10241527.7421928_1:8073479",9.5e-24
"194","SRR10241527.26220223_2:28596515",9.5e-24
"195","SRR10241527.42529343_1:46700619",9.8e-24
"196","SRR10241527.40092667_1:44008508",1e-23
