"","domain_name","sequence_evalue"
"1","HISEQ15:229:C9DW7ANXX:7:1101:3317:88584_1",2.9e-28
"2","HISEQ15:229:C9DW7ANXX:7:1105:5161:7454_1",2.9e-28
"3","HISEQ15:229:C9DW7ANXX:7:1111:17080:37350_1",2.9e-28
"4","HISEQ15:229:C9DW7ANXX:7:1209:11717:40202_1",2.9e-28
"5","HISEQ15:229:C9DW7ANXX:7:1213:12441:44632_1",2.9e-28
"6","HISEQ15:229:C9DW7ANXX:7:1303:19613:21145_1",2.9e-28
"7","HISEQ15:229:C9DW7ANXX:7:1314:1570:7790_1",2.9e-28
"8","HISEQ15:229:C9DW7ANXX:7:1314:1859:52511_1",2.9e-28
"9","HISEQ15:229:C9DW7ANXX:7:2106:14880:78168_1",2.9e-28
"10","HISEQ15:229:C9DW7ANXX:7:2107:1931:24810_1",2.9e-28
"11","HISEQ15:229:C9DW7ANXX:7:2108:2206:34596_1",2.9e-28
"12","HISEQ15:229:C9DW7ANXX:7:2214:18356:86571_1",2.9e-28
"13","HISEQ15:229:C9DW7ANXX:7:2209:17850:62091_1",2.1e-27
"14","HISEQ15:229:C9DW7ANXX:7:1103:12593:40593_1",2.7e-27
"15","HISEQ15:229:C9DW7ANXX:7:1108:10594:88063_1",2.7e-27
"16","HISEQ15:229:C9DW7ANXX:7:1112:6257:18825_1",2.7e-27
"17","HISEQ15:229:C9DW7ANXX:7:1113:9112:33153_1",2.7e-27
"18","HISEQ15:229:C9DW7ANXX:7:1209:18284:79466_1",2.7e-27
"19","HISEQ15:229:C9DW7ANXX:7:1213:7749:92448_1",2.7e-27
"20","HISEQ15:229:C9DW7ANXX:7:1214:11961:67005_1",2.7e-27
"21","HISEQ15:229:C9DW7ANXX:7:1215:19810:83007_1",2.7e-27
"22","HISEQ15:229:C9DW7ANXX:7:1307:13784:61375_1",2.7e-27
"23","HISEQ15:229:C9DW7ANXX:7:1312:14242:90004_1",2.7e-27
"24","HISEQ15:229:C9DW7ANXX:7:1315:5768:88725_1",2.7e-27
"25","HISEQ15:229:C9DW7ANXX:7:2102:1047:83779_1",2.7e-27
"26","HISEQ15:229:C9DW7ANXX:7:2103:5023:23164_1",2.7e-27
"27","HISEQ15:229:C9DW7ANXX:7:2108:19666:53732_1",2.7e-27
"28","HISEQ15:229:C9DW7ANXX:7:2113:14763:33494_1",2.7e-27
"29","HISEQ15:229:C9DW7ANXX:7:2203:15789:2044_1",2.7e-27
"30","HISEQ15:229:C9DW7ANXX:7:2204:14338:86094_1",2.7e-27
"31","HISEQ15:229:C9DW7ANXX:7:2208:12613:70014_1",2.7e-27
"32","HISEQ15:229:C9DW7ANXX:7:2209:7778:15898_1",2.7e-27
"33","HISEQ15:229:C9DW7ANXX:7:2211:1152:76917_1",2.7e-27
"34","HISEQ15:229:C9DW7ANXX:7:2211:6443:67998_1",2.7e-27
"35","HISEQ15:229:C9DW7ANXX:7:2116:10268:43370_1",5.7e-27
"36","HISEQ15:229:C9DW7ANXX:7:1103:16303:78837_1",7.2e-27
"37","HISEQ15:229:C9DW7ANXX:7:1209:8495:71894_1",7.2e-27
"38","HISEQ15:229:C9DW7ANXX:7:1306:6831:36022_1",7.2e-27
"39","HISEQ15:229:C9DW7ANXX:7:2106:9119:3243_1",7.2e-27
"40","HISEQ15:229:C9DW7ANXX:7:2109:6219:6733_1",7.2e-27
"41","HISEQ15:229:C9DW7ANXX:7:2207:12534:36045_1",7.2e-27
"42","HISEQ15:229:C9DW7ANXX:7:1106:9693:57803_1",2.4e-26
"43","HISEQ15:229:C9DW7ANXX:7:1204:18449:59906_1",2.4e-26
"44","HISEQ15:229:C9DW7ANXX:7:1207:15935:98438_1",2.4e-26
"45","HISEQ15:229:C9DW7ANXX:7:2214:14679:37491_1",2.4e-26
"46","HISEQ15:229:C9DW7ANXX:7:1308:10761:24212_1",3.6e-26
"47","HISEQ15:229:C9DW7ANXX:7:1113:17612:88831_1",5.4e-26
"48","HISEQ15:229:C9DW7ANXX:7:1114:12034:3986_1",5.4e-26
"49","HISEQ15:229:C9DW7ANXX:7:1215:15679:88529_1",5.4e-26
"50","HISEQ15:229:C9DW7ANXX:7:2103:14913:2383_1",5.4e-26
"51","HISEQ15:229:C9DW7ANXX:7:2104:3029:16821_1",5.4e-26
"52","HISEQ15:229:C9DW7ANXX:7:2206:18610:95937_1",5.4e-26
"53","HISEQ15:229:C9DW7ANXX:7:2213:4615:52839_1",5.4e-26
"54","HISEQ15:229:C9DW7ANXX:7:1101:12008:84873_1",6.6e-26
"55","HISEQ15:229:C9DW7ANXX:7:1103:12212:30015_1",6.6e-26
"56","HISEQ15:229:C9DW7ANXX:7:1114:13967:43029_1",6.6e-26
"57","HISEQ15:229:C9DW7ANXX:7:1115:17158:33897_1",6.6e-26
"58","HISEQ15:229:C9DW7ANXX:7:1206:13424:99585_1",6.6e-26
"59","HISEQ15:229:C9DW7ANXX:7:1209:14198:78561_1",6.6e-26
"60","HISEQ15:229:C9DW7ANXX:7:1212:9142:25576_1",6.6e-26
"61","HISEQ15:229:C9DW7ANXX:7:1302:8733:92811_1",6.6e-26
"62","HISEQ15:229:C9DW7ANXX:7:1305:16607:53292_1",6.6e-26
"63","HISEQ15:229:C9DW7ANXX:7:1310:11800:61450_1",6.6e-26
"64","HISEQ15:229:C9DW7ANXX:7:1316:11139:74147_1",6.6e-26
"65","HISEQ15:229:C9DW7ANXX:7:2106:7044:32304_1",6.6e-26
"66","HISEQ15:229:C9DW7ANXX:7:2107:1664:49393_1",6.6e-26
"67","HISEQ15:229:C9DW7ANXX:7:2110:10450:55342_1",6.6e-26
"68","HISEQ15:229:C9DW7ANXX:7:2110:18134:55636_1",6.6e-26
"69","HISEQ15:229:C9DW7ANXX:7:2111:5896:54504_1",6.6e-26
"70","HISEQ15:229:C9DW7ANXX:7:2112:5801:20781_1",6.6e-26
"71","HISEQ15:229:C9DW7ANXX:7:2114:15153:74748_1",6.6e-26
"72","HISEQ15:229:C9DW7ANXX:7:2204:7730:77706_1",6.6e-26
"73","HISEQ15:229:C9DW7ANXX:7:2210:16854:21907_1",6.6e-26
"74","HISEQ15:229:C9DW7ANXX:7:1113:2638:46630_1",9.4e-26
"75","HISEQ15:229:C9DW7ANXX:7:1205:2286:67840_1",9.4e-26
"76","HISEQ15:229:C9DW7ANXX:7:1209:16875:16157_1",9.4e-26
"77","HISEQ15:229:C9DW7ANXX:7:1211:11094:61827_1",9.4e-26
"78","HISEQ15:229:C9DW7ANXX:7:1305:5322:89476_1",9.4e-26
"79","HISEQ15:229:C9DW7ANXX:7:2115:4953:69746_1",9.4e-26
"80","HISEQ15:229:C9DW7ANXX:7:2116:4923:41480_1",9.4e-26
"81","HISEQ15:229:C9DW7ANXX:7:1112:12193:94200_1",1.3e-25
