"","domain_name","sequence_evalue"
"1","HISEQ01:561:D1DRUACXX:7:1203:14515:133453_1",8.2e-23
"2","HISEQ01:561:D1DRUACXX:7:1201:19739:110049_1",9.1e-23
"3","HISEQ01:561:D1DRUACXX:7:1206:8718:166558_1",1.5e-22
"4","HISEQ01:561:D1DRUACXX:7:1106:10797:193656_1",1.8e-22
"5","HISEQ01:561:D1DRUACXX:7:1201:13142:71422_1",1.8e-22
"6","HISEQ01:561:D1DRUACXX:7:1206:2527:139391_1",2.8e-22
"7","HISEQ01:561:D1DRUACXX:7:1104:16644:169538_1",4.6e-22
"8","HISEQ01:561:D1DRUACXX:7:1102:11475:184094_1",4.7e-22
"9","HISEQ01:561:D1DRUACXX:7:1104:18032:67490_1",4.7e-22
"10","HISEQ01:561:D1DRUACXX:7:1102:1563:186352_1",4.7e-22
"11","HISEQ01:561:D1DRUACXX:7:1204:14652:109698_1",6.9e-22
"12","HISEQ01:561:D1DRUACXX:7:1205:17825:163548_1",6.9e-22
"13","HISEQ01:561:D1DRUACXX:7:1104:14845:196574_1",7.1e-22
"14","HISEQ01:561:D1DRUACXX:7:1204:2414:185732_1",7.1e-22
"15","HISEQ01:561:D1DRUACXX:7:1105:3202:15416_1",7.3e-22
"16","HISEQ01:561:D1DRUACXX:7:1107:12204:5608_1",7.3e-22
"17","HISEQ01:561:D1DRUACXX:7:1206:10458:100547_1",7.3e-22
"18","HISEQ01:561:D1DRUACXX:7:1205:13090:103140_1",8.2e-22
"19","HISEQ01:561:D1DRUACXX:7:1203:6601:120615_1",9.2e-22
"20","HISEQ01:561:D1DRUACXX:7:1205:13360:156283_1",1.1e-21
"21","HISEQ01:561:D1DRUACXX:7:1107:11729:107443_1",1.2e-21
"22","HISEQ01:561:D1DRUACXX:7:1204:10630:100014_1",1.3e-21
"23","HISEQ01:561:D1DRUACXX:7:1105:4982:164158_1",1.4e-21
"24","HISEQ01:561:D1DRUACXX:7:1204:16896:149557_1",1.6e-21
"25","HISEQ01:561:D1DRUACXX:7:1108:17544:75033_1",1.7e-21
"26","HISEQ01:561:D1DRUACXX:7:1201:5060:121975_1",1.7e-21
"27","HISEQ01:561:D1DRUACXX:7:1107:9868:39293_1",1.7e-21
"28","HISEQ01:561:D1DRUACXX:7:1108:16652:120035_1",1.7e-21
"29","HISEQ01:561:D1DRUACXX:7:1105:10395:120075_1",1.8e-21
"30","HISEQ01:561:D1DRUACXX:7:1102:11786:142220_1",1.8e-21
"31","HISEQ01:561:D1DRUACXX:7:1106:14920:37275_1",1.8e-21
"32","HISEQ01:561:D1DRUACXX:7:1107:7747:27851_1",1.8e-21
"33","HISEQ01:561:D1DRUACXX:7:1205:19758:171168_1",1.8e-21
"34","HISEQ01:561:D1DRUACXX:7:1107:5142:67453_1",1.8e-21
"35","HISEQ01:561:D1DRUACXX:7:1105:2249:23731_1",2e-21
"36","HISEQ01:561:D1DRUACXX:7:1108:16299:88189_1",2.1e-21
"37","HISEQ01:561:D1DRUACXX:7:1106:8306:117572_1",2.3e-21
"38","HISEQ01:561:D1DRUACXX:7:1201:13593:86819_1",2.3e-21
"39","HISEQ01:561:D1DRUACXX:7:1206:5951:73950_1",2.4e-21
"40","HISEQ01:561:D1DRUACXX:7:1203:14427:20561_1",2.6e-21
"41","HISEQ01:561:D1DRUACXX:7:1202:2567:70311_1",2.6e-21
"42","HISEQ01:561:D1DRUACXX:7:1204:2896:137636_1",2.7e-21
"43","HISEQ01:561:D1DRUACXX:7:1107:17323:197645_1",3.6e-21
"44","HISEQ01:561:D1DRUACXX:7:1206:4229:49446_1",3.7e-21
"45","HISEQ01:561:D1DRUACXX:7:1201:17809:12817_1",3.8e-21
"46","HISEQ01:561:D1DRUACXX:7:1106:2630:5329_1",3.8e-21
"47","HISEQ01:561:D1DRUACXX:7:1202:4520:20483_1",4.6e-21
"48","HISEQ01:561:D1DRUACXX:7:1102:10486:155917_1",4.7e-21
"49","HISEQ01:561:D1DRUACXX:7:1205:17317:114314_1",5e-21
"50","HISEQ01:561:D1DRUACXX:7:1204:19143:17060_1",5.9e-21
"51","HISEQ01:561:D1DRUACXX:7:1201:14349:7510_1",5.9e-21
"52","HISEQ01:561:D1DRUACXX:7:1102:19153:23255_1",7.1e-21
"53","HISEQ01:561:D1DRUACXX:7:1106:16349:64283_1",7.3e-21
"54","HISEQ01:561:D1DRUACXX:7:1103:19161:48084_1",8.6e-21
"55","HISEQ01:561:D1DRUACXX:7:1104:10440:93916_1",8.6e-21
"56","HISEQ01:561:D1DRUACXX:7:1106:1989:14287_1",8.6e-21
"57","HISEQ01:561:D1DRUACXX:7:1205:15783:80611_1",8.6e-21
"58","HISEQ01:561:D1DRUACXX:7:1101:2733:110181_1",9.1e-21
"59","HISEQ01:561:D1DRUACXX:7:1106:16198:96775_1",9.1e-21
"60","HISEQ01:561:D1DRUACXX:7:1103:15987:41886_1",9.4e-21
"61","HISEQ01:561:D1DRUACXX:7:1106:14932:114196_1",1e-20
"62","HISEQ01:561:D1DRUACXX:7:1204:11381:170326_1",1e-20
"63","HISEQ01:561:D1DRUACXX:7:1107:17314:193699_1",1e-20
"64","HISEQ01:561:D1DRUACXX:7:1201:2215:125647_1",1.1e-20
"65","HISEQ01:561:D1DRUACXX:7:1106:7766:164173_1",1.1e-20
"66","HISEQ01:561:D1DRUACXX:7:1102:3250:70618_1",1.1e-20
"67","HISEQ01:561:D1DRUACXX:7:1108:11841:95653_1",1.2e-20
"68","HISEQ01:561:D1DRUACXX:7:1202:15781:135840_1",1.2e-20
"69","HISEQ01:561:D1DRUACXX:7:1203:16197:109413_1",1.2e-20
"70","HISEQ01:561:D1DRUACXX:7:1107:7416:119329_1",1.2e-20
"71","HISEQ01:561:D1DRUACXX:7:1105:21032:163887_1",1.2e-20
"72","HISEQ01:561:D1DRUACXX:7:1203:17459:101179_1",1.3e-20
"73","HISEQ01:561:D1DRUACXX:7:1101:18469:36400_1",1.3e-20
"74","HISEQ01:561:D1DRUACXX:7:1105:9935:95331_1",1.4e-20
"75","HISEQ01:561:D1DRUACXX:7:1201:10685:124162_1",1.4e-20
"76","HISEQ01:561:D1DRUACXX:7:1106:16915:19223_1",1.4e-20
"77","HISEQ01:561:D1DRUACXX:7:1107:15654:52242_1",1.4e-20
"78","HISEQ01:561:D1DRUACXX:7:1106:16433:98041_1",1.4e-20
"79","HISEQ01:561:D1DRUACXX:7:1103:6655:72602_1",1.4e-20
