"","domain_name","sequence_evalue"
"1","HISEQ13:138:C6FWNANXX:2:1302:16442:37582_1:52670735",9.3e-27
"2","HISEQ13:138:C6FWNANXX:2:1303:5829:53576_1:54405111",9.3e-27
"3","HISEQ13:138:C6FWNANXX:2:2104:13828:67914_1:81516519",9.3e-27
"4","HISEQ13:138:C6FWNANXX:2:2308:20815:75188_1:136614103",9.3e-27
"5","HISEQ13:138:C6FWNANXX:2:1209:14690:72957_1:38512069",9.3e-27
"6","HISEQ13:138:C6FWNANXX:2:1209:20706:13283_1:37561308",9.3e-27
"7","HISEQ13:138:C6FWNANXX:2:1312:12813:21921_1:68030890",9.3e-27
"8","HISEQ13:138:C6FWNANXX:2:2213:2356:43427_1:119356642",9.3e-27
"9","HISEQ13:138:C6FWNANXX:2:2212:12221:58528_1:117989645",1.2e-26
"10","HISEQ13:138:C6FWNANXX:2:2213:3390:92158_1:120160721",1.2e-26
"11","HISEQ13:138:C6FWNANXX:2:1107:9714:30915_1:9494221",1.3e-26
"12","HISEQ13:138:C6FWNANXX:2:1312:21287:4549_1:67743514",1.3e-26
"13","HISEQ13:138:C6FWNANXX:2:2114:15830:65709_1:96792113",1.3e-26
"14","HISEQ13:138:C6FWNANXX:2:2203:9879:2807_1:103572663",1.3e-26
"15","HISEQ13:138:C6FWNANXX:2:2208:19940:30655_1:111341625",1.3e-26
"16","HISEQ13:138:C6FWNANXX:2:2301:16875:74903_1:126364245",1.3e-26
"17","HISEQ13:138:C6FWNANXX:2:2305:16646:7232_1:131114872",1.3e-26
"18","HISEQ13:138:C6FWNANXX:2:2307:16261:15366_1:134189167",1.3e-26
"19","HISEQ13:138:C6FWNANXX:2:1211:6029:29956_1:41014043",1.3e-26
"20","HISEQ13:138:C6FWNANXX:2:1309:13825:2139_1:62849814",1.3e-26
"21","HISEQ13:138:C6FWNANXX:2:1312:1857:84473_1:69078721",1.3e-26
"22","HISEQ13:138:C6FWNANXX:2:2315:7956:43674_1:147285395",1.3e-26
"23","HISEQ13:138:C6FWNANXX:2:1103:3679:91088_1:4333831",1.3e-26
"24","HISEQ13:138:C6FWNANXX:2:1206:19467:2994_1:32751116",1.3e-26
"25","HISEQ13:138:C6FWNANXX:2:1208:4365:83729_1:37103100",1.3e-26
"26","HISEQ13:138:C6FWNANXX:2:1307:6716:30624_1:60159570",1.3e-26
"27","HISEQ13:138:C6FWNANXX:2:1310:13591:99881_1:66037968",1.3e-26
"28","HISEQ13:138:C6FWNANXX:2:2203:6811:10374_1:103682184",1.3e-26
"29","HISEQ13:138:C6FWNANXX:2:2208:5475:36543_1:111430227",1.3e-26
