"","domain_name","sequence_evalue"
"1","SRR10241522.2782654_1:2894387",4.3e-28
"2","SRR10241522.938207_1:975465",4.3e-28
"3","SRR10241522.1606337_1:1669813",6.9e-28
"4","SRR10241522.2000320_2:2080331",7.4e-28
"5","SRR10241522.4527591_1:4710321",2.1e-27
"6","SRR10241522.5463935_1:5686131",2.7e-27
"7","SRR10241522.2030971_1:2112344",2.9e-27
"8","SRR10241522.257736_2:267788",2.9e-27
"9","SRR10241522.4385393_1:4562330",3e-27
"10","SRR10241522.3196552_1:3324942",3.2e-27
"11","SRR10241522.3581693_1:3726006",3.4e-27
"12","SRR10241522.2315669_2:2408286",3.4e-27
"13","SRR10241522.1350534_1:1403842",3.6e-27
"14","SRR10241522.156100_2:162344",5.4e-27
"15","SRR10241522.156398_2:162628",5.4e-27
"16","SRR10241522.5754464_1:5988459",5.7e-27
"17","SRR10241522.2030971_2:2112345",5.7e-27
"18","SRR10241522.2000320_1:2080330",6.6e-27
"19","SRR10241522.974228_2:1012742",7.1e-27
"20","SRR10241522.3266628_2:3397958",7.6e-27
"21","SRR10241522.3835002_2:3989394",7.8e-27
"22","SRR10241522.4553750_1:4737531",7.9e-27
"23","SRR10241522.2583214_1:2686709",8.3e-27
"24","SRR10241522.3989391_2:4149962",8.3e-27
"25","SRR10241522.1348836_2:1402096",8.8e-27
"26","SRR10241522.841076_1:874679",9.1e-27
"27","SRR10241522.612426_1:637057",9.5e-27
"28","SRR10241522.4719578_2:4910578",1e-26
"29","SRR10241522.3829235_2:3983405",1e-26
"30","SRR10241522.4158586_1:4326288",1e-26
"31","SRR10241522.4158636_1:4326340",1e-26
"32","SRR10241522.4159470_1:4327172",1e-26
"33","SRR10241522.4133680_1:4300428",1.1e-26
"34","SRR10241522.4131744_2:4298393",1.2e-26
"35","SRR10241522.191053_1:198638",1.2e-26
"36","SRR10241522.3506715_2:3647949",1.2e-26
"37","SRR10241522.4620709_2:4807210",1.3e-26
"38","SRR10241522.2481316_1:2580643",1.4e-26
"39","SRR10241522.2481360_1:2580688",1.4e-26
"40","SRR10241522.5463935_2:5686132",1.4e-26
"41","SRR10241522.3266628_1:3397957",1.4e-26
"42","SRR10241522.1468912_1:1527209",1.4e-26
"43","SRR10241522.3649506_1:3796550",1.4e-26
"44","SRR10241522.5639472_1:5868963",1.4e-26
"45","SRR10241522.4401298_1:4578849",1.5e-26
"46","SRR10241522.4401332_1:4578889",1.5e-26
"47","SRR10241522.1891560_2:1966780",1.6e-26
"48","SRR10241522.974228_1:1012741",1.8e-26
"49","SRR10241522.4394033_2:4571272",1.8e-26
"50","SRR10241522.933130_1:970146",1.8e-26
"51","SRR10241522.4423323_2:4601663",1.9e-26
"52","SRR10241522.1264355_1:1314258",2e-26
"53","SRR10241522.5087325_1:5294276",2.1e-26
"54","SRR10241522.3505342_1:3646495",2.1e-26
"55","SRR10241522.3649506_2:3796551",2.4e-26
"56","SRR10241522.4961718_2:5163344",2.4e-26
"57","SRR10241522.1423538_1:1479993",2.5e-26
"58","SRR10241522.1226335_1:1274939",2.6e-26
"59","SRR10241522.4148336_2:4315574",2.8e-26
"60","SRR10241522.4697352_1:4887363",2.8e-26
"61","SRR10241522.2155487_1:2241904",2.9e-26
"62","SRR10241522.1350534_2:1403843",3e-26
"63","SRR10241522.4945420_1:5146313",3.1e-26
"64","SRR10241522.4945451_1:5146342",3.1e-26
"65","SRR10241522.392924_1:408640",3.3e-26
"66","SRR10241522.2089358_1:2173021",3.3e-26
"67","SRR10241522.3062475_1:3185663",3.3e-26
"68","SRR10241522.2233499_2:2322747",3.5e-26
"69","SRR10241522.2233813_2:2323064",3.5e-26
"70","SRR10241522.2089358_2:2173022",3.6e-26
"71","SRR10241522.1606337_2:1669814",3.6e-26
"72","SRR10241522.4033079_1:4195544",3.7e-26
"73","SRR10241522.5200477_2:5411673",3.7e-26
"74","SRR10241522.56593_1:58830",3.8e-26
"75","SRR10241522.518824_1:539699",4.1e-26
"76","SRR10241522.2695216_1:2803495",4.2e-26
"77","SRR10241522.3929213_1:4087231",4.2e-26
"78","SRR10241522.439256_1:457072",4.4e-26
"79","SRR10241522.2968200_1:3087532",4.5e-26
"80","SRR10241522.3829006_1:3983174",4.7e-26
"81","SRR10241522.5029539_1:5233821",4.8e-26
"82","SRR10241522.3028553_2:3150372",5.1e-26
"83","SRR10241522.3216624_2:3345831",5.1e-26
"84","SRR10241522.3217037_2:3346254",5.1e-26
"85","SRR10241522.2958080_1:3077068",5.2e-26
"86","SRR10241522.2959836_1:3078899",5.2e-26
"87","SRR10241522.2149317_1:2235481",5.2e-26
"88","SRR10241522.1105826_2:1149877",5.4e-26
"89","SRR10241522.5664959_1:5895411",5.6e-26
"90","SRR10241522.4258908_1:4430491",5.7e-26
"91","SRR10241522.2485323_1:2584771",5.9e-26
"92","SRR10241522.3565534_1:3709172",5.9e-26
"93","SRR10241522.2262730_1:2353203",6.2e-26
"94","SRR10241522.5131082_1:5339689",6.2e-26
"95","SRR10241522.4961718_1:5163343",6.3e-26
"96","SRR10241522.3665325_2:3812797",6.6e-26
"97","SRR10241522.1708972_1:1776788",6.6e-26
"98","SRR10241522.3932517_1:4090684",6.9e-26
"99","SRR10241522.3932517_2:4090685",6.9e-26
"100","SRR10241522.5622847_1:5851578",7e-26
"101","SRR10241522.3450616_1:3589792",7e-26
"102","SRR10241522.777401_1:808441",7e-26
"103","SRR10241522.501914_1:522188",7.1e-26
"104","SRR10241522.4295729_1:4468689",7.3e-26
"105","SRR10241522.4295934_1:4468898",7.3e-26
"106","SRR10241522.1925335_1:2002081",7.5e-26
"107","SRR10241522.1925387_1:2002137",7.5e-26
"108","SRR10241522.5131082_2:5339690",7.9e-26
"109","SRR10241522.4771274_1:4964597",8e-26
"110","SRR10241522.2158942_2:2245496",8.1e-26
"111","SRR10241522.4282058_1:4454488",8.1e-26
"112","SRR10241522.2475788_1:2574877",8.3e-26
"113","SRR10241522.2480373_1:2579684",8.3e-26
"114","SRR10241522.4041264_2:4204066",8.5e-26
"115","SRR10241522.3724813_1:3874768",8.5e-26
"116","SRR10241522.3835002_1:3989393",8.5e-26
"117","SRR10241522.2817571_1:2930579",8.6e-26
"118","SRR10241522.5293719_1:5508489",8.6e-26
"119","SRR10241522.4103032_1:4268519",9.1e-26
"120","SRR10241522.3033414_1:3155505",9.4e-26
"121","SRR10241522.1522731_2:1583171",9.5e-26
"122","SRR10241522.1651006_1:1716366",9.5e-26
"123","SRR10241522.3140443_1:3266828",9.5e-26
"124","SRR10241522.4979700_2:5182078",9.5e-26
"125","SRR10241522.4103032_2:4268520",9.9e-26
"126","SRR10241522.4615169_2:4801402",1e-25
"127","SRR10241522.2837072_1:2950905",1e-25
"128","SRR10241522.778470_1:809536",1.1e-25
"129","SRR10241522.1618676_2:1682636",1.1e-25
"130","SRR10241522.21641_1:22526",1.1e-25
"131","SRR10241522.2440800_2:2538524",1.2e-25
"132","SRR10241522.5183407_1:5394185",1.2e-25
"133","SRR10241522.4656324_2:4844463",1.2e-25
"134","SRR10241522.4945420_2:5146314",1.3e-25
"135","SRR10241522.4945451_2:5146343",1.3e-25
"136","SRR10241522.1302608_1:1354151",1.3e-25
"137","SRR10241522.5351859_1:5569064",1.3e-25
"138","SRR10241522.2929935_1:3047639",1.3e-25
"139","SRR10241522.1891560_1:1966779",1.3e-25
"140","SRR10241522.5695580_1:5927179",1.3e-25
"141","SRR10241522.5018116_2:5222080",1.3e-25
"142","SRR10241522.929677_1:966534",1.4e-25
"143","SRR10241522.4674410_2:4863327",1.4e-25
"144","SRR10241522.4204459_1:4373836",1.4e-25
"145","SRR10241522.2711786_1:2820803",1.5e-25
"146","SRR10241522.2712115_1:2821153",1.5e-25
"147","SRR10241522.2712199_1:2821244",1.5e-25
"148","SRR10241522.3757099_1:3908078",1.5e-25
"149","SRR10241522.4719578_1:4910577",1.5e-25
"150","SRR10241522.3995259_1:4156020",1.6e-25
"151","SRR10241522.1260762_2:1310620",1.6e-25
"152","SRR10241522.3098515_2:3222914",1.6e-25
"153","SRR10241522.3750983_2:3901741",1.7e-25
"154","SRR10241522.3754923_2:3905785",1.7e-25
"155","SRR10241522.5685442_1:5916710",1.7e-25
"156","SRR10241522.5685525_1:5916794",1.7e-25
"157","SRR10241522.5695580_2:5927180",1.7e-25
"158","SRR10241522.933130_2:970147",1.8e-25
"159","SRR10241522.955438_1:993308",1.8e-25
"160","SRR10241522.518824_2:539700",1.8e-25
"161","SRR10241522.4148336_1:4315573",1.8e-25
"162","SRR10241522.3243292_1:3373527",1.8e-25
"163","SRR10241522.3906091_2:4063093",1.8e-25
"164","SRR10241522.5079491_2:5286117",1.8e-25
"165","SRR10241522.4131744_1:4298392",1.8e-25
"166","SRR10241522.2641097_2:2746910",1.9e-25
"167","SRR10241522.4107233_1:4272957",1.9e-25
"168","SRR10241522.4384434_2:4561319",1.9e-25
"169","SRR10241522.2725446_2:2834989",1.9e-25
"170","SRR10241522.156100_1:162343",2e-25
"171","SRR10241522.156398_1:162627",2e-25
"172","SRR10241522.3829235_1:3983404",2e-25
"173","SRR10241522.18236_1:18989",2e-25
"174","SRR10241522.3838947_1:3993474",2.1e-25
"175","SRR10241522.693850_1:721434",2.2e-25
"176","SRR10241522.2744801_2:2855125",2.2e-25
"177","SRR10241522.538438_1:560143",2.2e-25
"178","SRR10241522.3752333_2:3903129",2.2e-25
"179","SRR10241522.993981_2:1033243",2.2e-25
"180","SRR10241522.5199751_1:5410940",2.2e-25
"181","SRR10241522.2353794_1:2447939",2.3e-25
"182","SRR10241522.1828191_1:1900655",2.3e-25
"183","SRR10241522.3011292_1:3132410",2.3e-25
"184","SRR10241522.3298858_1:3431539",2.3e-25
