"","domain_name","sequence_evalue"
"1","SRR10241527.51839624_1:57001182",1.7e-17
"2","SRR10241527.52804042_1:58071477",9.4e-17
"3","SRR10241527.40328113_1:44269692",5.7e-16
"4","SRR10241527.9104483_1:9903036",3e-15
"5","SRR10241527.40639431_1:44613694",1.4e-14
"6","SRR10241527.19563886_1:21262833",1.7e-14
"7","SRR10241527.19563886_2:21262834",2.3e-14
"8","SRR10241527.46971765_1:51600527",2.5e-14
"9","SRR10241527.41002344_1:45017444",2.6e-14
"10","SRR10241527.55594293_1:61167067",9.2e-14
"11","SRR10241527.51656698_2:56799052",1.1e-13
"12","SRR10241527.12559280_1:13642251",1.1e-13
"13","SRR10241527.26641452_1:29063913",1.2e-13
"14","SRR10241527.42053993_1:46179337",1.3e-13
"15","SRR10241527.48121546_2:52876253",1.4e-13
"16","SRR10241527.54849856_2:60340460",1.8e-13
"17","SRR10241527.40328113_2:44269693",1.9e-13
"18","SRR10241527.55594293_2:61167068",2e-13
"19","SRR10241527.48121546_1:52876252",3.4e-13
"20","SRR10241527.38883154_1:42665663",3.7e-13
"21","SRR10241527.39643897_2:43511278",4.2e-13
"22","SRR10241527.27981678_1:30550994",4.4e-13
"23","SRR10241527.49237726_1:54116525",4.7e-13
"24","SRR10241527.41002344_2:45017445",5.5e-13
"25","SRR10241527.26119095_2:28484591",1.2e-12
"26","SRR10241527.21123477_1:22955612",1.6e-12
"27","SRR10241527.24048832_2:26186542",1.9e-12
"28","SRR10241527.37800762_1:41461618",1.9e-12
"29","SRR10241527.10101298_1:10978888",2.7e-12
"30","SRR10241527.24048832_1:26186541",3.7e-12
"31","SRR10241527.9145769_1:9947991",4.8e-12
"32","SRR10241527.26119095_1:28484590",8e-12
"33","SRR10241527.33564575_1:36752261",1.8e-11
"34","SRR10241527.11594502_1:12594692",1.8e-11
"35","SRR10241527.55557079_1:61125605",2.1e-11
"36","SRR10241527.22307657_1:24254082",3.2e-11
"37","SRR10241527.52261015_1:57468323",8.9e-11
