"","domain_name","sequence_evalue"
"1","SRR2939624.151898_1:218167",1.1e-49
"2","SRR2939624.126837_1:182395",1.5e-47
"3","SRR2939624.406331_1:579862",3e-47
"4","SRR2939624.345967_2:495149",5.2e-46
"5","SRR2939624.76123_1:109467",6e-46
"6","SRR2939624.345967_1:495148",7.2e-46
"7","SRR2939624.306344_1:438141",1.2e-45
"8","SRR2939624.354723_2:507578",2.7e-43
"9","SRR2939624.42151_1:60435",3.6e-43
"10","SRR2939624.179906_3:257913",6e-43
"11","SRR2939624.343238_1:491316",5e-40
"12","SRR2939624.340665_1:487630",6.4e-40
"13","SRR2939624.460298_1:657676",2.6e-39
"14","SRR2939624.319028_2:456356",1.7e-37
"15","SRR2939624.159619_1:229132",3.4e-37
"16","SRR2939624.359629_1:514630",4.3e-37
"17","SRR2939624.123115_1:177031",7.4e-37
"18","SRR2939624.42151_2:60436",1e-36
"19","SRR2939624.499318_1:713816",3.2e-36
"20","SRR2939624.264276_2:377526",4.1e-36
"21","SRR2939624.34174_2:49003",4.9e-36
"22","SRR2939624.313653_1:448616",5.3e-36
"23","SRR2939624.518604_2:741457",5.6e-36
"24","SRR2939624.186009_1:266399",9.1e-36
"25","SRR2939624.484415_1:692421",1e-35
"26","SRR2939624.298902_1:427439",2.6e-35
"27","SRR2939624.123115_2:177032",5.4e-35
"28","SRR2939624.231389_1:330137",9.2e-34
"29","SRR2939624.298902_2:427440",1.5e-33
"30","SRR2939624.518604_1:741456",1.6e-33
"31","SRR2939624.402895_1:575021",2.8e-33
"32","SRR2939624.296407_1:423878",6.4e-33
"33","SRR2939624.296407_2:423879",6.4e-33
"34","SRR2939624.416440_1:594307",1.4e-32
"35","SRR2939624.321452_2:459867",2.6e-32
"36","SRR2939624.321452_1:459866",3e-32
"37","SRR2939624.124963_1:179660",9.3e-32
"38","SRR2939624.76123_2:109468",1.2e-31
"39","SRR2939624.475674_2:679839",1.5e-31
"40","SRR2939624.421195_2:601232",3e-31
"41","SRR2939624.421195_1:601231",3.7e-31
"42","SRR2939624.460298_2:657677",6.7e-31
"43","SRR2939624.499594_1:714218",9.1e-31
"44","SRR2939624.361899_1:517903",2e-30
"45","SRR2939624.199214_1:284388",2.1e-30
"46","SRR2939624.124963_2:179661",5.1e-30
"47","SRR2939624.151485_1:217577",6.5e-30
"48","SRR2939624.159619_2:229133",6.8e-30
"49","SRR2939624.246732_1:352205",2.3e-29
"50","SRR2939624.499318_2:713817",2.8e-29
"51","SRR2939624.236133_1:336940",1.9e-28
"52","SRR2939624.285804_2:408528",2.2e-28
"53","SRR2939624.263271_2:376079",2.5e-28
"54","SRR2939624.157199_1:225750",5.6e-28
"55","SRR2939624.253387_2:361804",9.7e-28
"56","SRR2939624.70316_1:101092",1.3e-27
"57","SRR2939624.70316_2:101093",1.3e-27
"58","SRR2939624.277935_1:397173",1.6e-27
"59","SRR2939624.253387_1:361803",4.9e-27
"60","SRR2939624.284857_1:407167",5.9e-27
"61","SRR2939624.284857_2:407168",5.9e-27
"62","SRR2939624.285804_1:408527",8.3e-27
"63","SRR2939624.157199_2:225751",9.2e-27
"64","SRR2939624.400107_1:571090",9.3e-27
"65","SRR2939624.41952_2:60162",2.2e-26
"66","SRR2939624.291246_2:416456",3.4e-26
"67","SRR2939624.348376_2:498612",3.4e-26
"68","SRR2939624.434416_1:620310",4e-26
"69","SRR2939624.34174_1:49002",8.2e-26
"70","SRR2939624.473902_1:677289",1e-25
"71","SRR2939624.399618_2:570461",2.3e-25
"72","SRR2939624.449506_1:642083",2.9e-25
"73","SRR2939624.177506_2:254590",3.6e-25
"74","SRR2939624.399618_1:570460",5.4e-25
"75","SRR2939624.139909_1:200989",5.7e-25
"76","SRR2939624.200922_1:286742",6e-25
"77","SRR2939624.246998_1:352575",8.9e-25
"78","SRR2939624.510818_1:730307",9.6e-25
"79","SRR2939624.510818_2:730308",9.6e-25
"80","SRR2939624.488098_2:697727",1.2e-24
"81","SRR2939624.438957_2:626926",1.6e-24
"82","SRR2939624.238094_1:339748",3.2e-24
"83","SRR2939624.238094_2:339749",3.2e-24
"84","SRR2939624.473621_1:676877",4e-24
"85","SRR2939624.313653_2:448617",4.1e-24
"86","SRR2939624.291246_1:416455",5.6e-24
"87","SRR2939624.136648_1:196384",5.6e-24
"88","SRR2939624.472387_2:675117",8.9e-24
"89","SRR2939624.198375_1:283260",2.1e-23
"90","SRR2939624.237461_1:338838",2.9e-23
"91","SRR2939624.115648_2:166212",4.1e-23
"92","SRR2939624.236032_1:336795",4.4e-23
"93","SRR2939624.103638_1:149083",1.1e-22
"94","SRR2939624.190565_1:272640",1.2e-22
"95","SRR2939624.413258_1:589796",1.3e-22
"96","SRR2939624.151485_2:217578",1.5e-22
"97","SRR2939624.139909_2:200990",1.8e-22
"98","SRR2939624.408141_2:582409",3e-22
"99","SRR2939624.110224_1:158470",3.1e-22
"100","SRR2939624.110224_2:158471",3.1e-22
"101","SRR2939624.488098_1:697726",3.3e-22
