"","domain_name","sequence_evalue"
"1","SRR10241522.1165641_1:1211959",8.3e-30
"2","SRR10241522.2967776_1:3087098",4e-29
"3","SRR10241522.572818_2:595933",5.9e-29
"4","SRR10241522.321395_1:334000",7e-29
"5","SRR10241522.360273_1:374700",7.8e-29
"6","SRR10241522.3419532_2:3557359",8.4e-29
"7","SRR10241522.2182163_1:2269563",9.3e-29
"8","SRR10241522.4047672_2:4210780",1.1e-28
"9","SRR10241522.5074192_1:5280602",1.4e-28
"10","SRR10241522.38603_1:40090",1.4e-28
"11","SRR10241522.3773863_1:3925560",1.5e-28
"12","SRR10241522.158509_1:164849",1.5e-28
"13","SRR10241522.159060_1:165426",1.5e-28
"14","SRR10241522.3023142_2:3144817",1.6e-28
"15","SRR10241522.5203246_1:5414547",1.7e-28
"16","SRR10241522.5026564_1:5230771",1.8e-28
"17","SRR10241522.5026771_1:5230989",1.8e-28
"18","SRR10241522.5027363_1:5231607",1.8e-28
"19","SRR10241522.2967941_2:3087270",1.8e-28
"20","SRR10241522.1380423_1:1435078",1.9e-28
"21","SRR10241522.3993899_1:4154609",2.3e-28
"22","SRR10241522.3668799_1:3816400",2.5e-28
"23","SRR10241522.1996577_1:2076493",2.8e-28
"24","SRR10241522.5320237_1:5536109",3e-28
"25","SRR10241522.4711845_2:4902517",3.1e-28
"26","SRR10241522.2351108_1:2445170",3.2e-28
"27","SRR10241522.5306242_1:5521537",3.2e-28
"28","SRR10241522.5306405_1:5521706",3.2e-28
"29","SRR10241522.1694327_2:1761608",4.4e-28
"30","SRR10241522.3364052_1:3499451",4.7e-28
"31","SRR10241522.4615443_1:4801686",4.7e-28
"32","SRR10241522.5389197_2:5608003",4.9e-28
"33","SRR10241522.1663272_1:1729135",5.1e-28
"34","SRR10241522.438227_1:455992",5.3e-28
"35","SRR10241522.2537295_2:2638855",5.4e-28
"36","SRR10241522.3826792_1:3980850",5.4e-28
"37","SRR10241522.3788518_2:3940867",5.5e-28
"38","SRR10241522.895856_1:931248",5.5e-28
"39","SRR10241522.1950981_1:2028898",5.7e-28
"40","SRR10241522.1096660_1:1140337",6.7e-28
"41","SRR10241522.1165641_2:1211960",6.8e-28
"42","SRR10241522.4000023_1:4160884",7.2e-28
"43","SRR10241522.5023556_1:5227682",7.4e-28
"44","SRR10241522.1502437_1:1562333",7.9e-28
"45","SRR10241522.394585_2:410398",8.3e-28
"46","SRR10241522.3023142_1:3144816",8.4e-28
"47","SRR10241522.3429585_1:3567838",8.7e-28
"48","SRR10241522.4135261_1:4302098",8.8e-28
"49","SRR10241522.4138253_1:4305179",8.8e-28
"50","SRR10241522.616535_2:641273",8.9e-28
"51","SRR10241522.4972409_2:5174485",9.1e-28
"52","SRR10241522.2016280_2:2096995",9.7e-28
"53","SRR10241522.815705_1:848204",9.9e-28
"54","SRR10241522.4736955_1:4928717",9.9e-28
"55","SRR10241522.3556917_1:3700185",1e-27
"56","SRR10241522.3993899_2:4154610",1.1e-27
"57","SRR10241522.1876704_1:1951308",1.1e-27
"58","SRR10241522.2889962_2:3006085",1.1e-27
"59","SRR10241522.572818_1:595932",1.2e-27
"60","SRR10241522.5291175_2:5505894",1.2e-27
"61","SRR10241522.694847_2:722501",1.3e-27
"62","SRR10241522.2594366_1:2698335",1.3e-27
"63","SRR10241522.5564890_1:5791225",1.3e-27
"64","SRR10241522.5317491_1:5533290",1.3e-27
"65","SRR10241522.3638021_1:3784707",1.4e-27
"66","SRR10241522.3638906_1:3785648",1.4e-27
"67","SRR10241522.2479304_2:2578557",1.4e-27
"68","SRR10241522.2071960_1:2154746",1.4e-27
"69","SRR10241522.5163323_2:5373265",1.4e-27
"70","SRR10241522.3958915_1:4118338",1.4e-27
"71","SRR10241522.4083655_1:4248356",1.5e-27
"72","SRR10241522.288266_1:299725",1.5e-27
"73","SRR10241522.1517732_1:1578061",1.5e-27
"74","SRR10241522.3826792_2:3980851",1.5e-27
