"","domain_name","sequence_evalue"
"1","NS500302:312:HJHHTBGX5:1:11203:17306:13784_1:16741",7.1e-19
"2","NS500302:312:HJHHTBGX5:2:12108:2457:18805_1:290657",7.1e-19
"3","NS500302:312:HJHHTBGX5:2:22305:4990:9405_1:434779",7.1e-19
"4","NS500302:312:HJHHTBGX5:4:23608:3721:18428_1:931164",7.1e-19
"5","NS500302:312:HJHHTBGX5:3:11502:8818:5225_1:496555",1.7e-18
"6","NS500302:312:HJHHTBGX5:2:22206:13611:12967_1:422952",2.1e-18
"7","NS500302:312:HJHHTBGX5:3:21607:24251:15419_1:623402",2.4e-18
"8","NS500302:312:HJHHTBGX5:1:13107:8281:10893_1:87736",2.5e-18
"9","NS500302:312:HJHHTBGX5:1:13206:23502:13990_1:100367",2.5e-18
"10","NS500302:312:HJHHTBGX5:1:22202:23174:6231_1:176054",2.5e-18
"11","NS500302:312:HJHHTBGX5:2:23209:1580:18845_1:466564",2.5e-18
"12","NS500302:312:HJHHTBGX5:2:23308:25267:18640_1:478895",2.5e-18
"13","NS500302:312:HJHHTBGX5:3:11404:22374:8238_1:487300",2.5e-18
"14","NS500302:312:HJHHTBGX5:3:12604:7614:9469_1:547873",2.5e-18
"15","NS500302:312:HJHHTBGX5:4:11512:7850:12969_1:728469",2.5e-18
"16","NS500302:312:HJHHTBGX5:1:22101:6287:10317_1:161340",2.9e-18
"17","NS500302:312:HJHHTBGX5:1:12304:19626:13793_1:70857",3.4e-18
"18","NS500302:312:HJHHTBGX5:2:21201:17789:3871_1:376298",5.5e-18
"19","NS500302:312:HJHHTBGX5:2:12103:19418:8542_1:284396",6.8e-18
"20","NS500302:312:HJHHTBGX5:1:21110:22071:2192_1:130698",7.9e-18
"21","NS500302:312:HJHHTBGX5:1:23211:22541:17271_1:226734",7.9e-18
"22","NS500302:312:HJHHTBGX5:2:13305:17832:3101_1:352840",7.9e-18
"23","NS500302:312:HJHHTBGX5:4:21410:18734:12793_1:828839",7.9e-18
"24","NS500302:312:HJHHTBGX5:2:13302:19065:15993_1:350400",9.2e-18
"25","NS500302:312:HJHHTBGX5:2:13308:4952:19190_1:357238",9.2e-18
"26","NS500302:312:HJHHTBGX5:3:13403:13912:16106_1:559348",9.2e-18
"27","NS500302:312:HJHHTBGX5:3:21401:6026:13823_1:593419",9.2e-18
"28","NS500302:312:HJHHTBGX5:4:22405:10383:10954_1:862019",9.2e-18
"29","NS500302:312:HJHHTBGX5:1:13306:19740:17199_1:113653",1.3e-17
"30","NS500302:312:HJHHTBGX5:2:23211:22105:16472_1:468764",1.3e-17
"31","NS500302:312:HJHHTBGX5:3:23404:26534:2679_1:669268",1.3e-17
"32","NS500302:312:HJHHTBGX5:4:11407:9189:17797_1:709828",1.3e-17
"33","NS500302:312:HJHHTBGX5:1:11201:21739:1744_1:13756",1.5e-17
"34","NS500302:312:HJHHTBGX5:1:23303:16902:19767_1:231158",1.5e-17
"35","NS500302:312:HJHHTBGX5:2:12104:5346:2762_1:285186",1.5e-17
"36","NS500302:312:HJHHTBGX5:2:12211:3095:2372_1:306020",1.5e-17
"37","NS500302:312:HJHHTBGX5:2:12301:21316:4307_1:308474",1.5e-17
"38","NS500302:312:HJHHTBGX5:3:11604:20019:20097_1:512025",1.5e-17
"39","NS500302:312:HJHHTBGX5:3:21501:26406:9476_1:604192",1.5e-17
"40","NS500302:312:HJHHTBGX5:3:22507:4835:9228_1:647498",1.5e-17
"41","NS500302:312:HJHHTBGX5:4:12601:11689:1849_1:767435",1.5e-17
"42","NS500302:312:HJHHTBGX5:4:13412:5664:13908_1:792971",1.5e-17
"43","NS500302:312:HJHHTBGX5:4:13505:11991:9863_1:798044",1.5e-17
"44","NS500302:312:HJHHTBGX5:4:13604:1484:8542_1:809644",1.5e-17
"45","NS500302:312:HJHHTBGX5:4:22404:15173:19166_1:861358",1.5e-17
"46","NS500302:312:HJHHTBGX5:4:23606:5654:6352_1:928595",1.5e-17
"47","NS500302:312:HJHHTBGX5:1:21110:11070:16975_1:131613",2.1e-17
"48","NS500302:312:HJHHTBGX5:3:12512:25609:17897_1:544216",2.1e-17
"49","NS500302:312:HJHHTBGX5:4:13407:2767:8209_1:786838",2.1e-17
"50","NS500302:312:HJHHTBGX5:4:21406:3439:14418_1:824506",2.1e-17
"51","NS500302:312:HJHHTBGX5:4:22510:22900:3729_1:880483",2.1e-17
"52","NS500302:312:HJHHTBGX5:4:11504:10327:15655_1:719907",2.1e-17
"53","NS500302:312:HJHHTBGX5:4:11510:5145:15821_1:726418",2.1e-17
"54","NS500302:312:HJHHTBGX5:4:23507:11905:13248_1:917290",2.3e-17
"55","NS500302:312:HJHHTBGX5:2:22309:2115:14110_1:439479",3.1e-17
"56","NS500302:312:HJHHTBGX5:1:13106:23010:9321_1:86494",3.3e-17
"57","NS500302:312:HJHHTBGX5:1:23111:16008:8621_1:212718",3.3e-17
"58","NS500302:312:HJHHTBGX5:2:13101:12996:4086_1:322231",3.3e-17
"59","NS500302:312:HJHHTBGX5:2:13207:2339:7488_1:342048",3.3e-17
"60","NS500302:312:HJHHTBGX5:2:13211:24006:11281_1:346846",3.3e-17
"61","NS500302:312:HJHHTBGX5:2:21307:26146:17698_1:398067",3.3e-17
"62","NS500302:312:HJHHTBGX5:2:22103:25239:16323_1:407110",3.3e-17
"63","NS500302:312:HJHHTBGX5:2:23212:11009:20132_1:470142",3.3e-17
"64","NS500302:312:HJHHTBGX5:3:13406:13332:6157_1:561889",3.3e-17
"65","NS500302:312:HJHHTBGX5:3:23512:19793:16354_1:690128",3.3e-17
"66","NS500302:312:HJHHTBGX5:4:12505:6962:4057_1:758846",3.3e-17
"67","NS500302:312:HJHHTBGX5:4:13408:6099:3058_1:787630",3.3e-17
"68","NS500302:312:HJHHTBGX5:4:22512:5997:18289_1:883657",3.3e-17
"69","NS500302:312:HJHHTBGX5:1:23208:24580:6150_1:222700",3.4e-17
"70","NS500302:312:HJHHTBGX5:1:23204:20523:1874_1:217971",3.6e-17
"71","NS500302:312:HJHHTBGX5:1:21311:7127:14283_1:159352",3.6e-17
"72","NS500302:312:HJHHTBGX5:1:12303:5610:5386_1:69309",4e-17
"73","NS500302:312:HJHHTBGX5:1:21109:8659:20255_1:130622",4e-17
"74","NS500302:312:HJHHTBGX5:1:21208:11299:9981_1:142576",4e-17
"75","NS500302:312:HJHHTBGX5:1:22111:15056:1936_1:172459",4e-17
"76","NS500302:312:HJHHTBGX5:1:23205:26622:5561_1:219350",4e-17
"77","NS500302:312:HJHHTBGX5:3:11609:18556:16495_1:516880",4e-17
"78","NS500302:312:HJHHTBGX5:3:21604:19771:11529_1:620196",4e-17
"79","NS500302:312:HJHHTBGX5:3:23501:17336:1881_1:677884",4e-17
"80","NS500302:312:HJHHTBGX5:3:23503:8861:13464_1:680577",4e-17
"81","NS500302:312:HJHHTBGX5:4:11511:22611:8196_1:727130",4e-17
"82","NS500302:312:HJHHTBGX5:4:12503:6980:19267_1:757580",4e-17
"83","NS500302:312:HJHHTBGX5:4:22512:10908:9112_1:883070",4e-17
"84","NS500302:312:HJHHTBGX5:1:11110:17750:7041_1:10652",6e-17
"85","NS500302:312:HJHHTBGX5:1:12301:12530:8288_1:67253",6e-17
"86","NS500302:312:HJHHTBGX5:1:13103:22187:10603_1:82936",6e-17
"87","NS500302:312:HJHHTBGX5:1:21108:24596:4018_1:128504",6e-17
"88","NS500302:312:HJHHTBGX5:1:21204:13507:14051_1:138273",6e-17
"89","NS500302:312:HJHHTBGX5:1:22101:9550:11852_1:161464",6e-17
"90","NS500302:312:HJHHTBGX5:1:23202:20779:10166_1:216227",6e-17
"91","NS500302:312:HJHHTBGX5:2:11103:4700:14699_1:243801",6e-17
"92","NS500302:312:HJHHTBGX5:2:12105:10646:6111_1:286671",6e-17
"93","NS500302:312:HJHHTBGX5:2:13309:12365:9798_1:357876",6e-17
"94","NS500302:312:HJHHTBGX5:2:22102:21748:8510_1:405595",6e-17
"95","NS500302:312:HJHHTBGX5:2:22305:23134:5385_1:434538",6e-17
"96","NS500302:312:HJHHTBGX5:2:23212:3723:14548_1:469792",6e-17
"97","NS500302:312:HJHHTBGX5:3:11410:3486:16331_1:493434",6e-17
"98","NS500302:312:HJHHTBGX5:3:11603:21844:12878_1:510735",6e-17
"99","NS500302:312:HJHHTBGX5:3:13601:12663:18197_1:581431",6e-17
