"","domain_name","sequence_evalue"
"1","HISEQ15:229:C9DW7ANXX:7:1107:9222:29768_1:5326122",9.4e-25
"2","HISEQ15:229:C9DW7ANXX:7:1114:12893:9968_1:11458075",9.4e-25
"3","HISEQ15:229:C9DW7ANXX:7:1115:12312:50815_1:12785698",9.4e-25
"4","HISEQ15:229:C9DW7ANXX:7:1207:3068:9834_1:19353678",9.4e-25
"5","HISEQ15:229:C9DW7ANXX:7:1211:6875:71575_1:23439018",9.4e-25
"6","HISEQ15:229:C9DW7ANXX:7:1313:18331:18500_1:39005183",9.4e-25
"7","HISEQ15:229:C9DW7ANXX:7:2102:19814:88910_1:44155230",9.4e-25
"8","HISEQ15:229:C9DW7ANXX:7:2211:15202:77218_1:65644786",9.4e-25
"9","HISEQ15:229:C9DW7ANXX:7:2215:3555:27449_1:68797950",9.4e-25
"10","HISEQ15:229:C9DW7ANXX:7:1103:17247:12633_1:1757801",1.2e-24
"11","HISEQ15:229:C9DW7ANXX:7:1108:18958:58820_1:6457468",1.2e-24
"12","HISEQ15:229:C9DW7ANXX:7:1111:17990:4814_1:8647830",1.2e-24
"13","HISEQ15:229:C9DW7ANXX:7:1205:14914:66550_1:18123875",1.2e-24
"14","HISEQ15:229:C9DW7ANXX:7:1212:11174:17131_1:23847982",1.2e-24
"15","HISEQ15:229:C9DW7ANXX:7:1216:10005:69390_1:28064303",1.2e-24
"16","HISEQ15:229:C9DW7ANXX:7:1301:16110:58477_1:28840854",1.2e-24
"17","HISEQ15:229:C9DW7ANXX:7:1304:4461:76073_1:31524836",1.2e-24
"18","HISEQ15:229:C9DW7ANXX:7:1307:4817:31368_1:33731031",1.2e-24
"19","HISEQ15:229:C9DW7ANXX:7:1308:19552:99546_1:35211647",1.2e-24
"20","HISEQ15:229:C9DW7ANXX:7:1308:4149:19834_1:34505247",1.2e-24
"21","HISEQ15:229:C9DW7ANXX:7:1309:5481:33151_1:35501210",1.2e-24
"22","HISEQ15:229:C9DW7ANXX:7:1315:15819:64059_1:41308239",1.2e-24
"23","HISEQ15:229:C9DW7ANXX:7:1316:6076:4020_1:41684374",1.2e-24
"24","HISEQ15:229:C9DW7ANXX:7:2103:2910:9387_1:44317340",1.2e-24
"25","HISEQ15:229:C9DW7ANXX:7:2105:3080:13513_1:46022164",1.2e-24
"26","HISEQ15:229:C9DW7ANXX:7:2113:4910:3252_1:52885649",1.2e-24
"27","HISEQ15:229:C9DW7ANXX:7:2214:3509:81486_1:68381562",1.2e-24
"28","HISEQ15:229:C9DW7ANXX:7:1114:12439:97768_1:12286713",1.3e-24
"29","HISEQ15:229:C9DW7ANXX:7:1116:18737:18940_1:13431580",1.3e-24
"30","HISEQ15:229:C9DW7ANXX:7:1206:12837:78189_1:19083907",1.3e-24
"31","HISEQ15:229:C9DW7ANXX:7:1210:10099:64558_1:22474041",1.3e-24
"32","HISEQ15:229:C9DW7ANXX:7:1310:12187:60143_1:36646315",1.3e-24
"33","HISEQ15:229:C9DW7ANXX:7:1310:8128:55424_1:36602480",1.3e-24
"34","HISEQ15:229:C9DW7ANXX:7:1311:3826:66933_1:37616028",1.3e-24
"35","HISEQ15:229:C9DW7ANXX:7:1314:15578:41501_1:40152391",1.3e-24
"36","HISEQ15:229:C9DW7ANXX:7:2104:13463:70121_1:45661360",1.3e-24
"37","HISEQ15:229:C9DW7ANXX:7:2104:6760:8760_1:45143367",1.3e-24
"38","HISEQ15:229:C9DW7ANXX:7:2105:16157:23373_1:46106199",1.3e-24
"39","HISEQ15:229:C9DW7ANXX:7:2114:18536:45125_1:54181584",1.3e-24
"40","HISEQ15:229:C9DW7ANXX:7:2115:4572:36109_1:55019666",1.3e-24
"41","HISEQ15:229:C9DW7ANXX:7:2201:6658:41159_1:56883020",1.3e-24
"42","HISEQ15:229:C9DW7ANXX:7:2201:9830:58387_1:57024671",1.3e-24
"43","HISEQ15:229:C9DW7ANXX:7:2204:8088:93985_1:59802796",1.3e-24
"44","HISEQ15:229:C9DW7ANXX:7:2208:5153:43919_1:62751258",1.3e-24
"45","HISEQ15:229:C9DW7ANXX:7:2211:3077:14098_1:65088223",1.3e-24
"46","HISEQ15:229:C9DW7ANXX:7:2213:11441:4891_1:66777367",1.3e-24
"47","HISEQ15:229:C9DW7ANXX:7:2214:7158:97436_1:68529844",1.3e-24
"48","HISEQ15:229:C9DW7ANXX:7:2215:17516:62905_1:69119833",1.3e-24
"49","HISEQ15:229:C9DW7ANXX:7:2215:6381:92964_1:69394322",1.3e-24
"50","HISEQ15:229:C9DW7ANXX:7:2216:1511:100124_1:70367243",1.3e-24
"51","HISEQ15:229:C9DW7ANXX:7:1112:12163:12358_1:9621233",1.4e-24
"52","HISEQ15:229:C9DW7ANXX:7:1115:3967:88265_1:13144665",1.4e-24
"53","HISEQ15:229:C9DW7ANXX:7:1201:13686:47466_1:14594218",1.4e-24
"54","HISEQ15:229:C9DW7ANXX:7:1203:19033:92270_1:16647875",1.4e-24
"55","HISEQ15:229:C9DW7ANXX:7:1205:4280:63778_1:18099364",1.4e-24
"56","HISEQ15:229:C9DW7ANXX:7:1206:15659:38385_1:18737074",1.4e-24
"57","HISEQ15:229:C9DW7ANXX:7:1206:2198:72928_1:19036921",1.4e-24
"58","HISEQ15:229:C9DW7ANXX:7:1206:3986:65064_1:18969214",1.4e-24
"59","HISEQ15:229:C9DW7ANXX:7:1306:13220:15919_1:32727202",1.4e-24
"60","HISEQ15:229:C9DW7ANXX:7:1308:20459:95246_1:35171478",1.4e-24
"61","HISEQ15:229:C9DW7ANXX:7:1312:4393:96781_1:38810442",1.4e-24
