"","domain_name","sequence_evalue"
"1","SRR10241527.11987731_1:13022845",5e-29
"2","SRR10241527.42232866_2:46375500",5.6e-28
"3","SRR10241527.736873_1:800404",1e-27
"4","SRR10241527.18240736_1:19822832",1.3e-27
"5","SRR10241527.7912216_1:8607997",1.4e-27
"6","SRR10241527.32642309_1:35727238",1.4e-27
"7","SRR10241527.45404783_1:49868457",1.5e-27
"8","SRR10241527.45405303_1:49869058",1.5e-27
"9","SRR10241527.36707393_1:40244337",1.6e-27
"10","SRR10241527.29786602_1:32557160",2.2e-27
"11","SRR10241527.53244013_2:58559104",2.4e-27
"12","SRR10241527.42214080_1:46354772",2.4e-27
"13","SRR10241527.36078247_1:39545301",2.4e-27
"14","SRR10241527.24179088_2:26330830",2.4e-27
"15","SRR10241527.24180460_2:26332331",2.4e-27
"16","SRR10241527.10927753_1:11870595",2.9e-27
"17","SRR10241527.18478751_2:20082248",3.1e-27
"18","SRR10241527.13742506_2:14929501",3.6e-27
"19","SRR10241527.11349429_2:12328869",4e-27
"20","SRR10241527.49710034_1:54639946",4.3e-27
"21","SRR10241527.4872040_1:5297465",4.8e-27
"22","SRR10241527.39901183_1:43796214",4.8e-27
"23","SRR10241527.37008431_2:40579320",5e-27
"24","SRR10241527.12560808_1:13643914",5.9e-27
"25","SRR10241527.13720818_1:14905950",5.9e-27
"26","SRR10241527.713681_1:775248",5.9e-27
"27","SRR10241527.30818125_1:33703580",6.1e-27
"28","SRR10241527.47316237_2:51982579",6.3e-27
"29","SRR10241527.47936997_2:52671414",6.3e-27
"30","SRR10241527.13742506_1:14929500",7.1e-27
"31","SRR10241527.41687627_2:45772631",8.6e-27
"32","SRR10241527.41688186_2:45773257",8.6e-27
"33","SRR10241527.46947660_1:51573888",8.7e-27
"34","SRR10241527.8851646_2:9628354",9.3e-27
"35","SRR10241527.8851716_2:9628421",9.3e-27
"36","SRR10241527.34093243_1:37339221",9.3e-27
"37","SRR10241527.986132_1:1071460",9.5e-27
"38","SRR10241527.986301_1:1071635",9.5e-27
"39","SRR10241527.25855726_1:28191630",9.8e-27
"40","SRR10241527.30082201_1:32885890",1.1e-26
"41","SRR10241527.3955375_1:4299291",1.1e-26
"42","SRR10241527.7547178_1:8210127",1.1e-26
"43","SRR10241527.16973559_1:18443320",1.1e-26
"44","SRR10241527.48966477_1:53814862",1.2e-26
"45","SRR10241527.48165601_1:52925151",1.2e-26
"46","SRR10241527.32502586_2:35572277",1.2e-26
"47","SRR10241527.12692951_1:13787865",1.2e-26
"48","SRR10241527.14891899_2:16178175",1.3e-26
"49","SRR10241527.6440321_1:7002312",1.4e-26
"50","SRR10241527.51222505_2:56318014",1.4e-26
"51","SRR10241527.51223303_2:56318911",1.4e-26
"52","SRR10241527.49006426_1:53859415",1.4e-26
"53","SRR10241527.49006915_1:53859939",1.4e-26
"54","SRR10241527.28500219_1:31127386",1.4e-26
"55","SRR10241527.41595251_2:45670257",1.5e-26
"56","SRR10241527.11803768_1:12822598",1.5e-26
"57","SRR10241527.28530076_1:31160376",1.5e-26
"58","SRR10241527.41596292_2:45671409",1.7e-26
"59","SRR10241527.38638566_2:42394087",1.7e-26
"60","SRR10241527.23824044_1:25936334",1.8e-26
"61","SRR10241527.51768574_1:56922350",1.9e-26
"62","SRR10241527.12543125_2:13624651",1.9e-26
"63","SRR10241527.14891899_1:16178174",1.9e-26
"64","SRR10241527.11803768_2:12822599",2e-26
"65","SRR10241527.18883310_1:20522985",2e-26
"66","SRR10241527.18884573_1:20524349",2e-26
"67","SRR10241527.25218456_1:27483577",2e-26
"68","SRR10241527.8851646_1:9628353",2.1e-26
"69","SRR10241527.8851716_1:9628420",2.1e-26
"70","SRR10241527.25570908_1:27874832",2.1e-26
"71","SRR10241527.38638566_1:42394086",2.2e-26
"72","SRR10241527.42403941_1:46562963",2.3e-26
"73","SRR10241527.28530076_2:31160377",2.3e-26
"74","SRR10241527.12629888_2:13719087",2.4e-26
"75","SRR10241527.45001259_1:49420814",2.4e-26
"76","SRR10241527.33399232_1:36568891",2.7e-26
"77","SRR10241527.40571925_1:44538710",2.7e-26
"78","SRR10241527.24566248_1:26760814",2.8e-26
"79","SRR10241527.24566881_1:26761483",2.8e-26
"80","SRR10241527.24566965_1:26761576",2.8e-26
"81","SRR10241527.30815820_1:33701013",2.8e-26
"82","SRR10241527.2074056_1:2253713",2.9e-26
"83","SRR10241527.2074916_1:2254651",2.9e-26
"84","SRR10241527.1506511_1:1637255",2.9e-26
"85","SRR10241527.32502586_1:35572276",2.9e-26
"86","SRR10241527.48126085_1:52881279",3e-26
"87","SRR10241527.47300166_2:51964784",3e-26
"88","SRR10241527.4212401_1:4579815",3.2e-26
"89","SRR10241527.22092656_1:24015107",3.2e-26
"90","SRR10241527.46081510_2:50611814",3.2e-26
"91","SRR10241527.17135294_1:18618735",3.3e-26
"92","SRR10241527.39029359_1:42827832",3.4e-26
"93","SRR10241527.31618524_1:34591371",3.5e-26
"94","SRR10241527.43048592_1:47273546",3.6e-26
"95","SRR10241527.38956678_2:42747390",3.7e-26
"96","SRR10241527.12856508_2:13966202",3.7e-26
"97","SRR10241527.4564880_1:4963756",3.8e-26
"98","SRR10241527.43214069_1:47457328",3.8e-26
"99","SRR10241527.4872040_2:5297466",3.9e-26
"100","SRR10241527.18959524_1:20606402",3.9e-26
"101","SRR10241527.21138727_1:22972076",3.9e-26
"102","SRR10241527.51889287_1:57056077",3.9e-26
"103","SRR10241527.51890431_1:57057339",3.9e-26
"104","SRR10241527.1754870_1:1906938",4e-26
"105","SRR10241527.43214069_2:47457329",4.1e-26
"106","SRR10241527.1431264_1:1555410",4.1e-26
"107","SRR10241527.6911008_1:7516605",4.1e-26
"108","SRR10241527.51886356_2:57052853",4.1e-26
"109","SRR10241527.14891534_2:16177773",4.2e-26
"110","SRR10241527.20553026_1:22335884",4.2e-26
"111","SRR10241527.20564270_1:22348117",4.2e-26
"112","SRR10241527.41162100_2:45192504",4.2e-26
"113","SRR10241527.28598360_1:31236226",4.3e-26
"114","SRR10241527.41596292_1:45671408",4.4e-26
"115","SRR10241527.36979762_2:40547279",5e-26
"116","SRR10241527.12543125_1:13624650",5e-26
"117","SRR10241527.23132941_2:25168778",5.1e-26
"118","SRR10241527.1009477_2:1096919",5.3e-26
"119","SRR10241527.16491156_2:17917229",5.3e-26
"120","SRR10241527.21334214_1:23184035",5.3e-26
"121","SRR10241527.55152151_1:60675819",5.3e-26
"122","SRR10241527.42599298_1:46778150",5.3e-26
"123","SRR10241527.23132941_1:25168777",5.6e-26
"124","SRR10241527.30043060_2:32842369",5.9e-26
"125","SRR10241527.53244013_1:58559103",6e-26
"126","SRR10241527.4390632_2:4773802",6.1e-26
"127","SRR10241527.47313933_2:51980043",6.3e-26
"128","SRR10241527.42232866_1:46375499",6.4e-26
"129","SRR10241527.11485048_2:12475982",6.5e-26
"130","SRR10241527.47316237_1:51982578",6.6e-26
"131","SRR10241527.47936997_1:52671413",6.6e-26
"132","SRR10241527.9746142_1:10596698",6.6e-26
"133","SRR10241527.37216935_1:40811654",6.8e-26
"134","SRR10241527.45865211_1:50371585",6.9e-26
"135","SRR10241527.24709933_1:26919745",7.2e-26
"136","SRR10241527.4575080_2:4974871",7.3e-26
"137","SRR10241527.12012063_1:13049188",7.3e-26
"138","SRR10241527.21531297_1:23397888",7.4e-26
"139","SRR10241527.27321242_1:29818882",7.6e-26
"140","SRR10241527.27325857_1:29824114",7.6e-26
"141","SRR10241527.10317885_1:11211082",7.6e-26
"142","SRR10241527.29786602_2:32557161",8.1e-26
"143","SRR10241527.52039992_1:57223160",8.2e-26
"144","SRR10241527.25855726_2:28191631",8.3e-26
"145","SRR10241527.18943535_1:20588899",8.4e-26
"146","SRR10241527.32773683_1:35873577",8.4e-26
"147","SRR10241527.45959283_1:50475681",8.5e-26
"148","SRR10241527.45063848_1:49490196",8.6e-26
"149","SRR10241527.19975983_1:21710519",8.8e-26
"150","SRR10241527.11925475_1:12955124",8.9e-26
"151","SRR10241527.42025290_2:46147447",9e-26
"152","SRR10241527.21978770_1:23888656",9e-26
"153","SRR10241527.16583563_1:18018278",9.1e-26
"154","SRR10241527.16587681_1:18022730",9.1e-26
"155","SRR10241527.41590820_2:45665380",9.3e-26
"156","SRR10241527.53218590_1:58530968",9.3e-26
"157","SRR10241527.27486102_1:30002177",9.4e-26
"158","SRR10241527.40404063_2:44352645",9.6e-26
"159","SRR10241527.3618733_1:3933038",9.9e-26
"160","SRR10241527.45906093_1:50416776",1e-25
"161","SRR10241527.43518744_2:47792140",1e-25
"162","SRR10241527.30815820_2:33701014",1e-25
"163","SRR10241527.4465581_1:4855572",1.1e-25
"164","SRR10241527.35199054_2:38568022",1.1e-25
"165","SRR10241527.48703242_1:53522385",1.1e-25
"166","SRR10241527.12560808_2:13643915",1.1e-25
"167","SRR10241527.18067848_1:19634832",1.2e-25
"168","SRR10241527.19536513_1:21233101",1.2e-25
"169","SRR10241527.1245674_1:1353564",1.2e-25
"170","SRR10241527.46081510_1:50611813",1.2e-25
"171","SRR10241527.32743023_2:35839297",1.2e-25
"172","SRR10241527.29714318_1:32476552",1.2e-25
"173","SRR10241527.54922535_1:60421231",1.2e-25
"174","SRR10241527.16955559_1:18423819",1.2e-25
"175","SRR10241527.47923497_1:52656183",1.2e-25
"176","SRR10241527.43697151_1:47990578",1.3e-25
"177","SRR10241527.9041433_1:9834420",1.3e-25
"178","SRR10241527.9041794_1:9834800",1.3e-25
"179","SRR10241527.49261813_1:54143347",1.3e-25
"180","SRR10241527.49261813_2:54143348",1.3e-25
"181","SRR10241527.54922535_2:60421232",1.4e-25
"182","SRR10241527.30818125_2:33703581",1.4e-25
"183","SRR10241527.54979061_1:60483897",1.5e-25
"184","SRR10241527.26322541_2:28709687",1.6e-25
"185","SRR10241527.7281019_1:7919922",1.7e-25
"186","SRR10241527.39901183_2:43796215",1.7e-25
"187","SRR10241527.5926657_1:6443581",1.7e-25
"188","SRR10241527.54898100_1:60394038",1.8e-25
"189","SRR10241527.10952841_1:11897711",1.8e-25
"190","SRR10241527.10952966_1:11897842",1.8e-25
"191","SRR10241527.46132713_2:50668987",1.8e-25
"192","SRR10241527.54415792_1:59859008",1.8e-25
"193","SRR10241527.41254828_1:45294769",1.8e-25
"194","SRR10241527.42599994_2:46778932",1.9e-25
"195","SRR10241527.42600071_2:46779015",1.9e-25
"196","SRR10241527.23638876_1:25730463",1.9e-25
"197","SRR10241527.13445648_1:14607244",1.9e-25
"198","SRR10241527.7502382_2:8161370",1.9e-25
"199","SRR10241527.35009609_1:38357479",1.9e-25
"200","SRR10241527.4964934_2:5398371",2e-25
"201","SRR10241527.54991327_2:60497449",2e-25
"202","SRR10241527.42181_1:46038",2e-25
"203","SRR10241527.9141895_1:9943756",2e-25
"204","SRR10241527.39233933_2:43054909",2.1e-25
"205","SRR10241527.33763178_1:36972386",2.1e-25
"206","SRR10241527.3366572_1:3659106",2.1e-25
"207","SRR10241527.2552335_1:2774501",2.2e-25
"208","SRR10241527.9852791_1:10710770",2.2e-25
"209","SRR10241527.24885432_1:27113360",2.2e-25
"210","SRR10241527.41768817_2:45862855",2.2e-25
"211","SRR10241527.55691412_1:61275087",2.2e-25
"212","SRR10241527.3306350_1:3593720",2.2e-25
"213","SRR10241527.6483384_1:7049616",2.3e-25
"214","SRR10241527.4558046_1:4956254",2.3e-25
"215","SRR10241527.3933407_1:4275332",2.4e-25
"216","SRR10241527.3933437_1:4275365",2.4e-25
"217","SRR10241527.14493025_1:15745212",2.5e-25
"218","SRR10241527.21978770_2:23888657",2.5e-25
"219","SRR10241527.42396992_1:46555388",2.6e-25
"220","SRR10241527.35356739_2:38742902",2.7e-25
"221","SRR10241527.10794715_2:11728531",2.7e-25
"222","SRR10241527.46191378_1:50734129",2.7e-25
"223","SRR10241527.27321242_2:29818883",2.7e-25
"224","SRR10241527.27325857_2:29824115",2.7e-25
"225","SRR10241527.54979061_2:60483898",2.7e-25
"226","SRR10241527.51222505_1:56318013",2.8e-25
"227","SRR10241527.51223303_1:56318910",2.8e-25
"228","SRR10241527.42749716_1:46945272",2.8e-25
"229","SRR10241527.52039992_2:57223161",2.8e-25
"230","SRR10241527.20746466_1:22545627",2.8e-25
"231","SRR10241527.32700254_1:35791711",2.8e-25
"232","SRR10241527.32642309_2:35727239",2.9e-25
"233","SRR10241527.7502382_1:8161369",2.9e-25
"234","SRR10241527.11097837_1:12055206",2.9e-25
"235","SRR10241527.43035083_1:47258572",2.9e-25
"236","SRR10241527.36979762_1:40547278",2.9e-25
"237","SRR10241527.47103615_1:51746566",3e-25
"238","SRR10241527.45067839_1:49494619",3e-25
"239","SRR10241527.49006426_2:53859416",3.1e-25
"240","SRR10241527.49006915_2:53859940",3.1e-25
"241","SRR10241527.41768817_1:45862854",3.2e-25
"242","SRR10241527.15311768_1:16635242",3.4e-25
"243","SRR10241527.4496360_1:4889314",3.4e-25
"244","SRR10241527.16219121_1:17620863",3.5e-25
"245","SRR10241527.29369867_2:32093141",3.5e-25
"246","SRR10241527.42555093_1:46729131",3.5e-25
"247","SRR10241527.42556174_1:46730338",3.5e-25
"248","SRR10241527.4069412_1:4423922",3.6e-25
"249","SRR10241527.21281283_1:23126511",3.6e-25
"250","SRR10241527.21299272_1:23145919",3.6e-25
"251","SRR10241527.18274972_1:19860374",3.7e-25
"252","SRR10241527.54890211_2:60385371",3.7e-25
"253","SRR10241527.24014727_1:26148695",3.8e-25
"254","SRR10241527.1082531_1:1176102",3.9e-25
"255","SRR10241527.43636149_1:47922625",3.9e-25
"256","SRR10241527.21138574_1:22971907",3.9e-25
"257","SRR10241527.47365245_1:52036904",4e-25
"258","SRR10241527.19398039_1:21083355",4e-25
"259","SRR10241527.52005403_1:57184896",4.2e-25
"260","SRR10241527.30238132_1:33059097",4.3e-25
"261","SRR10241527.17346395_1:18848745",4.4e-25
"262","SRR10241527.38154558_2:41855563",4.5e-25
"263","SRR10241527.51887374_1:57053945",4.7e-25
"264","SRR10241527.41725348_1:45814544",4.9e-25
"265","SRR10241527.19983879_1:21719146",4.9e-25
"266","SRR10241527.19983916_1:21719187",4.9e-25
"267","SRR10241527.16550960_1:17982434",5e-25
"268","SRR10241527.37212854_1:40807070",5.2e-25
"269","SRR10241527.26407245_1:28803826",5.3e-25
"270","SRR10241527.26408353_1:28805069",5.3e-25
"271","SRR10241527.26460658_1:28863196",5.3e-25
"272","SRR10241527.12012063_2:13049189",5.4e-25
"273","SRR10241527.2755300_1:2995011",5.4e-25
"274","SRR10241527.32686001_1:35775909",5.5e-25
"275","SRR10241527.50028974_2:54993805",5.6e-25
"276","SRR10241527.48746356_1:53570397",5.7e-25
"277","SRR10241527.52683924_2:57938022",5.8e-25
"278","SRR10241527.47517430_1:52205907",6e-25
"279","SRR10241527.47517662_1:52206193",6e-25
"280","SRR10241527.42555093_2:46729132",6e-25
"281","SRR10241527.42556174_2:46730339",6e-25
"282","SRR10241527.51886356_1:57052852",6.2e-25
"283","SRR10241527.22100467_1:24023808",6.2e-25
"284","SRR10241527.36017647_1:39477742",6.2e-25
"285","SRR10241527.33295482_2:36453578",6.3e-25
"286","SRR10241527.33107832_1:36244744",6.5e-25
"287","SRR10241527.38330401_2:42051039",6.8e-25
"288","SRR10241527.33591208_1:36781722",6.8e-25
"289","SRR10241527.71768_1:78067",6.8e-25
"290","SRR10241527.34360638_2:37636508",6.8e-25
"291","SRR10241527.50449520_2:55460284",6.8e-25
"292","SRR10241527.21888321_1:23788322",6.9e-25
"293","SRR10241527.20656208_1:22448395",7e-25
"294","SRR10241527.20031903_2:21771315",7.2e-25
"295","SRR10241527.41595251_1:45670256",7.3e-25
"296","SRR10241527.37466944_2:41089897",7.4e-25
"297","SRR10241527.2755300_2:2995012",7.4e-25
"298","SRR10241527.20957777_1:22776119",7.6e-25
"299","SRR10241527.13720818_2:14905951",7.6e-25
"300","SRR10241527.13304158_1:14453244",8.1e-25
"301","SRR10241527.10794967_2:11728795",8.1e-25
"302","SRR10241527.7912216_2:8607998",8.2e-25
"303","SRR10241527.29940405_2:32728103",8.2e-25
"304","SRR10241527.47223310_1:51879293",8.2e-25
"305","SRR10241527.7424011_1:8075747",8.3e-25
"306","SRR10241527.16302467_1:17711356",8.3e-25
"307","SRR10241527.16302508_1:17711397",8.3e-25
"308","SRR10241527.52771272_1:58034943",8.4e-25
"309","SRR10241527.51364695_1:56475477",8.9e-25
"310","SRR10241527.53942791_1:59333980",9.1e-25
"311","SRR10241527.53954025_1:59346576",9.1e-25
"312","SRR10241527.47617206_1:52316430",9.2e-25
"313","SRR10241527.47621114_1:52320778",9.2e-25
"314","SRR10241527.19636376_1:21341916",9.3e-25
"315","SRR10241527.7891516_1:8585427",9.3e-25
"316","SRR10241527.12099125_1:13143585",9.3e-25
"317","SRR10241527.3642390_1:3958803",9.4e-25
"318","SRR10241527.10794715_1:11728530",9.7e-25
"319","SRR10241527.10794967_1:11728794",9.7e-25
"320","SRR10241527.42025290_1:46147446",9.8e-25
"321","SRR10241527.40323755_1:44264864",9.8e-25
"322","SRR10241527.32472211_1:35538552",9.8e-25
"323","SRR10241527.54271705_2:59699375",1e-24
"324","SRR10241527.37109611_1:40692247",1e-24
"325","SRR10241527.43668590_1:47958868",1e-24
"326","SRR10241527.543329_1:589826",1e-24
"327","SRR10241527.11349429_1:12328868",1e-24
"328","SRR10241527.20031903_1:21771314",1e-24
"329","SRR10241527.50284995_1:55278096",1.1e-24
"330","SRR10241527.18335457_1:19926331",1.1e-24
"331","SRR10241527.50284995_2:55278097",1.1e-24
"332","SRR10241527.8738699_2:9507116",1.1e-24
"333","SRR10241527.14588198_1:15848444",1.2e-24
"334","SRR10241527.31635064_1:34609666",1.2e-24
"335","SRR10241527.39214344_2:43033069",1.2e-24
"336","SRR10241527.47103615_2:51746567",1.2e-24
"337","SRR10241527.2734299_1:2972223",1.2e-24
"338","SRR10241527.19378664_1:21062135",1.3e-24
"339","SRR10241527.24471862_1:26655545",1.3e-24
"340","SRR10241527.43397610_2:47657287",1.3e-24
"341","SRR10241527.4680147_1:5089021",1.3e-24
"342","SRR10241527.48090192_1:52841201",1.3e-24
"343","SRR10241527.48090344_1:52841376",1.3e-24
"344","SRR10241527.55033541_1:60544217",1.3e-24
"345","SRR10241527.11905975_2:12933896",1.3e-24
"346","SRR10241527.19905422_1:21634004",1.3e-24
"347","SRR10241527.33234819_1:36386133",1.3e-24
"348","SRR10241527.38435254_2:42167533",1.4e-24
"349","SRR10241527.31635064_2:34609667",1.4e-24
"350","SRR10241527.13037435_1:14162713",1.4e-24
"351","SRR10241527.52821933_1:58091238",1.4e-24
"352","SRR10241527.18274972_2:19860375",1.4e-24
"353","SRR10241527.22156674_2:24086194",1.4e-24
"354","SRR10241527.26454152_1:28855906",1.5e-24
"355","SRR10241527.16491156_1:17917228",1.5e-24
"356","SRR10241527.10588161_2:11503267",1.5e-24
"357","SRR10241527.42800964_1:47001773",1.5e-24
"358","SRR10241527.32910890_1:36026003",1.5e-24
"359","SRR10241527.27213964_2:29699550",1.5e-24
"360","SRR10241527.47330471_1:51998314",1.5e-24
"361","SRR10241527.47333126_1:52001219",1.5e-24
"362","SRR10241527.42740647_1:46935097",1.5e-24
"363","SRR10241527.12082078_2:13125144",1.5e-24
"364","SRR10241527.24711230_2:26921155",1.6e-24
"365","SRR10241527.9961475_1:10828845",1.6e-24
"366","SRR10241527.26008445_1:28361249",1.6e-24
"367","SRR10241527.16219121_2:17620864",1.6e-24
"368","SRR10241527.42434861_1:46596781",1.6e-24
"369","SRR10241527.47300166_1:51964783",1.6e-24
"370","SRR10241527.10927753_2:11870596",1.7e-24
"371","SRR10241527.9602586_1:10441144",1.7e-24
"372","SRR10241527.9141895_2:9943757",1.8e-24
"373","SRR10241527.26322541_1:28709686",1.8e-24
"374","SRR10241527.52949619_1:58233051",1.8e-24
"375","SRR10241527.34998402_1:38344977",1.8e-24
"376","SRR10241527.6956418_1:7566084",1.8e-24
"377","SRR10241527.35790142_1:39224412",1.8e-24
"378","SRR10241527.1083472_2:1177115",1.9e-24
"379","SRR10241527.18488887_2:20093413",1.9e-24
"380","SRR10241527.19636376_2:21341917",1.9e-24
"381","SRR10241527.13958527_1:15164446",1.9e-24
"382","SRR10241527.31087066_2:34002367",1.9e-24
"383","SRR10241527.27213964_1:29699549",1.9e-24
"384","SRR10241527.43518744_1:47792139",1.9e-24
"385","SRR10241527.46901242_2:51522463",1.9e-24
"386","SRR10241527.5988972_1:6511690",2e-24
"387","SRR10241527.40985758_1:44998832",2e-24
"388","SRR10241527.40985847_1:44998936",2e-24
"389","SRR10241527.25155524_2:27413603",2e-24
"390","SRR10241527.11925475_2:12955125",2e-24
"391","SRR10241527.37471725_1:41095182",2e-24
"392","SRR10241527.30552346_1:33407815",2.1e-24
"393","SRR10241527.38956678_1:42747389",2.1e-24
"394","SRR10241527.44971705_1:49388099",2.1e-24
"395","SRR10241527.1431642_2:1555835",2.1e-24
"396","SRR10241527.1432184_2:1556436",2.1e-24
"397","SRR10241527.11486362_1:12477412",2.1e-24
"398","SRR10241527.27486102_2:30002178",2.1e-24
"399","SRR10241527.42939165_2:47152633",2.1e-24
"400","SRR10241527.36964170_1:40529802",2.2e-24
