"","domain_name","sequence_evalue"
"1","HISEQ13:138:C6FWNANXX:2:1314:20400:60809_1",1.4e-25
"2","HISEQ13:138:C6FWNANXX:2:2112:3639:8528_1",2.2e-25
"3","HISEQ13:138:C6FWNANXX:2:1211:2676:74438_1",2.2e-25
"4","HISEQ13:138:C6FWNANXX:2:2209:18571:50809_1",2.2e-25
"5","HISEQ13:138:C6FWNANXX:2:2308:10461:7742_1",2.2e-25
"6","HISEQ13:138:C6FWNANXX:2:1315:21304:36894_1",2.4e-25
"7","HISEQ13:138:C6FWNANXX:2:2201:13707:96948_1",2.4e-25
"8","HISEQ13:138:C6FWNANXX:2:2209:6718:12944_1",2.4e-25
"9","HISEQ13:138:C6FWNANXX:2:2204:9493:7407_1",2.6e-25
"10","HISEQ13:138:C6FWNANXX:2:1210:7420:53801_1",3e-25
"11","HISEQ13:138:C6FWNANXX:2:1305:18187:56304_1",3e-25
"12","HISEQ13:138:C6FWNANXX:2:2107:15159:71190_1",3e-25
"13","HISEQ13:138:C6FWNANXX:2:1106:4651:56734_1",3.3e-25
"14","HISEQ13:138:C6FWNANXX:2:1315:1272:68497_1",3.3e-25
"15","HISEQ13:138:C6FWNANXX:2:1111:16056:46668_1",3.7e-25
"16","HISEQ13:138:C6FWNANXX:2:1314:9857:42863_1",3.7e-25
"17","HISEQ13:138:C6FWNANXX:2:1305:15026:17107_1",3.7e-25
"18","HISEQ13:138:C6FWNANXX:2:2212:16572:29508_1",3.7e-25
"19","HISEQ13:138:C6FWNANXX:2:2109:7354:78613_1",3.7e-25
"20","HISEQ13:138:C6FWNANXX:2:2306:13985:69653_1",3.7e-25
"21","HISEQ13:138:C6FWNANXX:2:1213:3689:52269_1",4.1e-25
"22","HISEQ13:138:C6FWNANXX:2:1215:3085:89999_1",4.1e-25
"23","HISEQ13:138:C6FWNANXX:2:2104:18761:92765_1",4.1e-25
"24","HISEQ13:138:C6FWNANXX:2:2105:9871:21330_1",4.1e-25
"25","HISEQ13:138:C6FWNANXX:2:2215:7159:12706_1",4.1e-25
"26","HISEQ13:138:C6FWNANXX:2:1302:6929:58165_1",4.6e-25
"27","HISEQ13:138:C6FWNANXX:2:2202:7754:36144_1",4.6e-25
"28","HISEQ13:138:C6FWNANXX:2:2312:17974:44955_1",4.6e-25
"29","HISEQ13:138:C6FWNANXX:2:2114:18062:69519_1",4.8e-25
"30","HISEQ13:138:C6FWNANXX:2:1109:18652:14046_1",5.3e-25
"31","HISEQ13:138:C6FWNANXX:2:1207:11583:26737_1",5.3e-25
"32","HISEQ13:138:C6FWNANXX:2:2315:19544:71907_1",5.3e-25
"33","HISEQ13:138:C6FWNANXX:2:1211:18732:19075_1",5.3e-25
"34","HISEQ13:138:C6FWNANXX:2:2105:7069:20720_1",5.3e-25
"35","HISEQ13:138:C6FWNANXX:2:2115:21266:48186_1",5.3e-25
"36","HISEQ13:138:C6FWNANXX:2:2203:4393:51378_1",5.3e-25
"37","HISEQ13:138:C6FWNANXX:2:2213:12130:18290_1",5.3e-25
"38","HISEQ13:138:C6FWNANXX:2:2313:7684:14432_1",5.3e-25
"39","HISEQ13:138:C6FWNANXX:2:1104:10549:70304_1",5.7e-25
"40","HISEQ13:138:C6FWNANXX:2:2314:19849:12025_1",5.7e-25
"41","HISEQ13:138:C6FWNANXX:2:1202:12220:47192_1",5.9e-25
"42","HISEQ13:138:C6FWNANXX:2:2105:11602:2494_1",5.9e-25
"43","HISEQ13:138:C6FWNANXX:2:1308:11952:46179_1",6e-25
"44","HISEQ13:138:C6FWNANXX:2:1111:19748:12241_1",6.2e-25
"45","HISEQ13:138:C6FWNANXX:2:1206:5810:96438_1",6.2e-25
"46","HISEQ13:138:C6FWNANXX:2:1216:20608:65040_1",6.3e-25
"47","HISEQ13:138:C6FWNANXX:2:2202:21188:41560_1",6.3e-25
"48","HISEQ13:138:C6FWNANXX:2:1112:12955:32117_1",6.3e-25
"49","HISEQ13:138:C6FWNANXX:2:1216:6985:70912_1",6.3e-25
"50","HISEQ13:138:C6FWNANXX:2:2214:6198:9240_1",6.3e-25
"51","HISEQ13:138:C6FWNANXX:2:2307:17962:39518_1",6.3e-25
"52","HISEQ13:138:C6FWNANXX:2:2110:9125:27204_1",6.4e-25
"53","HISEQ13:138:C6FWNANXX:2:2114:15907:85676_1",6.4e-25
"54","HISEQ13:138:C6FWNANXX:2:1214:8234:11861_1",6.7e-25
"55","HISEQ13:138:C6FWNANXX:2:1105:20884:17254_1",6.9e-25
"56","HISEQ13:138:C6FWNANXX:2:1209:11478:64285_1",6.9e-25
"57","HISEQ13:138:C6FWNANXX:2:1212:12776:83196_1",6.9e-25
"58","HISEQ13:138:C6FWNANXX:2:1307:14700:29823_1",6.9e-25
"59","HISEQ13:138:C6FWNANXX:2:2214:13395:57829_1",6.9e-25
"60","HISEQ13:138:C6FWNANXX:2:2313:19857:56459_1",6.9e-25
"61","HISEQ13:138:C6FWNANXX:2:1107:10889:46311_1",7e-25
