"","domain_name","sequence_evalue"
"1","SRR10241522.5029690_1:5233966",2.9e-18
"2","SRR10241522.3508818_1:3650155",4e-18
"3","SRR10241522.2815423_2:2928372",6.9e-18
"4","SRR10241522.2816573_2:2929548",6.9e-18
"5","SRR10241522.5450615_1:5672104",1.1e-17
"6","SRR10241522.793090_1:824762",1.2e-17
"7","SRR10241522.1469058_2:1527357",1.2e-17
"8","SRR10241522.4828756_1:5024871",1.5e-17
"9","SRR10241522.1284355_1:1335042",1.5e-17
"10","SRR10241522.4873611_2:5071668",2e-17
"11","SRR10241522.2272645_1:2363461",2.6e-17
"12","SRR10241522.3861111_1:4016406",3.3e-17
"13","SRR10241522.474268_1:493616",3.3e-17
"14","SRR10241522.1431581_1:1488376",4.2e-17
"15","SRR10241522.3524038_1:3665889",4.4e-17
"16","SRR10241522.4975179_1:5177380",5.2e-17
"17","SRR10241522.2436361_1:2533883",5.5e-17
"18","SRR10241522.2437362_1:2534907",5.5e-17
"19","SRR10241522.4196208_1:4365254",5.7e-17
"20","SRR10241522.321588_1:334215",5.8e-17
"21","SRR10241522.4385201_2:4562106",5.8e-17
"22","SRR10241522.1503389_1:1563324",6.8e-17
"23","SRR10241522.1950080_1:2027949",7e-17
"24","SRR10241522.3547908_2:3690711",7.6e-17
"25","SRR10241522.3547945_2:3690758",7.6e-17
"26","SRR10241522.2752553_1:2863188",7.8e-17
"27","SRR10241522.3241701_1:3371907",7.8e-17
"28","SRR10241522.698148_1:725975",8.4e-17
"29","SRR10241522.1055031_1:1097062",9e-17
"30","SRR10241522.4385201_1:4562105",9e-17
"31","SRR10241522.4019930_1:4181784",9.4e-17
"32","SRR10241522.5053522_1:5258939",9.5e-17
"33","SRR10241522.1661132_1:1726881",1e-16
"34","SRR10241522.4262407_1:4434078",1.1e-16
"35","SRR10241522.4262523_1:4434215",1.1e-16
"36","SRR10241522.1284355_2:1335043",1.4e-16
"37","SRR10241522.5431271_1:5651949",1.4e-16
"38","SRR10241522.4162335_1:4330124",1.4e-16
"39","SRR10241522.4745554_2:4937691",1.4e-16
"40","SRR10241522.5649750_2:5879625",1.5e-16
"41","SRR10241522.474268_2:493617",1.9e-16
"42","SRR10241522.3496905_1:3637774",2e-16
"43","SRR10241522.1401659_2:1457159",2e-16
"44","SRR10241522.1401659_1:1457158",2.1e-16
"45","SRR10241522.2421848_2:2518698",2.2e-16
"46","SRR10241522.4574857_1:4759593",2.2e-16
"47","SRR10241522.1817981_2:1890038",2.3e-16
"48","SRR10241522.1817981_1:1890037",2.3e-16
"49","SRR10241522.3389982_2:3526583",2.4e-16
"50","SRR10241522.3914476_1:4071933",2.6e-16
"51","SRR10241522.5261346_2:5474955",2.7e-16
"52","SRR10241522.807579_1:839816",3e-16
"53","SRR10241522.4142719_2:4309739",3.2e-16
"54","SRR10241522.540504_2:562315",3.6e-16
"55","SRR10241522.85848_2:89363",3.8e-16
"56","SRR10241522.86323_2:89885",3.8e-16
